,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년04월_계_총인구수,"118,032","8,561","13,942","4,217","4,351","3,073","3,673","3,625","6,182","2,489","6,454","3,517","4,013","2,297","34,917","16,721"
2020년04월_계_연령구간인구수,"118,032","8,561","13,942","4,217","4,351","3,073","3,673","3,625","6,182","2,489","6,454","3,517","4,013","2,297","34,917","16,721"
2020년04월_계_0~9세,"7,546",378,931,113,126,128,86,86,204,62,421,67,105,55,"3,424","1,360"
2020년04월_계_10~19세,"10,084",724,"1,129",184,251,157,176,180,327,105,423,139,219,147,"3,978","1,945"
2020년04월_계_20~29세,"11,736",737,"1,367",317,309,210,234,279,419,121,474,235,462,147,"4,544","1,881"
2020년04월_계_30~39세,"11,194",603,"1,337",257,262,232,225,219,366,129,577,183,252,134,"4,713","1,705"
2020년04월_계_40~49세,"15,836","1,025","1,726",385,442,323,437,372,602,250,690,324,456,229,"5,877","2,698"
2020년04월_계_50~59세,"20,147","1,558","2,302",725,803,491,695,717,"1,224",442,"1,108",616,751,380,"5,410","2,925"
2020년04월_계_60~69세,"19,365","1,625","2,330",918,948,644,830,786,"1,416",606,"1,140",859,787,523,"3,780","2,173"
2020년04월_계_70~79세,"12,832","1,138","1,597",724,686,486,546,562,936,444,900,617,534,376,"2,020","1,266"
2020년04월_계_80~89세,"8,052",643,"1,061",534,477,349,389,366,590,274,623,411,381,256,"1,021",677
2020년04월_계_90~99세,"1,152",114,152,59,45,49,50,54,92,50,93,62,61,47,139,85
2020년04월_계_100세 이상,88,16,10,1,2,4,5,4,6,6,5,4,5,3,11,6
2020년04월_남_총인구수,"59,039","4,162","6,954","2,134","2,202","1,552","1,843","1,864","3,226","1,267","3,272","1,784","2,118","1,110","17,389","8,162"
2020년04월_남_연령구간인구수,"59,039","4,162","6,954","2,134","2,202","1,552","1,843","1,864","3,226","1,267","3,272","1,784","2,118","1,110","17,389","8,162"
2020년04월_남_0~9세,"3,878",195,465,61,60,70,47,45,113,28,225,41,49,25,"1,752",702
2020년04월_남_10~19세,"5,218",371,577,96,131,81,96,87,180,59,242,73,108,68,"2,045","1,004"
2020년04월_남_20~29세,"6,600",421,787,180,173,120,126,163,253,68,278,140,285,87,"2,470","1,049"
2020년04월_남_30~39세,"5,881",312,725,164,157,135,118,134,205,79,293,103,162,76,"2,398",820
2020년04월_남_40~49세,"8,460",538,970,243,267,183,239,231,350,160,385,192,298,128,"2,926","1,350"
2020년04월_남_50~59세,"10,532",780,"1,196",395,438,282,393,406,674,244,592,319,425,205,"2,720","1,463"
2020년04월_남_60~69세,"9,742",788,"1,166",472,499,321,433,408,759,318,592,466,410,272,"1,820","1,018"
2020년04월_남_70~79세,"5,620",483,690,293,307,230,246,255,447,207,403,288,239,150,869,513
2020년04월_남_80~89세,"2,787",237,342,209,158,115,128,125,222,89,234,141,132,82,346,227
2020년04월_남_90~99세,297,30,35,21,11,14,17,10,22,14,27,20,9,17,37,13
2020년04월_남_100세 이상,24,7,1,0,1,1,0,0,1,1,1,1,1,0,6,3
2020년04월_여_총인구수,"58,993","4,399","6,988","2,083","2,149","1,521","1,830","1,761","2,956","1,222","3,182","1,733","1,895","1,187","17,528","8,559"
2020년04월_여_연령구간인구수,"58,993","4,399","6,988","2,083","2,149","1,521","1,830","1,761","2,956","1,222","3,182","1,733","1,895","1,187","17,528","8,559"
2020년04월_여_0~9세,"3,668",183,466,52,66,58,39,41,91,34,196,26,56,30,"1,672",658
2020년04월_여_10~19세,"4,866",353,552,88,120,76,80,93,147,46,181,66,111,79,"1,933",941
2020년04월_여_20~29세,"5,136",316,580,137,136,90,108,116,166,53,196,95,177,60,"2,074",832
2020년04월_여_30~39세,"5,313",291,612,93,105,97,107,85,161,50,284,80,90,58,"2,315",885
2020년04월_여_40~49세,"7,376",487,756,142,175,140,198,141,252,90,305,132,158,101,"2,951","1,348"
2020년04월_여_50~59세,"9,615",778,"1,106",330,365,209,302,311,550,198,516,297,326,175,"2,690","1,462"
2020년04월_여_60~69세,"9,623",837,"1,164",446,449,323,397,378,657,288,548,393,377,251,"1,960","1,155"
2020년04월_여_70~79세,"7,212",655,907,431,379,256,300,307,489,237,497,329,295,226,"1,151",753
2020년04월_여_80~89세,"5,265",406,719,325,319,234,261,241,368,185,389,270,249,174,675,450
2020년04월_여_90~99세,855,84,117,38,34,35,33,44,70,36,66,42,52,30,102,72
2020년04월_여_100세 이상,64,9,9,1,1,3,5,4,5,5,4,3,4,3,5,3
