카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년12월_계_총인구수,"26,855","10,086","1,494","1,963","1,668","1,681","1,373","1,927","2,119","1,236","1,036","2,272"
2021년12월_계_연령구간인구수,"26,855","10,086","1,494","1,963","1,668","1,681","1,373","1,927","2,119","1,236","1,036","2,272"
2021년12월_계_0~9세,"1,272",790,35,52,56,35,44,56,89,34,31,50
2021년12월_계_10~19세,"2,151","1,316",84,88,83,68,70,109,139,39,45,110
2021년12월_계_20~29세,"1,906","1,016",99,97,89,81,65,106,113,70,57,113
2021년12월_계_30~39세,"1,752",902,86,91,96,99,84,88,111,61,47,87
2021년12월_계_40~49세,"3,096","1,574",124,194,187,125,119,167,184,105,108,209
2021년12월_계_50~59세,"4,387","1,558",279,321,248,303,228,365,361,200,145,379
2021년12월_계_60~69세,"5,058","1,359",314,419,323,430,292,463,491,267,207,493
2021년12월_계_70~79세,"3,938",941,243,373,308,265,223,318,363,241,209,454
2021년12월_계_80~89세,"2,855",533,203,286,242,241,221,218,226,190,168,327
2021년12월_계_90~99세,424,94,26,38,34,32,26,37,42,27,18,50
2021년12월_계_100세 이상,16,3,1,4,2,2,1,0,0,2,1,0
2021년12월_남_총인구수,"13,189","4,927",731,968,838,844,697,954,"1,030",596,499,"1,105"
2021년12월_남_연령구간인구수,"13,189","4,927",731,968,838,844,697,954,"1,030",596,499,"1,105"
2021년12월_남_0~9세,679,434,16,29,28,21,25,25,47,10,19,25
2021년12월_남_10~19세,"1,102",664,45,42,42,37,41,62,71,20,24,54
2021년12월_남_20~29세,"1,092",566,60,53,56,48,38,65,73,43,26,64
2021년12월_남_30~39세,870,407,40,53,60,61,43,41,54,37,26,48
2021년12월_남_40~49세,"1,737",792,67,127,118,86,80,102,97,63,71,134
2021년12월_남_50~59세,"2,400",834,157,176,143,157,135,181,197,121,88,211
2021년12월_남_60~69세,"2,618",656,169,247,169,242,153,253,254,130,99,246
2021년12월_남_70~79세,"1,646",375,113,145,131,115,98,137,148,101,91,192
2021년12월_남_80~89세,934,177,60,89,84,69,79,73,75,62,49,117
2021년12월_남_90~99세,110,22,4,7,7,7,5,15,14,9,6,14
2021년12월_남_100세 이상,1,0,0,0,0,1,0,0,0,0,0,0
2021년12월_여_총인구수,"13,666","5,159",763,995,830,837,676,973,"1,089",640,537,"1,167"
2021년12월_여_연령구간인구수,"13,666","5,159",763,995,830,837,676,973,"1,089",640,537,"1,167"
2021년12월_여_0~9세,593,356,19,23,28,14,19,31,42,24,12,25
2021년12월_여_10~19세,"1,049",652,39,46,41,31,29,47,68,19,21,56
2021년12월_여_20~29세,814,450,39,44,33,33,27,41,40,27,31,49
2021년12월_여_30~39세,882,495,46,38,36,38,41,47,57,24,21,39
2021년12월_여_40~49세,"1,359",782,57,67,69,39,39,65,87,42,37,75
2021년12월_여_50~59세,"1,987",724,122,145,105,146,93,184,164,79,57,168
2021년12월_여_60~69세,"2,440",703,145,172,154,188,139,210,237,137,108,247
2021년12월_여_70~79세,"2,292",566,130,228,177,150,125,181,215,140,118,262
2021년12월_여_80~89세,"1,921",356,143,197,158,172,142,145,151,128,119,210
2021년12월_여_90~99세,314,72,22,31,27,25,21,22,28,18,12,36
2021년12월_여_100세 이상,15,3,1,4,2,1,1,0,0,2,1,0
