카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2021년12월_계_총인구수,"1,183,714","273,835","23,285","42,174","28,902","36,046","41,447","19,910","19,459","28,186","18,535","15,891","364,136","10,097","23,648","18,731","40,351","37,982","24,235","45,466","46,236","24,679","48,445","27,737","16,529","182,321","5,876","10,308","20,018","22,497","25,696","10,633","20,058","16,900","39,870","10,465","363,422","17,612","14,781","35,982","21,431","38,806","34,785","26,188","32,527","31,076","27,872","53,025","29,337"
2021년12월_계_연령구간인구수,"1,183,714","273,835","23,285","42,174","28,902","36,046","41,447","19,910","19,459","28,186","18,535","15,891","364,136","10,097","23,648","18,731","40,351","37,982","24,235","45,466","46,236","24,679","48,445","27,737","16,529","182,321","5,876","10,308","20,018","22,497","25,696","10,633","20,058","16,900","39,870","10,465","363,422","17,612","14,781","35,982","21,431","38,806","34,785","26,188","32,527","31,076","27,872","53,025","29,337"
2021년12월_계_0~9세,"91,037","17,502","1,186","2,821","2,263","2,952","3,163",792,"1,063","1,346","1,292",624,"29,791",828,"1,044",842,"2,940","2,217","1,277","4,553","6,587","1,185","5,190","1,585","1,543","10,055",232,412,"1,676","1,390","1,836",381,788,"1,089","1,989",262,"33,689","1,061",812,"2,617","1,199","4,075","3,222","2,387","2,400","3,276","4,153","5,221","3,266"
2021년12월_계_10~19세,"115,369","27,765","1,805","3,959","3,350","3,716","6,583","1,152","1,662","2,620","1,947",971,"32,524",584,"1,568","1,413","3,410","3,020","1,932","4,964","4,781","1,615","5,326","2,154","1,757","13,684",306,444,"1,341","2,029","2,701",655,"1,289","1,705","2,785",429,"41,396","1,726","1,438","4,242","2,112","3,730","4,629","2,089","4,181","3,958","3,315","6,828","3,148"
2021년12월_계_20~29세,"184,258","43,509","3,316","10,061","3,944","4,999","6,176","2,595","2,918","4,185","2,746","2,569","52,863","1,482","3,563","2,640","6,036","5,857","3,774","6,044","4,884","5,017","6,354","5,216","1,996","30,306",859,"1,731","2,801","3,120","3,902","1,296","3,217","3,555","8,358","1,467","57,580","2,989","2,411","6,405","3,627","6,485","4,744","5,347","6,562","4,414","3,158","8,350","3,088"
2021년12월_계_30~39세,"177,205","33,068","2,923","5,658","3,311","4,997","4,261","2,362","2,572","3,225","1,951","1,808","56,472","1,616","3,584","2,426","5,718","5,393","3,184","6,442","8,505","4,546","7,544","5,392","2,122","27,063",940,"1,598","3,461","2,553","3,442","1,065","2,896","2,217","7,542","1,349","60,602","2,294","1,908","5,452","3,127","6,991","5,315","6,657","4,274","4,821","5,160","9,438","5,165"
2021년12월_계_40~49세,"199,224","44,157","3,532","6,155","5,134","6,169","8,412","2,799","2,972","4,206","2,717","2,061","60,467","1,469","3,607","2,977","5,896","5,881","3,520","8,084","8,723","3,540","8,853","4,867","3,050","27,452",833,"1,425","2,996","3,602","4,061","1,508","2,816","2,607","6,289","1,315","67,148","2,775","2,304","6,622","3,538","7,282","6,714","4,190","5,878","5,723","5,795","10,541","5,786"
2021년12월_계_50~59세,"197,487","49,282","4,363","6,652","5,291","6,133","7,564","3,852","3,617","5,370","3,747","2,693","61,603","1,799","4,191","3,296","7,499","6,758","4,711","7,592","6,102","4,115","7,842","4,746","2,952","31,125","1,047","1,840","3,213","3,997","4,992","1,949","3,596","2,686","5,832","1,973","55,477","3,259","2,694","5,740","3,751","4,918","5,765","3,224","5,439","5,158","3,717","7,518","4,294"
2021년12월_계_60~69세,"131,329","33,446","3,540","4,093","3,268","3,900","3,119","3,712","2,755","4,050","2,311","2,698","43,524","1,339","3,593","2,978","5,462","5,304","3,615","4,668","4,189","2,997","4,970","2,467","1,942","24,522",932,"1,674","2,585","3,263","2,843","2,048","3,073","1,829","4,274","2,001","29,837","2,181","1,953","3,001","2,483","3,299","2,685","1,360","2,450","2,469","1,733","3,371","2,852"
2021년12월_계_70~79세,"56,826","15,772","1,675","1,709","1,442","2,040","1,320","1,801","1,249","2,004",998,"1,534","17,636",651,"1,641","1,451","2,194","2,414","1,429","1,982","1,628","1,105","1,566",794,781,"11,977",460,784,"1,360","1,718","1,178","1,153","1,616",773,"1,827","1,108","11,441",923,822,"1,217","1,028","1,336","1,046",574,800,802,546,"1,178","1,169"
