,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년05월_계_총인구수,"1,076,179","473,322","15,440","23,878","44,729","21,931","11,654","11,008","22,170","20,325","30,835","36,568","15,882","38,499","33,798","19,599","22,476","32,919","46,608","22,383","2,620","299,302","34,407","47,883","24,059","39,499","31,219","20,985","24,693","16,730","10,657","26,424","22,746","303,555","28,149","18,999","36,400","52,762","28,489","29,591","35,417","21,797","51,951"
2020년05월_계_연령구간인구수,"1,076,179","473,322","15,440","23,878","44,729","21,931","11,654","11,008","22,170","20,325","30,835","36,568","15,882","38,499","33,798","19,599","22,476","32,919","46,608","22,383","2,620","299,302","34,407","47,883","24,059","39,499","31,219","20,985","24,693","16,730","10,657","26,424","22,746","303,555","28,149","18,999","36,400","52,762","28,489","29,591","35,417","21,797","51,951"
2020년05월_계_0~9세,"84,470","39,222",625,"3,264","5,615","1,358",680,"1,495","2,192","2,491","2,411","2,272",938,"2,165","2,835",796,"1,544","2,422","2,959","3,071",89,"21,558","3,450","3,587","1,302","3,398","2,143",967,"1,507","1,269","1,347","1,162","1,426","23,690","2,163","1,024","2,718","4,892","2,036","2,075","2,281","1,667","4,834"
2020년05월_계_10~19세,"107,211","42,146","1,302","1,881","3,755","1,948","1,124",774,"1,437","1,481","3,271","2,884","1,292","3,807","3,917","1,303","2,168","3,029","5,083","1,521",169,"30,349","4,642","4,710","2,238","4,660","2,922","1,388","3,349","2,269",940,"1,609","1,622","34,716","2,811","1,577","5,902","5,801","3,400","3,330","3,057","2,364","6,474"
2020년05월_계_20~29세,"151,039","62,945","2,187","2,384","5,037","2,981","1,465","1,497","2,717","2,334","3,568","4,362","2,162","6,320","4,699","2,978","3,205","5,056","7,032","2,508",453,"44,956","4,720","7,123","4,097","5,435","5,034","3,415","3,867","2,292","1,145","4,920","2,908","43,138","4,052","2,848","4,981","7,622","3,760","3,876","6,267","3,120","6,612"
2020년05월_계_30~39세,"142,786","67,178","1,513","4,207","7,935","2,514","1,339","2,355","4,255","4,540","3,515","4,276","1,816","4,330","4,333","2,319","2,786","4,958","5,216","4,700",271,"38,601","3,758","5,737","2,959","4,839","4,626","3,490","2,315","1,601","1,663","4,708","2,905","37,007","3,391","2,010","3,502","7,318","3,278","3,413","5,189","2,958","5,948"
2020년05월_계_40~49세,"184,868","79,088","2,306","4,277","8,217","3,637","1,831","1,786","3,562","3,522","5,443","5,754","2,369","6,178","6,483","2,929","3,705","5,178","7,859","3,735",317,"52,271","6,951","7,610","3,781","7,076","5,285","3,852","4,327","3,039","1,946","4,909","3,495","53,509","4,572","2,726","7,386","9,519","4,898","4,979","5,565","3,847","10,017"
2020년05월_계_50~59세,"193,714","82,343","3,249","3,316","6,214","4,286","2,123","1,489","3,242","2,548","5,053","6,934","3,246","7,609","5,793","4,146","4,306","6,086","9,268","2,950",485,"55,596","6,093","9,322","4,601","6,920","5,723","3,849","4,842","3,137","1,860","4,709","4,540","55,775","5,292","4,266","6,573","9,490","5,050","5,283","6,611","3,960","9,250"
2020년05월_계_60~69세,"114,225","53,824","2,298","2,671","4,448","2,750","1,553",881,"2,565","1,954","3,942","5,518","2,197","3,871","2,915","2,831","2,608","3,215","4,894","2,266",447,"30,760","2,745","5,265","2,819","3,995","3,163","2,148","2,445","1,490","1,114","2,290","3,286","29,641","3,069","2,563","2,993","4,302","2,949","3,038","3,584","2,133","5,010"
2020년05월_계_70~79세,"61,206","29,997","1,258","1,283","2,396","1,579",957,464,"1,506",996,"2,426","3,046","1,217","2,559","1,706","1,469","1,363","1,849","2,594","1,070",259,"15,381","1,334","2,711","1,446","1,980","1,471","1,133","1,204",851,447,"1,215","1,589","15,828","1,802","1,241","1,364","2,300","1,734","1,982","1,818","1,108","2,479"
