,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년04월_계_총인구수,"264,722","25,403","36,231","20,918","5,893","5,501","3,337","3,749","2,977","9,914","6,513","19,930","36,061","33,096","16,210","38,989"
2021년04월_계_연령구간인구수,"264,722","25,403","36,231","20,918","5,893","5,501","3,337","3,749","2,977","9,914","6,513","19,930","36,061","33,096","16,210","38,989"
2021년04월_계_0~9세,"20,069","1,587","2,368","2,301",161,137,77,123,85,554,215,"1,959","2,687","3,585","1,007","3,223"
2021년04월_계_10~19세,"22,705","2,681","3,466","1,193",270,238,102,149,104,591,404,"1,978","3,922","2,622",791,"4,194"
2021년04월_계_20~29세,"36,206","3,852","5,372","3,144",493,452,205,267,243,"1,536",982,"2,050","4,385","4,131","3,739","5,355"
2021년04월_계_30~39세,"32,901","2,524","3,915","4,079",467,390,201,219,192,"1,170",665,"2,603","3,833","5,022","2,775","4,846"
2021년04월_계_40~49세,"41,514","3,975","6,290","3,050",616,602,273,368,266,"1,276",811,"3,526","6,206","5,192","2,207","6,856"
2021년04월_계_50~59세,"45,023","4,187","7,008","2,814","1,167","1,004",585,703,588,"1,886","1,254","3,001","6,199","5,580","2,457","6,590"
2021년04월_계_60~69세,"35,958","3,294","4,226","2,378","1,391","1,327",864,897,699,"1,763","1,152","2,596","4,934","3,972","1,870","4,595"
2021년04월_계_70~79세,"19,668","2,131","2,297","1,219",813,839,609,569,498,783,649,"1,507","2,581","2,075",908,"2,190"
2021년04월_계_80~89세,"9,482","1,061","1,168",658,451,452,367,381,253,320,348,628,"1,165",826,404,"1,000"
2021년04월_계_90~99세,"1,164",107,118,79,63,57,53,69,47,35,33,81,146,88,52,136
2021년04월_계_100세 이상,32,4,3,3,1,3,1,4,2,0,0,1,3,3,0,4
2021년04월_남_총인구수,"133,303","12,775","18,918","11,117","3,175","2,790","1,758","1,938","1,531","4,821","3,237","9,808","17,202","15,903","8,842","19,488"
2021년04월_남_연령구간인구수,"133,303","12,775","18,918","11,117","3,175","2,790","1,758","1,938","1,531","4,821","3,237","9,808","17,202","15,903","8,842","19,488"
2021년04월_남_0~9세,"10,229",840,"1,230","1,206",91,71,36,59,49,269,119,983,"1,296","1,768",542,"1,670"
2021년04월_남_10~19세,"11,749","1,407","1,743",636,146,120,53,75,55,306,222,"1,086","1,917","1,305",418,"2,260"
2021년04월_남_20~29세,"19,877","2,165","3,102","1,745",306,259,134,168,151,796,532,"1,094","2,264","2,188","2,067","2,906"
2021년04월_남_30~39세,"17,697","1,398","2,211","2,301",270,236,129,130,116,618,395,"1,340","1,861","2,490","1,684","2,518"
2021년04월_남_40~49세,"21,258","1,938","3,264","1,781",381,375,175,216,156,618,417,"1,762","2,999","2,495","1,287","3,394"
2021년04월_남_50~59세,"22,621","2,136","3,767","1,440",672,510,329,392,323,892,625,"1,452","2,975","2,562","1,316","3,230"
2021년04월_남_60~69세,"17,589","1,597","2,191","1,206",736,688,483,493,347,845,549,"1,182","2,336","1,816",921,"2,199"
2021년04월_남_70~79세,"8,780",904,988,567,404,383,290,275,241,367,260,659,"1,091",937,456,958
2021년04월_남_80~89세,"3,245",365,388,216,156,140,118,116,79,104,111,233,430,315,144,330
2021년04월_남_90~99세,252,24,34,19,12,8,11,14,12,6,7,17,33,26,7,22
2021년04월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년04월_여_총인구수,"131,419","12,628","17,313","9,801","2,718","2,711","1,579","1,811","1,446","5,093","3,276","10,122","18,859","17,193","7,368","19,501"
2021년04월_여_연령구간인구수,"131,419","12,628","17,313","9,801","2,718","2,711","1,579","1,811","1,446","5,093","3,276","10,122","18,859","17,193","7,368","19,501"
2021년04월_여_0~9세,"9,840",747,"1,138","1,095",70,66,41,64,36,285,96,976,"1,391","1,817",465,"1,553"
2021년04월_여_10~19세,"10,956","1,274","1,723",557,124,118,49,74,49,285,182,892,"2,005","1,317",373,"1,934"
2021년04월_여_20~29세,"16,329","1,687","2,270","1,399",187,193,71,99,92,740,450,956,"2,121","1,943","1,672","2,449"
2021년04월_여_30~39세,"15,204","1,126","1,704","1,778",197,154,72,89,76,552,270,"1,263","1,972","2,532","1,091","2,328"
2021년04월_여_40~49세,"20,256","2,037","3,026","1,269",235,227,98,152,110,658,394,"1,764","3,207","2,697",920,"3,462"
2021년04월_여_50~59세,"22,402","2,051","3,241","1,374",495,494,256,311,265,994,629,"1,549","3,224","3,018","1,141","3,360"
2021년04월_여_60~69세,"18,369","1,697","2,035","1,172",655,639,381,404,352,918,603,"1,414","2,598","2,156",949,"2,396"
2021년04월_여_70~79세,"10,888","1,227","1,309",652,409,456,319,294,257,416,389,848,"1,490","1,138",452,"1,232"
2021년04월_여_80~89세,"6,237",696,780,442,295,312,249,265,174,216,237,395,735,511,260,670
2021년04월_여_90~99세,912,83,84,60,51,49,42,55,35,29,26,64,113,62,45,114
2021년04월_여_100세 이상,26,3,3,3,0,3,1,4,0,0,0,1,3,2,0,3
