,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년05월_계_총인구수,"39,642","4,331",252,"5,900",251,225,"1,529",328,"3,228","2,276","3,578","2,572",218,"2,371",458,224,527,334,"1,786","1,585","1,602","2,731",288,996,"2,052"
2020년05월_계_연령구간인구수,"39,642","4,331",252,"5,900",251,225,"1,529",328,"3,228","2,276","3,578","2,572",218,"2,371",458,224,527,334,"1,786","1,585","1,602","2,731",288,996,"2,052"
2020년05월_계_0~9세,"1,669",158,5,237,9,10,52,6,190,95,145,122,9,73,11,10,35,12,81,79,77,123,8,22,100
2020년05월_계_10~19세,"2,070",234,8,286,4,6,55,13,217,102,216,217,5,127,23,15,31,23,106,104,63,99,8,32,76
2020년05월_계_20~29세,"3,005",322,15,542,8,7,124,20,249,142,223,185,6,224,79,14,49,31,123,134,95,204,18,57,134
2020년05월_계_30~39세,"2,908",283,13,464,21,16,106,23,233,144,244,185,12,204,49,14,67,27,123,135,120,191,35,61,138
2020년05월_계_40~49세,"4,459",482,22,662,22,20,194,37,426,213,421,274,31,313,78,29,91,47,205,209,157,225,30,86,185
2020년05월_계_50~59세,"7,200",793,54,"1,129",46,35,285,69,591,435,642,402,59,457,90,48,107,59,322,307,251,459,48,147,365
2020년05월_계_60~69세,"7,530",836,55,"1,219",63,48,240,70,563,441,679,438,46,395,63,45,75,69,332,269,325,545,68,221,425
2020년05월_계_70~79세,"6,429",736,38,803,56,58,301,64,508,431,622,427,31,323,43,24,44,43,285,207,305,480,44,220,336
2020년05월_계_80~89세,"3,887",432,39,482,21,24,154,25,232,252,337,297,16,211,22,22,28,18,192,128,185,345,26,135,264
2020년05월_계_90~99세,469,54,3,72,1,1,17,1,19,21,49,25,2,40,0,3,0,5,17,11,22,59,3,15,29
2020년05월_계_100세 이상,16,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,2,1,0,0,0
2020년05월_남_총인구수,"21,048","2,250",132,"3,170",134,129,822,187,"1,712","1,203","1,871","1,311",123,"1,319",298,124,301,195,954,855,838,"1,412",156,496,"1,056"
2020년05월_남_연령구간인구수,"21,048","2,250",132,"3,170",134,129,822,187,"1,712","1,203","1,871","1,311",123,"1,319",298,124,301,195,954,855,838,"1,412",156,496,"1,056"
2020년05월_남_0~9세,861,88,2,127,5,8,26,2,95,54,76,60,6,33,5,5,19,6,35,33,41,61,5,10,59
2020년05월_남_10~19세,"1,079",112,4,135,3,4,27,10,117,55,104,107,3,77,16,9,21,13,59,55,28,55,5,17,43
2020년05월_남_20~29세,"1,783",200,10,308,5,5,76,8,152,76,114,109,3,140,57,8,24,19,78,71,58,121,12,46,83
2020년05월_남_30~39세,"1,826",165,7,293,14,12,75,19,140,98,155,117,6,137,39,9,45,17,66,84,70,114,23,38,83
2020년05월_남_40~49세,"2,978",315,16,429,18,16,138,28,280,142,266,163,24,215,58,23,65,36,140,144,115,151,18,55,123
2020년05월_남_50~59세,"4,346",473,33,641,29,22,186,45,359,248,404,236,37,291,60,31,63,42,207,188,158,282,23,79,209
2020년05월_남_60~69세,"4,099",461,35,673,34,26,123,33,296,239,359,245,24,220,38,24,40,37,177,153,168,301,39,124,230
2020년05월_남_70~79세,"2,852",303,13,380,21,27,119,34,216,193,285,195,17,136,18,11,18,23,137,96,136,215,24,92,143
2020년05월_남_80~89세,"1,130",124,12,166,4,8,49,8,55,93,101,76,3,67,7,3,6,2,51,27,60,98,5,32,73
2020년05월_남_90~99세,89,9,0,17,1,1,3,0,2,5,7,3,0,2,0,1,0,0,4,3,3,13,2,3,10
2020년05월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년05월_여_총인구수,"18,594","2,081",120,"2,730",117,96,707,141,"1,516","1,073","1,707","1,261",95,"1,052",160,100,226,139,832,730,764,"1,319",132,500,996
2020년05월_여_연령구간인구수,"18,594","2,081",120,"2,730",117,96,707,141,"1,516","1,073","1,707","1,261",95,"1,052",160,100,226,139,832,730,764,"1,319",132,500,996
2020년05월_여_0~9세,808,70,3,110,4,2,26,4,95,41,69,62,3,40,6,5,16,6,46,46,36,62,3,12,41
2020년05월_여_10~19세,991,122,4,151,1,2,28,3,100,47,112,110,2,50,7,6,10,10,47,49,35,44,3,15,33
2020년05월_여_20~29세,"1,222",122,5,234,3,2,48,12,97,66,109,76,3,84,22,6,25,12,45,63,37,83,6,11,51
2020년05월_여_30~39세,"1,082",118,6,171,7,4,31,4,93,46,89,68,6,67,10,5,22,10,57,51,50,77,12,23,55
2020년05월_여_40~49세,"1,481",167,6,233,4,4,56,9,146,71,155,111,7,98,20,6,26,11,65,65,42,74,12,31,62
2020년05월_여_50~59세,"2,854",320,21,488,17,13,99,24,232,187,238,166,22,166,30,17,44,17,115,119,93,177,25,68,156
2020년05월_여_60~69세,"3,431",375,20,546,29,22,117,37,267,202,320,193,22,175,25,21,35,32,155,116,157,244,29,97,195
2020년05월_여_70~79세,"3,577",433,25,423,35,31,182,30,292,238,337,232,14,187,25,13,26,20,148,111,169,265,20,128,193
2020년05월_여_80~89세,"2,757",308,27,316,17,16,105,17,177,159,236,221,13,144,15,19,22,16,141,101,125,247,21,103,191
2020년05월_여_90~99세,380,45,3,55,0,0,14,1,17,16,42,22,2,38,0,2,0,5,13,8,19,46,1,12,19
2020년05월_여_100세 이상,11,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
