카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년07월_계_총인구수,"28,254","7,877","1,909","1,664","2,352","1,352","1,932","1,194","4,301","2,516","1,731","1,426"
2020년07월_계_연령구간인구수,"28,254","7,877","1,909","1,664","2,352","1,352","1,932","1,194","4,301","2,516","1,731","1,426"
2020년07월_계_0~9세,"1,124",481,66,32,58,21,44,30,214,78,58,42
2020년07월_계_10~19세,"2,027",702,133,83,127,46,97,55,425,219,83,57
2020년07월_계_20~29세,"2,382",759,106,99,159,83,141,76,535,205,112,107
2020년07월_계_30~39세,"1,771",648,102,70,119,60,84,49,353,122,96,68
2020년07월_계_40~49세,"3,131","1,060",181,157,208,106,172,94,534,341,157,121
2020년07월_계_50~59세,"4,923","1,304",325,273,432,255,344,213,739,454,312,272
2020년07월_계_60~69세,"4,889","1,199",386,344,421,254,398,221,642,386,312,326
2020년07월_계_70~79세,"4,324","1,001",332,315,408,274,358,244,490,363,318,221
2020년07월_계_80~89세,"3,169",618,251,242,361,222,244,188,318,297,243,185
2020년07월_계_90~99세,502,102,25,49,57,30,50,24,50,51,38,26
2020년07월_계_100세 이상,12,3,2,0,2,1,0,0,1,0,2,1
2020년07월_남_총인구수,"13,808","3,806",937,821,"1,108",652,945,585,"2,114","1,264",852,724
2020년07월_남_연령구간인구수,"13,808","3,806",937,821,"1,108",652,945,585,"2,114","1,264",852,724
2020년07월_남_0~9세,574,250,31,14,35,10,28,18,99,41,26,22
2020년07월_남_10~19세,"1,063",364,73,49,61,22,56,19,221,122,46,30
2020년07월_남_20~29세,"1,292",397,59,64,84,54,77,48,278,112,62,57
2020년07월_남_30~39세,959,320,63,49,66,37,46,31,185,69,57,36
2020년07월_남_40~49세,"1,756",553,106,98,116,62,98,59,279,201,110,74
2020년07월_남_50~59세,"2,718",701,180,146,248,143,181,128,393,273,170,155
2020년07월_남_60~69세,"2,546",586,207,186,203,134,212,114,331,214,169,190
2020년07월_남_70~79세,"1,813",421,128,129,178,113,161,104,214,137,130,98
2020년07월_남_80~89세,985,196,84,75,105,69,79,61,101,85,73,57
2020년07월_남_90~99세,99,18,6,11,11,8,7,3,12,10,8,5
2020년07월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2020년07월_여_총인구수,"14,446","4,071",972,843,"1,244",700,987,609,"2,187","1,252",879,702
2020년07월_여_연령구간인구수,"14,446","4,071",972,843,"1,244",700,987,609,"2,187","1,252",879,702
2020년07월_여_0~9세,550,231,35,18,23,11,16,12,115,37,32,20
2020년07월_여_10~19세,964,338,60,34,66,24,41,36,204,97,37,27
2020년07월_여_20~29세,"1,090",362,47,35,75,29,64,28,257,93,50,50
2020년07월_여_30~39세,812,328,39,21,53,23,38,18,168,53,39,32
2020년07월_여_40~49세,"1,375",507,75,59,92,44,74,35,255,140,47,47
2020년07월_여_50~59세,"2,205",603,145,127,184,112,163,85,346,181,142,117
2020년07월_여_60~69세,"2,343",613,179,158,218,120,186,107,311,172,143,136
2020년07월_여_70~79세,"2,511",580,204,186,230,161,197,140,276,226,188,123
2020년07월_여_80~89세,"2,184",422,167,167,256,153,165,127,217,212,170,128
2020년07월_여_90~99세,403,84,19,38,46,22,43,21,38,41,30,21
2020년07월_여_100세 이상,9,3,2,0,1,1,0,0,0,0,1,1
