카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년07월_계_총인구수,"103,862","10,672","2,406","1,464","1,980","2,234","3,095","2,808","2,044","1,915","3,138","8,042","6,211","4,127","3,595","6,699","8,301","8,147","18,997","7,987"
2020년07월_계_연령구간인구수,"103,862","10,672","2,406","1,464","1,980","2,234","3,095","2,808","2,044","1,915","3,138","8,042","6,211","4,127","3,595","6,699","8,301","8,147","18,997","7,987"
2020년07월_계_0~9세,"6,318",475,57,26,61,57,86,79,40,29,53,519,352,175,169,508,458,471,"2,150",553
2020년07월_계_10~19세,"9,038",723,104,60,93,116,130,137,89,68,132,994,609,295,259,882,631,743,"2,134",839
2020년07월_계_20~29세,"9,797",953,207,86,153,153,222,176,144,106,141,805,616,320,304,703,958,993,"1,938",819
2020년07월_계_30~39세,"8,750",738,123,54,106,122,165,133,91,85,143,604,466,309,267,547,711,663,"2,619",804
2020년07월_계_40~49세,"14,077","1,258",190,102,186,203,269,279,145,159,215,"1,314",872,494,427,"1,168","1,081","1,088","3,382","1,245"
2020년07월_계_50~59세,"18,216","1,912",500,260,329,368,528,532,389,355,611,"1,397","1,134",715,648,"1,186","1,602","1,629","2,731","1,390"
2020년07월_계_60~69세,"17,933","2,227",534,338,444,501,709,707,530,459,814,"1,133","1,018",856,727,834,"1,432","1,348","2,117","1,205"
2020년07월_계_70~79세,"11,984","1,458",360,289,319,392,545,461,349,342,595,799,733,598,526,567,934,787,"1,240",690
2020년07월_계_80~89세,"6,727",780,294,214,244,267,384,258,223,272,379,398,368,322,236,272,441,367,613,395
2020년07월_계_90~99세,963,137,36,33,43,52,56,39,43,39,51,76,40,39,31,30,49,56,70,43
2020년07월_계_100세 이상,59,11,1,2,2,3,1,7,1,1,4,3,3,4,1,2,4,2,3,4
2020년07월_남_총인구수,"51,495","5,253","1,244",737,"1,009","1,136","1,571","1,431","1,019",953,"1,554","4,009","2,979","2,007","1,714","3,349","4,076","4,069","9,531","3,854"
2020년07월_남_연령구간인구수,"51,495","5,253","1,244",737,"1,009","1,136","1,571","1,431","1,019",953,"1,554","4,009","2,979","2,007","1,714","3,349","4,076","4,069","9,531","3,854"
2020년07월_남_0~9세,"3,253",247,31,17,33,31,47,41,23,16,28,265,177,99,96,255,214,240,"1,111",282
2020년07월_남_10~19세,"4,727",366,50,28,50,60,70,66,45,40,75,530,303,135,139,470,354,406,"1,099",441
2020년07월_남_20~29세,"5,751",597,136,55,96,96,142,112,96,70,72,482,357,195,168,434,532,587,"1,095",429
2020년07월_남_30~39세,"4,688",396,74,31,65,81,109,73,53,56,84,316,255,171,133,275,377,362,"1,346",431
2020년07월_남_40~49세,"7,282",669,108,71,117,117,168,176,80,96,136,634,432,255,211,565,549,528,"1,756",614
2020년07월_남_50~59세,"9,278",943,284,145,176,198,279,279,205,183,328,733,577,390,329,613,767,804,"1,388",657
2020년07월_남_60~69세,"8,584","1,092",273,172,239,265,358,354,269,248,405,541,452,388,315,369,650,631,987,576
2020년07월_남_70~79세,"5,356",641,176,135,150,177,259,231,157,148,281,348,290,248,235,266,437,360,522,295
2020년07월_남_80~89세,"2,359",270,102,73,76,99,132,85,84,86,137,151,127,114,82,92,182,135,211,121
2020년07월_남_90~99세,204,28,10,10,7,12,7,12,6,9,7,9,8,11,6,10,13,16,15,8
2020년07월_남_100세 이상,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년07월_여_총인구수,"52,367","5,419","1,162",727,971,"1,098","1,524","1,377","1,025",962,"1,584","4,033","3,232","2,120","1,881","3,350","4,225","4,078","9,466","4,133"
2020년07월_여_연령구간인구수,"52,367","5,419","1,162",727,971,"1,098","1,524","1,377","1,025",962,"1,584","4,033","3,232","2,120","1,881","3,350","4,225","4,078","9,466","4,133"
2020년07월_여_0~9세,"3,065",228,26,9,28,26,39,38,17,13,25,254,175,76,73,253,244,231,"1,039",271
2020년07월_여_10~19세,"4,311",357,54,32,43,56,60,71,44,28,57,464,306,160,120,412,277,337,"1,035",398
2020년07월_여_20~29세,"4,046",356,71,31,57,57,80,64,48,36,69,323,259,125,136,269,426,406,843,390
2020년07월_여_30~39세,"4,062",342,49,23,41,41,56,60,38,29,59,288,211,138,134,272,334,301,"1,273",373
2020년07월_여_40~49세,"6,795",589,82,31,69,86,101,103,65,63,79,680,440,239,216,603,532,560,"1,626",631
2020년07월_여_50~59세,"8,938",969,216,115,153,170,249,253,184,172,283,664,557,325,319,573,835,825,"1,343",733
2020년07월_여_60~69세,"9,349","1,135",261,166,205,236,351,353,261,211,409,592,566,468,412,465,782,717,"1,130",629
2020년07월_여_70~79세,"6,628",817,184,154,169,215,286,230,192,194,314,451,443,350,291,301,497,427,718,395
2020년07월_여_80~89세,"4,368",510,192,141,168,168,252,173,139,186,242,247,241,208,154,180,259,232,402,274
2020년07월_여_90~99세,759,109,26,23,36,40,49,27,37,30,44,67,32,28,25,20,36,40,55,35
2020년07월_여_100세 이상,46,7,1,2,2,3,1,5,0,0,3,3,2,3,1,2,3,2,2,4
