카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년12월_계_총인구수,"542,338","55,932","18,209","6,587","7,656","3,841","3,223","6,122","9,912","9,372","10,029","73,919","80,742","9,601","40,744","33,588","7,782","56,598","36,500","71,981"
2020년12월_계_연령구간인구수,"542,338","55,932","18,209","6,587","7,656","3,841","3,223","6,122","9,912","9,372","10,029","73,919","80,742","9,601","40,744","33,588","7,782","56,598","36,500","71,981"
2020년12월_계_0~9세,"49,309","6,508","2,798",223,198,84,82,170,574,623,597,"4,782","7,353",549,"2,610","1,578",538,"5,396","3,669","10,977"
2020년12월_계_10~19세,"61,269","6,040","1,265",327,329,125,151,212,688,571,644,"7,752","10,570",723,"3,895","3,100",770,"8,100","5,198","10,809"
2020년12월_계_20~29세,"69,111","5,416","2,190",616,625,314,283,449,"1,341","1,114","1,435","12,387","10,980","1,248","6,175","5,775","1,027","6,909","4,359","6,468"
2020년12월_계_30~39세,"69,554","8,897","4,039",551,586,259,234,427,"1,255","1,217","1,231","8,326","9,534","1,004","4,411","2,991",794,"6,930","4,613","12,255"
2020년12월_계_40~49세,"98,471","10,854","2,907",811,732,360,344,572,"1,387","1,253","1,440","11,861","15,507","1,339","6,440","5,056","1,244","12,018","7,784","16,562"
2020년12월_계_50~59세,"96,955","8,279","2,723","1,483","1,632",832,729,"1,115","2,003","1,744","2,112","16,284","14,748","2,019","8,745","7,604","1,562","9,237","5,989","8,115"
2020년12월_계_60~69세,"58,306","5,951","1,497","1,367","1,821",945,818,"1,685","1,596","1,582","1,560","7,685","7,455","1,616","5,249","4,584","1,133","4,602","2,916","4,244"
2020년12월_계_70~79세,"26,397","2,640",473,755,"1,050",593,383,970,727,877,705,"3,174","3,125",749,"2,233","1,919",496,"2,304","1,379","1,845"
