카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년01월_계_총인구수,"371,492","25,821","38,005","21,700","21,856","14,433","12,105","23,121","24,636","25,291","18,207","20,801","18,973","15,579","19,334","40,353","31,277"
2021년01월_계_연령구간인구수,"371,492","25,821","38,005","21,700","21,856","14,433","12,105","23,121","24,636","25,291","18,207","20,801","18,973","15,579","19,334","40,353","31,277"
2021년01월_계_0~9세,"24,694","2,797","2,253","1,469","2,256",669,926,"1,688","1,854",843,"1,114","1,045","1,169",617,963,"2,498","2,533"
2021년01월_계_10~19세,"28,282","1,675","2,314","1,615","2,029",879,"1,148","1,905","1,741","1,210",950,"1,323","1,568",810,"1,468","3,487","4,160"
2021년01월_계_20~29세,"61,680","3,183","6,418","2,978","2,233","3,401","1,812","3,455","4,602","6,237","3,592","3,484","2,888","3,237","3,124","6,748","4,288"
2021년01월_계_30~39세,"64,383","5,163","6,556","3,630","3,775","2,387","1,860","3,746","4,082","5,379","3,727","3,933","2,966","3,093","3,384","6,713","3,989"
2021년01월_계_40~49세,"60,825","4,255","5,513","3,207","4,410","2,089","2,180","3,904","4,010","3,716","2,652","3,246","3,276","2,340","3,314","6,564","6,149"
2021년01월_계_50~59세,"54,289","3,886","6,407","3,499","2,958","2,034","1,763","3,572","3,699","3,105","2,356","2,982","2,816","2,019","2,892","5,783","4,518"
2021년01월_계_60~69세,"39,802","2,783","4,466","2,698","2,181","1,500","1,163","2,485","2,459","2,306","1,946","2,435","2,166","1,740","2,201","4,272","3,001"
2021년01월_계_70~79세,"24,313","1,235","2,594","1,567","1,283",913,799,"1,550","1,397","1,571","1,225","1,618","1,472","1,106","1,356","2,894","1,733"
2021년01월_계_80~89세,"11,194",671,"1,278",864,629,456,392,683,677,756,539,648,566,509,556,"1,191",779
2021년01월_계_90~99세,"1,683",120,166,144,91,81,50,114,97,141,85,80,68,88,62,186,110
2021년01월_계_100세 이상,347,53,40,29,11,24,12,19,18,27,21,7,18,20,14,17,17
