,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년08월_계_총인구수,"252,344","5,387","24,304","9,301","22,057","4,230","6,247","4,712","3,235","3,168","21,683","6,158","5,657","5,163","6,362","13,671","4,584","14,634","5,791","23,980","28,336","22,245","9,714","1,725"
2021년08월_계_연령구간인구수,"252,344","5,387","24,304","9,301","22,057","4,230","6,247","4,712","3,235","3,168","21,683","6,158","5,657","5,163","6,362","13,671","4,584","14,634","5,791","23,980","28,336","22,245","9,714","1,725"
2021년08월_계_0~9세,"15,647",137,"1,059",313,"1,355",209,266,94,45,59,"2,328",173,265,191,163,402,87,"1,087",354,"2,857","2,387","1,143",626,47
2021년08월_계_10~19세,"20,356",224,"1,968",488,"1,204",180,312,201,80,126,"2,387",311,305,303,313,782,183,"1,625",334,"2,655","3,538","2,176",578,83
2021년08월_계_20~29세,"26,059",332,"2,198",698,"2,178",438,578,269,133,166,"2,255",468,511,524,587,"1,930",339,"1,860",450,"2,604","3,689","2,894",790,168
2021년08월_계_30~39세,"24,830",320,"1,686",638,"2,644",449,493,240,117,151,"2,880",342,560,467,527,"1,214",267,"1,408",490,"3,383","3,145","2,199","1,101",109
2021년08월_계_40~49세,"36,063",589,"3,188",992,"3,003",359,691,402,198,278,"3,760",686,682,634,728,"1,737",476,"2,459",735,"4,390","5,023","3,519","1,335",199
2021년08월_계_50~59세,"46,508",980,"4,903","1,637","4,368",656,"1,299",860,554,539,"3,639","1,226","1,045",840,"1,126","2,306",792,"2,804",999,"4,035","5,418","4,427","1,730",325
2021년08월_계_60~69세,"42,836","1,257","4,504","2,102","3,976",846,"1,382","1,159","1,014",767,"2,537","1,379","1,125","1,073","1,437","2,696","1,060","1,863","1,152","2,510","3,222","3,550","1,824",401
2021년08월_계_70~79세,"24,838",944,"2,926","1,459","2,030",602,737,831,659,654,"1,187",916,719,759,970,"1,821",797,969,784,980,"1,218","1,576","1,051",249
2021년08월_계_80~89세,"13,332",518,"1,674",867,"1,118",419,405,576,384,383,627,570,399,344,446,692,516,497,428,482,603,669,589,126
2021년08월_계_90~99세,"1,805",81,190,103,174,68,82,78,51,43,81,85,45,28,63,88,59,61,61,80,93,87,87,17
2021년08월_계_100세 이상,70,5,8,4,7,4,2,2,0,2,2,2,1,0,2,3,8,1,4,4,0,5,3,1
2021년08월_남_총인구수,"126,304","2,700","12,028","4,714","11,640","2,218","3,337","2,362","1,608","1,584","10,701","3,128","2,958","2,555","3,078","6,777","2,271","7,326","2,853","11,821","13,901","11,105","4,785",854
2021년08월_남_연령구간인구수,"126,304","2,700","12,028","4,714","11,640","2,218","3,337","2,362","1,608","1,584","10,701","3,128","2,958","2,555","3,078","6,777","2,271","7,326","2,853","11,821","13,901","11,105","4,785",854
2021년08월_남_0~9세,"7,995",73,551,163,694,117,135,51,26,25,"1,231",79,131,97,78,222,46,555,176,"1,439","1,197",571,317,21
2021년08월_남_10~19세,"10,618",118,"1,010",273,650,110,163,102,44,87,"1,200",161,154,168,170,410,88,863,180,"1,342","1,865","1,137",285,38
2021년08월_남_20~29세,"14,716",207,"1,239",430,"1,241",287,386,166,83,98,"1,213",269,292,282,319,"1,111",206,"1,036",266,"1,444","2,009","1,626",419,87
2021년08월_남_30~39세,"13,270",185,921,381,"1,545",256,296,146,56,84,"1,419",206,322,267,303,715,163,745,240,"1,661","1,514","1,205",574,66
2021년08월_남_40~49세,"18,770",370,"1,658",584,"1,758",231,411,230,117,168,"1,833",400,388,352,406,938,262,"1,186",396,"2,176","2,322","1,753",719,112
2021년08월_남_50~59세,"24,085",564,"2,553",876,"2,368",391,754,475,298,319,"1,827",685,594,424,580,"1,150",448,"1,425",526,"1,937","2,655","2,152",909,175
2021년08월_남_60~69세,"21,139",615,"2,217","1,046","2,077",434,697,611,528,375,"1,223",718,583,496,657,"1,169",538,918,557,"1,255","1,625","1,718",880,202
2021년08월_남_70~79세,"11,118",385,"1,306",657,962,264,346,391,317,283,552,416,349,343,398,792,343,417,354,418,525,703,483,114
