카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2020년11월_계_총인구수,"62,506","39,081",931,425,"1,818","1,036","1,793","3,259","2,896","1,433",996,"1,608","1,618","2,184","3,428"
2020년11월_계_연령구간인구수,"62,506","39,081",931,425,"1,818","1,036","1,793","3,259","2,896","1,433",996,"1,608","1,618","2,184","3,428"
2020년11월_계_0~9세,"3,503","2,895",14,11,38,27,37,124,97,26,15,36,34,49,100
2020년11월_계_10~19세,"5,692","4,695",44,15,76,22,50,212,135,51,36,59,65,67,165
2020년11월_계_20~29세,"6,801","5,132",63,8,118,61,101,300,220,81,83,79,114,150,291
2020년11월_계_30~39세,"4,744","3,505",47,20,93,33,84,227,182,50,48,66,58,128,203
2020년11월_계_40~49세,"8,329","6,321",100,38,119,63,143,336,282,102,71,124,122,178,330
2020년11월_계_50~59세,"11,251","6,917",162,67,327,196,326,567,551,251,208,298,292,406,683
2020년11월_계_60~69세,"9,380","4,540",193,94,365,201,368,655,617,323,208,339,326,463,688
2020년11월_계_70~79세,"7,500","3,196",188,112,353,197,357,508,435,311,184,361,329,421,548
2020년11월_계_80~89세,"4,635","1,654",109,51,291,211,279,289,322,212,126,211,234,271,375
2020년11월_계_90~99세,635,211,11,9,38,24,45,41,54,23,15,34,41,49,40
2020년11월_계_100세 이상,36,15,0,0,0,1,3,0,1,3,2,1,3,2,5
2020년11월_남_총인구수,"30,896","19,208",479,199,923,503,877,"1,607","1,431",740,516,804,756,"1,111","1,742"
2020년11월_남_연령구간인구수,"30,896","19,208",479,199,923,503,877,"1,607","1,431",740,516,804,756,"1,111","1,742"
2020년11월_남_0~9세,"1,778","1,480",6,5,20,13,18,63,39,12,8,23,15,30,46
2020년11월_남_10~19세,"2,943","2,413",26,10,43,10,23,102,73,27,17,29,31,42,97
2020년11월_남_20~29세,"3,691","2,746",38,4,58,34,52,177,126,50,52,52,65,80,157
2020년11월_남_30~39세,"2,411","1,712",32,10,57,15,48,125,107,31,28,36,38,70,102
2020년11월_남_40~49세,"4,333","3,084",62,25,81,50,91,184,172,69,46,89,69,117,194
2020년11월_남_50~59세,"6,154","3,589",103,42,206,119,205,313,305,153,120,186,166,241,406
2020년11월_남_60~69세,"4,898","2,247",95,44,218,121,208,339,328,180,116,185,179,256,382
2020년11월_남_70~79세,"3,116","1,328",81,40,150,78,146,208,196,136,79,139,121,175,239
2020년11월_남_80~89세,"1,427",561,36,16,81,59,75,88,75,73,44,58,65,86,110
2020년11월_남_90~99세,143,47,0,3,9,4,10,8,10,9,6,7,7,14,9
2020년11월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"31,610","19,873",452,226,895,533,916,"1,652","1,465",693,480,804,862,"1,073","1,686"
2020년11월_여_연령구간인구수,"31,610","19,873",452,226,895,533,916,"1,652","1,465",693,480,804,862,"1,073","1,686"
2020년11월_여_0~9세,"1,725","1,415",8,6,18,14,19,61,58,14,7,13,19,19,54
2020년11월_여_10~19세,"2,749","2,282",18,5,33,12,27,110,62,24,19,30,34,25,68
2020년11월_여_20~29세,"3,110","2,386",25,4,60,27,49,123,94,31,31,27,49,70,134
2020년11월_여_30~39세,"2,333","1,793",15,10,36,18,36,102,75,19,20,30,20,58,101
2020년11월_여_40~49세,"3,996","3,237",38,13,38,13,52,152,110,33,25,35,53,61,136
2020년11월_여_50~59세,"5,097","3,328",59,25,121,77,121,254,246,98,88,112,126,165,277
2020년11월_여_60~69세,"4,482","2,293",98,50,147,80,160,316,289,143,92,154,147,207,306
2020년11월_여_70~79세,"4,384","1,868",107,72,203,119,211,300,239,175,105,222,208,246,309
2020년11월_여_80~89세,"3,208","1,093",73,35,210,152,204,201,247,139,82,153,169,185,265
2020년11월_여_90~99세,492,164,11,6,29,20,35,33,44,14,9,27,34,35,31
2020년11월_여_100세 이상,34,14,0,0,0,1,2,0,1,3,2,1,3,2,5
