,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년07월_계_총인구수,"28,578","10,400","5,318","2,468","2,065","3,236","1,886","1,507","1,698"
2021년07월_계_연령구간인구수,"28,578","10,400","5,318","2,468","2,065","3,236","1,886","1,507","1,698"
2021년07월_계_0~9세,"1,137",615,251,58,51,70,42,21,29
2021년07월_계_10~19세,"1,910",911,403,103,136,172,64,32,89
2021년07월_계_20~29세,"2,104","1,071",431,121,103,130,83,65,100
2021년07월_계_30~39세,"1,880",976,394,88,74,129,68,72,79
2021년07월_계_40~49세,"3,137","1,432",665,189,176,304,134,114,123
2021년07월_계_50~59세,"5,413","1,917",961,490,389,663,383,280,330
2021년07월_계_60~69세,"6,689","1,897","1,071",699,579,885,592,474,492
2021년07월_계_70~79세,"3,826",989,725,415,342,533,307,256,259
2021년07월_계_80~89세,"2,182",517,373,260,190,307,192,171,172
2021년07월_계_90~99세,286,71,43,42,23,43,21,21,22
2021년07월_계_100세 이상,14,4,1,3,2,0,0,1,3
2021년07월_남_총인구수,"14,475","5,205","2,760","1,232","1,101","1,545","1,034",769,829
2021년07월_남_연령구간인구수,"14,475","5,205","2,760","1,232","1,101","1,545","1,034",769,829
2021년07월_남_0~9세,598,320,136,26,32,34,25,9,16
2021년07월_남_10~19세,"1,019",464,224,54,88,94,43,14,38
2021년07월_남_20~29세,"1,219",594,268,60,58,86,60,32,61
2021년07월_남_30~39세,"1,011",515,222,48,42,65,37,44,38
2021년07월_남_40~49세,"1,726",745,381,108,106,155,85,74,72
2021년07월_남_50~59세,"2,894","1,023",528,275,204,327,208,156,173
2021년07월_남_60~69세,"3,453",931,538,371,305,432,342,266,268
2021년07월_남_70~79세,"1,709",422,315,185,183,233,149,115,107
2021년07월_남_80~89세,769,175,137,94,76,110,76,53,48
2021년07월_남_90~99세,74,16,10,10,7,9,9,6,7
2021년07월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년07월_여_총인구수,"14,103","5,195","2,558","1,236",964,"1,691",852,738,869
2021년07월_여_연령구간인구수,"14,103","5,195","2,558","1,236",964,"1,691",852,738,869
2021년07월_여_0~9세,539,295,115,32,19,36,17,12,13
2021년07월_여_10~19세,891,447,179,49,48,78,21,18,51
2021년07월_여_20~29세,885,477,163,61,45,44,23,33,39
2021년07월_여_30~39세,869,461,172,40,32,64,31,28,41
2021년07월_여_40~49세,"1,411",687,284,81,70,149,49,40,51
2021년07월_여_50~59세,"2,519",894,433,215,185,336,175,124,157
2021년07월_여_60~69세,"3,236",966,533,328,274,453,250,208,224
2021년07월_여_70~79세,"2,117",567,410,230,159,300,158,141,152
2021년07월_여_80~89세,"1,413",342,236,166,114,197,116,118,124
2021년07월_여_90~99세,212,55,33,32,16,34,12,15,15
2021년07월_여_100세 이상,11,4,0,2,2,0,0,1,2
