,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년05월_계_총인구수,"323,192","19,149","25,168","16,318","22,668","8,859","27,616","48,890","21,624","32,678","26,723","30,865","16,967","14,883","10,784"
2020년05월_계_연령구간인구수,"323,192","19,149","25,168","16,318","22,668","8,859","27,616","48,890","21,624","32,678","26,723","30,865","16,967","14,883","10,784"
2020년05월_계_0~9세,"24,670",877,"2,067","1,322","1,909",485,"1,715","3,690","1,289","2,289","2,082","3,602","1,589","1,267",487
2020년05월_계_10~19세,"31,447","1,138","3,186","1,220","2,428",606,"2,210","4,542","1,860","3,699","3,371","3,327","1,881","1,358",621
2020년05월_계_20~29세,"46,535","2,666","3,399","2,142","3,148","1,408","4,177","7,802","3,383","5,866","3,773","3,502","2,325","1,886","1,058"
2020년05월_계_30~39세,"43,228","2,311","2,957","2,065","2,972","1,258","4,003","7,854","2,371","3,688","3,127","4,889","2,385","2,087","1,261"
2020년05월_계_40~49세,"52,592","2,534","4,456","2,531","3,822","1,369","4,232","8,532","3,242","5,449","4,363","5,481","2,688","2,435","1,458"
2020년05월_계_50~59세,"62,529","3,883","4,823","3,282","4,022","1,769","5,458","9,285","4,817","6,699","5,471","4,937","3,273","2,752","2,058"
2020년05월_계_60~69세,"39,975","3,511","2,681","2,343","2,757","1,216","3,741","5,085","2,915","3,183","3,093","3,281","1,964","2,022","2,183"
2020년05월_계_70~79세,"16,054","1,645","1,188","1,013","1,173",559,"1,430","1,538","1,219","1,268","1,050","1,375",619,757,"1,220"
2020년05월_계_80~89세,"5,462",524,349,344,381,167,582,492,475,472,350,428,217,287,394
2020년05월_계_90~99세,668,54,60,53,53,22,64,67,53,64,43,40,26,29,40
2020년05월_계_100세 이상,32,6,2,3,3,0,4,3,0,1,0,3,0,3,4
2020년05월_남_총인구수,"164,865","9,772","12,931","8,306","11,427","4,707","13,931","25,230","11,042","16,734","13,419","15,456","8,529","7,635","5,746"
2020년05월_남_연령구간인구수,"164,865","9,772","12,931","8,306","11,427","4,707","13,931","25,230","11,042","16,734","13,419","15,456","8,529","7,635","5,746"
2020년05월_남_0~9세,"12,717",448,"1,093",699,983,256,894,"1,864",735,"1,179","1,057","1,802",806,650,251
2020년05월_남_10~19세,"16,581",581,"1,736",652,"1,254",314,"1,175","2,352",976,"1,914","1,853","1,726",999,710,339
2020년05월_남_20~29세,"25,972","1,531","1,934","1,169","1,735",814,"2,322","4,274","1,899","3,358","2,168","1,879","1,261","1,017",611
2020년05월_남_30~39세,"22,929","1,333","1,528","1,072","1,540",718,"2,167","4,259","1,302","1,989","1,566","2,396","1,193","1,117",749
2020년05월_남_40~49세,"25,667","1,346","2,068","1,288","1,852",742,"2,104","4,157","1,568","2,502","1,899","2,748","1,254","1,257",882
2020년05월_남_50~59세,"31,498","1,928","2,509","1,662","2,033",911,"2,606","4,723","2,425","3,390","2,664","2,489","1,632","1,380","1,146"
2020년05월_남_60~69세,"19,884","1,665","1,337","1,132","1,336",615,"1,814","2,626","1,439","1,633","1,587","1,601","1,012","1,030","1,057"
2020년05월_남_70~79세,"7,655",752,597,486,543,275,655,801,540,601,509,653,299,374,570
2020년05월_남_80~89세,"1,838",180,120,134,137,59,181,161,147,158,108,154,70,95,134
2020년05월_남_90~99세,114,7,8,10,13,3,12,12,11,10,8,8,3,2,7
2020년05월_남_100세 이상,10,1,1,2,1,0,1,1,0,0,0,0,0,3,0
2020년05월_여_총인구수,"158,327","9,377","12,237","8,012","11,241","4,152","13,685","23,660","10,582","15,944","13,304","15,409","8,438","7,248","5,038"
2020년05월_여_연령구간인구수,"158,327","9,377","12,237","8,012","11,241","4,152","13,685","23,660","10,582","15,944","13,304","15,409","8,438","7,248","5,038"
2020년05월_여_0~9세,"11,953",429,974,623,926,229,821,"1,826",554,"1,110","1,025","1,800",783,617,236
2020년05월_여_10~19세,"14,866",557,"1,450",568,"1,174",292,"1,035","2,190",884,"1,785","1,518","1,601",882,648,282
2020년05월_여_20~29세,"20,563","1,135","1,465",973,"1,413",594,"1,855","3,528","1,484","2,508","1,605","1,623","1,064",869,447
2020년05월_여_30~39세,"20,299",978,"1,429",993,"1,432",540,"1,836","3,595","1,069","1,699","1,561","2,493","1,192",970,512
2020년05월_여_40~49세,"26,925","1,188","2,388","1,243","1,970",627,"2,128","4,375","1,674","2,947","2,464","2,733","1,434","1,178",576
2020년05월_여_50~59세,"31,031","1,955","2,314","1,620","1,989",858,"2,852","4,562","2,392","3,309","2,807","2,448","1,641","1,372",912
2020년05월_여_60~69세,"20,091","1,846","1,344","1,211","1,421",601,"1,927","2,459","1,476","1,550","1,506","1,680",952,992,"1,126"
2020년05월_여_70~79세,"8,399",893,591,527,630,284,775,737,679,667,541,722,320,383,650
2020년05월_여_80~89세,"3,624",344,229,210,244,108,401,331,328,314,242,274,147,192,260
2020년05월_여_90~99세,554,47,52,43,40,19,52,55,42,54,35,32,23,27,33
2020년05월_여_100세 이상,22,5,1,1,2,0,3,2,0,1,0,3,0,0,4
