카테고리,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년06월_계_총인구수,"82,059","4,605","3,826","6,261","9,751","21,359","28,562","4,511","3,184"
2020년06월_계_연령구간인구수,"82,059","4,605","3,826","6,261","9,751","21,359","28,562","4,511","3,184"
2020년06월_계_0~9세,"5,910",178,254,237,574,"1,404","2,939",243,81
2020년06월_계_10~19세,"7,554",273,273,452,912,"2,291","2,971",254,128
2020년06월_계_20~29세,"8,924",431,327,646,"1,081","2,423","3,363",388,265
2020년06월_계_30~39세,"9,288",434,385,472,993,"2,200","4,052",510,242
2020년06월_계_40~49세,"12,524",551,515,800,"1,439","3,486","4,834",547,352
2020년06월_계_50~59세,"15,133",929,766,"1,300","1,805","4,029","4,761",873,670
2020년06월_계_60~69세,"12,229",999,653,"1,180","1,630","3,020","3,170",840,737
2020년06월_계_70~79세,"6,750",526,432,733,856,"1,596","1,644",498,465
2020년06월_계_80~89세,"3,119",237,189,353,376,760,708,291,205
2020년06월_계_90~99세,594,44,30,84,81,143,114,62,36
2020년06월_계_100세 이상,34,3,2,4,4,7,6,5,3
2020년06월_남_총인구수,"40,583","2,393","1,923","3,053","4,785","10,546","13,977","2,267","1,639"
2020년06월_남_연령구간인구수,"40,583","2,393","1,923","3,053","4,785","10,546","13,977","2,267","1,639"
2020년06월_남_0~9세,"2,983",90,137,127,292,685,"1,483",128,41
2020년06월_남_10~19세,"3,905",150,140,227,479,"1,157","1,536",138,78
2020년06월_남_20~29세,"5,020",270,174,378,608,"1,362","1,854",221,153
2020년06월_남_30~39세,"4,952",248,203,275,553,"1,167","2,069",288,149
2020년06월_남_40~49세,"6,227",312,283,409,716,"1,682","2,337",299,189
2020년06월_남_50~59세,"7,460",482,394,619,866,"2,005","2,273",461,360
2020년06월_남_60~69세,"5,921",505,318,569,780,"1,511","1,458",422,358
2020년06월_남_70~79세,"2,924",243,206,308,353,696,692,206,220
2020년06월_남_80~89세,"1,050",85,61,126,118,249,241,88,82
2020년06월_남_90~99세,128,6,7,13,18,32,31,13,8
2020년06월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년06월_여_총인구수,"41,476","2,212","1,903","3,208","4,966","10,813","14,585","2,244","1,545"
2020년06월_여_연령구간인구수,"41,476","2,212","1,903","3,208","4,966","10,813","14,585","2,244","1,545"
2020년06월_여_0~9세,"2,927",88,117,110,282,719,"1,456",115,40
2020년06월_여_10~19세,"3,649",123,133,225,433,"1,134","1,435",116,50
2020년06월_여_20~29세,"3,904",161,153,268,473,"1,061","1,509",167,112
2020년06월_여_30~39세,"4,336",186,182,197,440,"1,033","1,983",222,93
2020년06월_여_40~49세,"6,297",239,232,391,723,"1,804","2,497",248,163
2020년06월_여_50~59세,"7,673",447,372,681,939,"2,024","2,488",412,310
2020년06월_여_60~69세,"6,308",494,335,611,850,"1,509","1,712",418,379
2020년06월_여_70~79세,"3,826",283,226,425,503,900,952,292,245
2020년06월_여_80~89세,"2,069",152,128,227,258,511,467,203,123
2020년06월_여_90~99세,466,38,23,71,63,111,83,49,28
2020년06월_여_100세 이상,21,1,2,2,2,7,3,2,2
