카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년01월_계_총인구수,"51,601","13,400","1,930","1,604","1,808","1,564","1,469","1,461","4,296","3,940","2,559","1,820","1,755","1,806","4,579","3,812",815,"2,145",838
2021년01월_계_연령구간인구수,"51,601","13,400","1,930","1,604","1,808","1,564","1,469","1,461","4,296","3,940","2,559","1,820","1,755","1,806","4,579","3,812",815,"2,145",838
2021년01월_계_0~9세,"1,894",795,25,39,33,23,34,35,128,151,92,40,39,35,241,95,23,50,16
2021년01월_계_10~19세,"2,292","1,030",61,40,52,38,51,40,153,136,47,48,57,57,253,124,12,69,24
2021년01월_계_20~29세,"3,103","1,123",77,66,87,60,60,59,225,255,123,87,97,102,363,191,22,76,30
2021년01월_계_30~39세,"3,208","1,178",88,74,71,50,74,70,220,282,129,94,88,82,347,202,32,84,43
2021년01월_계_40~49세,"4,683","1,755",144,99,141,105,70,96,357,352,182,130,126,125,487,273,48,142,51
2021년01월_계_50~59세,"8,657","2,212",318,259,338,293,261,245,674,706,425,316,305,314,762,616,146,334,133
2021년01월_계_60~69세,"11,848","2,571",533,421,492,419,442,419,"1,025",924,650,461,375,424,854,898,177,564,199
2021년01월_계_70~79세,"8,905","1,695",367,328,353,296,261,264,857,650,492,334,345,362,715,790,186,435,175
2021년01월_계_80~89세,"6,160",900,290,250,216,237,182,200,556,419,372,276,292,277,489,561,148,347,148
2021년01월_계_90~99세,802,129,25,28,24,43,31,29,94,61,45,33,30,26,66,59,21,40,18
2021년01월_계_100세 이상,49,12,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2021년01월_남_총인구수,"25,211","6,570",953,785,887,746,754,728,"2,104","1,900","1,242",907,867,865,"2,175","1,875",391,"1,067",395
2021년01월_남_연령구간인구수,"25,211","6,570",953,785,887,746,754,728,"2,104","1,900","1,242",907,867,865,"2,175","1,875",391,"1,067",395
2021년01월_남_0~9세,994,432,17,21,22,10,13,20,74,70,40,17,22,22,118,50,11,25,10
2021년01월_남_10~19세,"1,192",550,37,20,21,21,31,17,80,70,25,28,28,28,114,65,7,35,15
2021년01월_남_20~29세,"1,791",621,49,41,44,31,43,32,129,145,77,48,69,61,205,120,15,44,17
2021년01월_남_30~39세,"1,785",609,57,49,47,28,46,40,125,147,76,56,52,49,192,126,13,48,25
2021년01월_남_40~49세,"2,734",927,100,66,90,76,37,59,210,211,118,90,80,75,261,176,27,100,31
2021년01월_남_50~59세,"4,691","1,146",179,142,183,157,137,136,365,396,230,175,166,186,404,334,86,190,79
2021년01월_남_60~69세,"5,953","1,222",270,212,254,209,249,239,527,431,326,244,187,221,418,452,100,289,103
2021년01월_남_70~79세,"3,870",742,145,148,147,134,121,108,381,286,230,151,153,139,302,341,72,201,69
2021년01월_남_80~89세,"2,015",290,97,82,73,73,70,71,182,129,113,91,104,77,152,189,53,125,44
2021년01월_남_90~99세,177,29,2,4,5,7,6,5,30,15,7,7,6,7,9,20,7,9,2
2021년01월_남_100세 이상,9,2,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,0
2021년01월_여_총인구수,"26,390","6,830",977,819,921,818,715,733,"2,192","2,040","1,317",913,888,941,"2,404","1,937",424,"1,078",443
2021년01월_여_연령구간인구수,"26,390","6,830",977,819,921,818,715,733,"2,192","2,040","1,317",913,888,941,"2,404","1,937",424,"1,078",443
2021년01월_여_0~9세,900,363,8,18,11,13,21,15,54,81,52,23,17,13,123,45,12,25,6
2021년01월_여_10~19세,"1,100",480,24,20,31,17,20,23,73,66,22,20,29,29,139,59,5,34,9
2021년01월_여_20~29세,"1,312",502,28,25,43,29,17,27,96,110,46,39,28,41,158,71,7,32,13
2021년01월_여_30~39세,"1,423",569,31,25,24,22,28,30,95,135,53,38,36,33,155,76,19,36,18
2021년01월_여_40~49세,"1,949",828,44,33,51,29,33,37,147,141,64,40,46,50,226,97,21,42,20
2021년01월_여_50~59세,"3,966","1,066",139,117,155,136,124,109,309,310,195,141,139,128,358,282,60,144,54
2021년01월_여_60~69세,"5,895","1,349",263,209,238,210,193,180,498,493,324,217,188,203,436,446,77,275,96
2021년01월_여_70~79세,"5,035",953,222,180,206,162,140,156,476,364,262,183,192,223,413,449,114,234,106
2021년01월_여_80~89세,"4,145",610,193,168,143,164,112,129,374,290,259,185,188,200,337,372,95,222,104
2021년01월_여_90~99세,625,100,23,24,19,36,25,24,64,46,38,26,24,19,57,39,14,31,16
2021년01월_여_100세 이상,40,10,2,0,0,0,2,3,6,4,2,1,1,2,2,1,0,3,1
