,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년05월_계_총인구수,"834,378","78,889","17,453","84,296","39,646","7,317","5,835","6,943","10,953","7,077","9,914","10,250","4,021","11,353","19,495","44,168","28,214","24,521","32,514","13,841","23,392","50,736","36,059","41,855","53,622","39,093","30,463","77,428","25,030"
2020년05월_계_연령구간인구수,"834,378","78,889","17,453","84,296","39,646","7,317","5,835","6,943","10,953","7,077","9,914","10,250","4,021","11,353","19,495","44,168","28,214","24,521","32,514","13,841","23,392","50,736","36,059","41,855","53,622","39,093","30,463","77,428","25,030"
2020년05월_계_0~9세,"105,931","8,404","1,004","10,867","4,063",329,251,277,486,188,316,414,114,459,"3,584","4,681","2,792","2,687","4,557","1,448","1,911","6,572","4,629","6,143","9,809","6,194","4,517","14,709","4,526"
2020년05월_계_10~19세,"94,503","9,763","1,477","9,828","3,411",500,334,433,817,306,472,622,167,807,"1,845","4,021","3,167","4,006","3,975","1,884","2,310","6,936","6,494","5,295","8,522","3,937","2,839","8,226","2,109"
2020년05월_계_20~29세,"100,281","9,635","1,810","10,028","5,305",854,596,750,999,568,"1,010",985,388,"1,332","2,296","7,098","4,686","2,889","4,161","1,682","3,112","7,419","3,702","5,946","4,220","4,228","4,383","7,389","2,810"
2020년05월_계_30~39세,"150,853","11,149","1,687","15,966","6,855",686,507,747,892,544,"1,025",896,378,"1,163","4,510","9,353","4,578","3,284","6,051","1,633","3,114","9,802","4,520","8,557","10,011","9,614","7,766","18,634","6,931"
2020년05월_계_40~49세,"159,242","15,421","2,802","16,707","6,473","1,010",690,998,"1,459",827,"1,491","1,329",494,"1,694","3,574","7,780","5,140","5,470","5,960","2,787","3,998","10,374","8,783","8,378","13,037","7,565","5,511","15,213","4,277"
2020년05월_계_50~59세,"111,363","11,957","3,475","10,535","6,300","1,559","1,261","1,443","2,194","1,606","2,344","2,215",944,"2,404","2,370","5,777","3,947","3,158","4,477","2,205","4,172","6,089","4,592","3,996","5,059","3,916","3,129","7,826","2,413"
2020년05월_계_60~69세,"65,122","7,388","2,638","5,930","4,182","1,251","1,092","1,197","1,980","1,593","1,829","1,973",809,"1,846",968,"3,280","2,268","1,628","2,238","1,286","2,855","2,219","1,898","1,970","1,925","2,274","1,489","3,757","1,359"
2020년05월_계_70~79세,"31,074","3,573","1,614","2,882","1,983",722,650,704,"1,255",834,844,"1,107",432,"1,015",224,"1,488","1,159",939,743,645,"1,294",920,"1,036","1,138",729,986,568,"1,177",413
2020년05월_계_80~89세,"13,953","1,367",832,"1,381",933,356,386,342,735,527,502,639,263,552,108,607,421,408,298,242,555,359,356,382,261,331,219,427,164
2020년05월_계_90~99세,"1,947",219,109,162,137,47,65,48,127,75,76,62,31,73,16,81,55,51,52,28,63,44,46,49,49,46,41,67,28
2020년05월_계_100세 이상,109,13,5,10,4,3,3,4,9,9,5,8,1,8,0,2,1,1,2,1,8,2,3,1,0,2,1,3,0
2020년05월_남_총인구수,"432,499","39,985","9,481","44,990","21,586","3,854","3,293","4,139","5,881","3,919","5,998","5,865","2,437","6,567","9,840","23,678","14,411","11,954","16,450","7,105","12,315","25,984","17,758","21,450","26,685","19,547","15,771","38,884","12,672"
2020년05월_남_연령구간인구수,"432,499","39,985","9,481","44,990","21,586","3,854","3,293","4,139","5,881","3,919","5,998","5,865","2,437","6,567","9,840","23,678","14,411","11,954","16,450","7,105","12,315","25,984","17,758","21,450","26,685","19,547","15,771","38,884","12,672"
2020년05월_남_0~9세,"54,253","4,175",524,"5,654","2,099",171,139,153,254,96,174,234,63,244,"1,776","2,404","1,455","1,355","2,295",761,995,"3,338","2,365","3,141","5,014","3,202","2,321","7,552","2,299"
2020년05월_남_10~19세,"48,271","4,878",756,"5,035","1,781",268,178,235,449,164,252,340,88,416,938,"2,031","1,617","2,019","2,037",987,"1,223","3,565","3,286","2,757","4,274","1,991","1,491","4,164","1,051"
2020년05월_남_20~29세,"53,969","5,128","1,105","5,521","3,100",475,357,483,578,366,668,596,259,844,"1,179","4,030","2,539","1,450","2,225",916,"1,784","3,935","1,862","3,225","2,091","2,025","2,166","3,670","1,392"
2020년05월_남_30~39세,"78,297","5,585","1,005","8,896","4,019",386,321,522,526,331,700,583,255,765,"2,267","5,313","2,419","1,577","3,000",816,"1,695","4,887","2,048","4,437","4,384","4,801","4,127","9,061","3,571"
2020년05월_남_40~49세,"85,052","8,039","1,675","9,289","3,664",572,436,671,845,511,"1,021",859,357,"1,089","1,852","4,333","2,623","2,689","3,079","1,426","2,205","5,203","4,287","4,292","6,811","3,955","2,945","8,049","2,275"
2020년05월_남_50~59세,"59,751","6,325","1,986","5,812","3,380",868,737,891,"1,269",941,"1,503","1,358",610,"1,459","1,172","3,025","1,995","1,635","2,184","1,159","2,178","3,373","2,435","2,098","2,749","1,973","1,632","3,843","1,161"
2020년05월_남_60~69세,"33,062","3,690","1,341","2,991","2,219",649,638,673,"1,049",861,"1,062","1,108",485,"1,039",524,"1,626","1,099",707,"1,157",649,"1,429","1,107",886,846,949,"1,037",740,"1,839",662
2020년05월_남_70~79세,"14,483","1,655",774,"1,286",966,322,317,369,588,414,424,520,219,496,104,666,505,376,365,306,608,432,441,495,327,451,272,582,203
2020년05월_남_80~89세,"4,915",463,285,467,334,127,154,133,290,217,174,243,92,199,26,226,151,138,93,81,187,134,139,144,79,104,68,112,55
2020년05월_남_90~99세,413,43,27,34,24,14,14,9,33,15,20,19,9,14,2,23,8,8,14,4,9,10,8,15,7,8,8,11,3
2020년05월_남_100세 이상,33,4,3,5,0,2,2,0,0,3,0,5,0,2,0,1,0,0,1,0,2,0,1,0,0,0,1,1,0
2020년05월_여_총인구수,"401,879","38,904","7,972","39,306","18,060","3,463","2,542","2,804","5,072","3,158","3,916","4,385","1,584","4,786","9,655","20,490","13,803","12,567","16,064","6,736","11,077","24,752","18,301","20,405","26,937","19,546","14,692","38,544","12,358"
2020년05월_여_연령구간인구수,"401,879","38,904","7,972","39,306","18,060","3,463","2,542","2,804","5,072","3,158","3,916","4,385","1,584","4,786","9,655","20,490","13,803","12,567","16,064","6,736","11,077","24,752","18,301","20,405","26,937","19,546","14,692","38,544","12,358"
2020년05월_여_0~9세,"51,678","4,229",480,"5,213","1,964",158,112,124,232,92,142,180,51,215,"1,808","2,277","1,337","1,332","2,262",687,916,"3,234","2,264","3,002","4,795","2,992","2,196","7,157","2,227"
2020년05월_여_10~19세,"46,232","4,885",721,"4,793","1,630",232,156,198,368,142,220,282,79,391,907,"1,990","1,550","1,987","1,938",897,"1,087","3,371","3,208","2,538","4,248","1,946","1,348","4,062","1,058"
2020년05월_여_20~29세,"46,312","4,507",705,"4,507","2,205",379,239,267,421,202,342,389,129,488,"1,117","3,068","2,147","1,439","1,936",766,"1,328","3,484","1,840","2,721","2,129","2,203","2,217","3,719","1,418"
2020년05월_여_30~39세,"72,556","5,564",682,"7,070","2,836",300,186,225,366,213,325,313,123,398,"2,243","4,040","2,159","1,707","3,051",817,"1,419","4,915","2,472","4,120","5,627","4,813","3,639","9,573","3,360"
2020년05월_여_40~49세,"74,190","7,382","1,127","7,418","2,809",438,254,327,614,316,470,470,137,605,"1,722","3,447","2,517","2,781","2,881","1,361","1,793","5,171","4,496","4,086","6,226","3,610","2,566","7,164","2,002"
2020년05월_여_50~59세,"51,612","5,632","1,489","4,723","2,920",691,524,552,925,665,841,857,334,945,"1,198","2,752","1,952","1,523","2,293","1,046","1,994","2,716","2,157","1,898","2,310","1,943","1,497","3,983","1,252"
2020년05월_여_60~69세,"32,060","3,698","1,297","2,939","1,963",602,454,524,931,732,767,865,324,807,444,"1,654","1,169",921,"1,081",637,"1,426","1,112","1,012","1,124",976,"1,237",749,"1,918",697
2020년05월_여_70~79세,"16,591","1,918",840,"1,596","1,017",400,333,335,667,420,420,587,213,519,120,822,654,563,378,339,686,488,595,643,402,535,296,595,210
2020년05월_여_80~89세,"9,038",904,547,914,599,229,232,209,445,310,328,396,171,353,82,381,270,270,205,161,368,225,217,238,182,227,151,315,109
2020년05월_여_90~99세,"1,534",176,82,128,113,33,51,39,94,60,56,43,22,59,14,58,47,43,38,24,54,34,38,34,42,38,33,56,25
2020년05월_여_100세 이상,76,9,2,5,4,1,1,4,9,6,5,3,1,6,0,1,1,1,1,1,6,2,2,1,0,2,0,2,0
