카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년12월_계_총인구수,"26,800","9,543","1,701","1,199","1,041","1,532","1,563","1,431","1,854",756,"2,844","1,006","1,156","1,174"
2020년12월_계_연령구간인구수,"26,800","9,543","1,701","1,199","1,041","1,532","1,563","1,431","1,854",756,"2,844","1,006","1,156","1,174"
2020년12월_계_0~9세,"1,074",694,31,22,26,25,35,39,42,19,89,24,10,18
2020년12월_계_10~19세,"1,522",906,54,36,29,53,62,36,59,29,163,36,34,25
2020년12월_계_20~29세,"2,064","1,000",111,79,67,137,91,91,121,30,200,46,39,52
2020년12월_계_30~39세,"1,744",952,87,59,51,62,99,48,83,29,137,53,40,44
2020년12월_계_40~49세,"2,869","1,488",137,87,71,132,131,108,155,55,297,74,55,79
2020년12월_계_50~59세,"4,657","1,604",319,223,184,279,295,259,327,114,518,134,204,197
2020년12월_계_60~69세,"5,381","1,424",405,300,234,342,359,331,450,203,546,237,266,284
2020년12월_계_70~79세,"4,006",883,281,201,198,263,246,271,350,141,518,200,234,220
2020년12월_계_80~89세,"3,046",525,241,162,159,214,213,219,236,121,320,178,240,218
2020년12월_계_90~99세,428,64,33,30,22,25,32,29,30,14,56,24,34,35
2020년12월_계_100세 이상,9,3,2,0,0,0,0,0,1,1,0,0,0,2
2020년12월_남_총인구수,"13,140","4,692",852,592,499,756,762,700,947,357,"1,360",525,541,557
2020년12월_남_연령구간인구수,"13,140","4,692",852,592,499,756,762,700,947,357,"1,360",525,541,557
2020년12월_남_0~9세,548,359,18,14,8,14,15,18,22,12,40,16,5,7
2020년12월_남_10~19세,819,482,31,22,19,27,27,15,30,19,89,24,20,14
2020년12월_남_20~29세,"1,167",529,62,50,45,90,45,49,75,18,121,25,31,27
2020년12월_남_30~39세,925,448,53,37,29,29,61,32,46,19,85,36,18,32
2020년12월_남_40~49세,"1,647",783,88,53,45,77,77,68,97,38,178,58,34,51
2020년12월_남_50~59세,"2,577",865,178,116,104,158,165,154,176,59,284,79,119,120
2020년12월_남_60~69세,"2,834",687,237,158,124,189,208,182,256,103,258,143,142,147
2020년12월_남_70~79세,"1,647",377,115,84,82,99,98,107,161,52,215,80,93,84
2020년12월_남_80~89세,884,146,62,49,39,69,61,63,76,36,85,59,75,64
2020년12월_남_90~99세,90,16,8,9,4,4,5,12,7,1,5,5,4,10
2020년12월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년12월_여_총인구수,"13,660","4,851",849,607,542,776,801,731,907,399,"1,484",481,615,617
2020년12월_여_연령구간인구수,"13,660","4,851",849,607,542,776,801,731,907,399,"1,484",481,615,617
2020년12월_여_0~9세,526,335,13,8,18,11,20,21,20,7,49,8,5,11
2020년12월_여_10~19세,703,424,23,14,10,26,35,21,29,10,74,12,14,11
2020년12월_여_20~29세,897,471,49,29,22,47,46,42,46,12,79,21,8,25
2020년12월_여_30~39세,819,504,34,22,22,33,38,16,37,10,52,17,22,12
2020년12월_여_40~49세,"1,222",705,49,34,26,55,54,40,58,17,119,16,21,28
2020년12월_여_50~59세,"2,080",739,141,107,80,121,130,105,151,55,234,55,85,77
2020년12월_여_60~69세,"2,547",737,168,142,110,153,151,149,194,100,288,94,124,137
2020년12월_여_70~79세,"2,359",506,166,117,116,164,148,164,189,89,303,120,141,136
2020년12월_여_80~89세,"2,162",379,179,113,120,145,152,156,160,85,235,119,165,154
2020년12월_여_90~99세,338,48,25,21,18,21,27,17,23,13,51,19,30,25
2020년12월_여_100세 이상,7,3,2,0,0,0,0,0,0,1,0,0,0,1
