카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년08월_계_총인구수,"209,547","5,821","28,202","10,613","8,758","12,957","22,350","13,423","15,254","23,207","13,139","28,447","27,376"
2021년08월_계_연령구간인구수,"209,547","5,821","28,202","10,613","8,758","12,957","22,350","13,423","15,254","23,207","13,139","28,447","27,376"
2021년08월_계_0~9세,"11,623",232,"1,510",253,485,684,"1,027",489,931,"1,384",694,"1,802","2,132"
2021년08월_계_10~19세,"14,619",276,"1,963",420,635,923,"1,030",670,"1,086","1,811","1,041","2,198","2,566"
2021년08월_계_20~29세,"28,157",626,"3,559",808,"1,028","1,642","4,318","1,580","2,051","3,990","1,748","3,297","3,510"
2021년08월_계_30~39세,"24,466",564,"3,292",727,961,"1,470","3,269","1,534","1,757","3,005","1,456","3,228","3,203"
2021년08월_계_40~49세,"28,707",672,"3,729","1,230","1,189","1,684","2,699","1,717","1,979","3,399","1,764","4,283","4,362"
2021년08월_계_50~59세,"39,428","1,233","5,353","2,059","1,724","2,519","4,111","2,718","3,004","3,779","2,386","5,238","5,304"
2021년08월_계_60~69세,"38,179","1,281","5,438","2,567","1,596","2,557","3,813","2,817","2,848","3,469","2,431","5,271","4,091"
2021년08월_계_70~79세,"17,469",668,"2,418","1,693",828,"1,096","1,576","1,388","1,163","1,663","1,101","2,269","1,606"
2021년08월_계_80~89세,"6,203",242,826,783,288,336,455,448,391,635,477,781,541
2021년08월_계_90~99세,651,22,97,70,24,44,47,59,44,67,41,77,59
2021년08월_계_100세 이상,45,5,17,3,0,2,5,3,0,5,0,3,2
2021년08월_남_총인구수,"105,794","3,120","14,087","5,072","4,482","6,558","11,604","7,108","7,794","11,622","6,425","14,235","13,687"
2021년08월_남_연령구간인구수,"105,794","3,120","14,087","5,072","4,482","6,558","11,604","7,108","7,794","11,622","6,425","14,235","13,687"
2021년08월_남_0~9세,"5,948",129,756,131,251,349,532,250,485,685,359,930,"1,091"
2021년08월_남_10~19세,"7,618",145,"1,029",218,333,483,553,359,567,932,532,"1,164","1,303"
2021년08월_남_20~29세,"15,019",364,"1,903",481,605,876,"2,083",858,"1,117","2,051",914,"1,833","1,934"
2021년08월_남_30~39세,"13,207",308,"1,778",397,522,777,"1,829",885,951,"1,616",794,"1,709","1,641"
2021년08월_남_40~49세,"15,102",391,"1,912",742,624,903,"1,500","1,000","1,010","1,782",890,"2,209","2,139"
2021년08월_남_50~59세,"19,682",706,"2,619","1,082",905,"1,207","2,167","1,478","1,463","1,811","1,092","2,531","2,621"
2021년08월_남_60~69세,"18,919",684,"2,618","1,183",775,"1,290","1,985","1,448","1,461","1,723","1,163","2,571","2,018"
2021년08월_남_70~79세,"8,074",304,"1,159",623,361,544,773,645,584,782,504,"1,021",774
2021년08월_남_80~89세,"2,107",86,293,203,102,122,175,176,151,227,167,245,160
2021년08월_남_90~99세,114,3,20,12,4,6,6,8,5,12,10,22,6
2021년08월_남_100세 이상,4,0,0,0,0,1,1,1,0,1,0,0,0
2021년08월_여_총인구수,"103,753","2,701","14,115","5,541","4,276","6,399","10,746","6,315","7,460","11,585","6,714","14,212","13,689"
2021년08월_여_연령구간인구수,"103,753","2,701","14,115","5,541","4,276","6,399","10,746","6,315","7,460","11,585","6,714","14,212","13,689"
2021년08월_여_0~9세,"5,675",103,754,122,234,335,495,239,446,699,335,872,"1,041"
2021년08월_여_10~19세,"7,001",131,934,202,302,440,477,311,519,879,509,"1,034","1,263"
2021년08월_여_20~29세,"13,138",262,"1,656",327,423,766,"2,235",722,934,"1,939",834,"1,464","1,576"
2021년08월_여_30~39세,"11,259",256,"1,514",330,439,693,"1,440",649,806,"1,389",662,"1,519","1,562"
2021년08월_여_40~49세,"13,605",281,"1,817",488,565,781,"1,199",717,969,"1,617",874,"2,074","2,223"
2021년08월_여_50~59세,"19,746",527,"2,734",977,819,"1,312","1,944","1,240","1,541","1,968","1,294","2,707","2,683"
2021년08월_여_60~69세,"19,260",597,"2,820","1,384",821,"1,267","1,828","1,369","1,387","1,746","1,268","2,700","2,073"
2021년08월_여_70~79세,"9,395",364,"1,259","1,070",467,552,803,743,579,881,597,"1,248",832
2021년08월_여_80~89세,"4,096",156,533,580,186,214,280,272,240,408,310,536,381
2021년08월_여_90~99세,537,19,77,58,20,38,41,51,39,55,31,55,53
2021년08월_여_100세 이상,41,5,17,3,0,1,4,2,0,4,0,3,2
