카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년10월_계_총인구수,"283,803","7,597","19,638","1,450","2,565","1,074","3,775","2,513",951,"17,177","3,435","3,522","2,715","3,162","8,507","9,357","11,591","14,607","20,900","4,422","11,986","4,353","34,667","48,889","22,035","22,915"
2021년10월_계_연령구간인구수,"283,803","7,597","19,638","1,450","2,565","1,074","3,775","2,513",951,"17,177","3,435","3,522","2,715","3,162","8,507","9,357","11,591","14,607","20,900","4,422","11,986","4,353","34,667","48,889","22,035","22,915"
2021년10월_계_0~9세,"20,876",327,"2,023",23,97,19,100,67,14,"1,319",71,95,84,194,885,709,487,"1,238","1,703",319,384,125,"2,281","4,220","1,890","2,202"
2021년10월_계_10~19세,"26,504",443,"2,471",58,132,28,178,136,19,"1,695",155,160,115,183,629,764,818,"1,395","1,894",364,632,223,"4,212","5,704","1,839","2,257"
2021년10월_계_20~29세,"37,432",726,"1,939",108,233,50,230,173,32,"2,115",219,889,337,400,"1,002","1,174","1,840","2,125","2,614",517,"2,805",958,"5,035","6,321","2,747","2,843"
2021년10월_계_30~39세,"34,171",649,"2,302",94,193,51,225,114,36,"2,279",235,410,292,381,"1,412","1,159","1,346","2,066","2,703",461,"1,328",571,"3,582","6,033","3,191","3,058"
2021년10월_계_40~49세,"41,854",854,"3,572",106,239,84,334,209,58,"2,811",338,366,345,406,"1,133","1,332","1,469","2,102","3,034",648,"1,371",448,"5,651","8,134","3,281","3,529"
2021년10월_계_50~59세,"46,674","1,391","3,034",232,492,195,656,447,188,"2,783",655,483,453,527,"1,191","1,614","1,889","2,302","3,391",740,"1,777",658,"6,191","8,251","3,637","3,497"
2021년10월_계_60~69세,"41,337","1,562","2,641",441,636,301,"1,003",707,306,"2,420",929,525,503,508,"1,117","1,366","1,971","1,780","3,050",709,"1,789",688,"4,258","5,929","3,205","2,993"
2021년10월_계_70~79세,"20,493",896,983,203,286,194,569,367,186,"1,024",491,362,331,335,650,749,"1,043",928,"1,489",384,"1,121",378,"2,077","2,502","1,428","1,517"
2021년10월_계_80~89세,"12,453",648,558,169,219,126,397,251,99,623,288,207,214,187,424,418,626,578,884,242,690,268,"1,214","1,564",682,877
2021년10월_계_90~99세,"1,935",97,111,15,38,25,78,42,13,103,50,23,41,38,60,68,100,88,134,37,86,35,160,228,125,140
2021년10월_계_100세 이상,74,4,4,1,0,1,5,0,0,5,4,2,0,3,4,4,2,5,4,1,3,1,6,3,10,2
2021년10월_남_총인구수,"140,204","3,817","9,705",789,"1,330",580,"1,943","1,247",521,"8,584","1,811","1,822","1,321","1,511","4,297","4,583","5,778","6,928","9,973","2,208","6,342","2,210","17,014","23,589","10,788","11,513"
2021년10월_남_연령구간인구수,"140,204","3,817","9,705",789,"1,330",580,"1,943","1,247",521,"8,584","1,811","1,822","1,321","1,511","4,297","4,583","5,778","6,928","9,973","2,208","6,342","2,210","17,014","23,589","10,788","11,513"
2021년10월_남_0~9세,"10,719",163,"1,028",8,56,13,44,34,7,699,41,61,47,86,464,353,255,620,877,155,192,68,"1,141","2,153",980,"1,174"
2021년10월_남_10~19세,"13,774",229,"1,279",38,57,16,108,75,10,865,88,88,67,96,353,410,428,724,951,203,321,115,"2,148","2,951",956,"1,198"
2021년10월_남_20~29세,"20,039",412,"1,046",63,148,31,128,111,18,"1,099",118,489,163,217,506,618,974,"1,062","1,356",281,"1,660",485,"2,653","3,348","1,428","1,625"
2021년10월_남_30~39세,"17,503",345,"1,078",59,101,34,120,64,22,"1,197",138,226,158,194,745,604,756,"1,022","1,368",245,784,319,"1,850","2,955","1,618","1,501"
2021년10월_남_40~49세,"20,686",462,"1,766",70,139,46,195,100,34,"1,407",198,200,189,206,587,683,760,998,"1,455",340,782,261,"2,677","3,772","1,597","1,762"
2021년10월_남_50~59세,"23,504",737,"1,553",135,281,122,373,225,109,"1,420",374,255,247,275,676,791,960,"1,084","1,606",367,989,344,"3,116","3,939","1,725","1,801"
2021년10월_남_60~69세,"19,999",802,"1,294",254,318,162,543,364,185,"1,198",483,248,236,237,548,655,939,810,"1,414",339,866,330,"2,056","2,800","1,499","1,419"
2021년10월_남_70~79세,"8,998",407,440,96,143,96,285,177,88,441,250,180,134,131,240,298,459,385,632,162,473,160,879,"1,058",704,680
2021년10월_남_80~89세,"4,491",229,200,62,80,55,133,90,46,230,104,65,72,61,149,151,223,196,281,105,259,120,454,554,249,323
2021년10월_남_90~99세,471,29,21,4,7,5,14,7,2,27,15,9,8,7,27,18,24,27,31,11,14,8,39,58,29,30
2021년10월_남_100세 이상,20,2,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,1,3,0
2021년10월_여_총인구수,"143,599","3,780","9,933",661,"1,235",494,"1,832","1,266",430,"8,593","1,624","1,700","1,394","1,651","4,210","4,774","5,813","7,679","10,927","2,214","5,644","2,143","17,653","25,300","11,247","11,402"
2021년10월_여_연령구간인구수,"143,599","3,780","9,933",661,"1,235",494,"1,832","1,266",430,"8,593","1,624","1,700","1,394","1,651","4,210","4,774","5,813","7,679","10,927","2,214","5,644","2,143","17,653","25,300","11,247","11,402"
2021년10월_여_0~9세,"10,157",164,995,15,41,6,56,33,7,620,30,34,37,108,421,356,232,618,826,164,192,57,"1,140","2,067",910,"1,028"
2021년10월_여_10~19세,"12,730",214,"1,192",20,75,12,70,61,9,830,67,72,48,87,276,354,390,671,943,161,311,108,"2,064","2,753",883,"1,059"
2021년10월_여_20~29세,"17,393",314,893,45,85,19,102,62,14,"1,016",101,400,174,183,496,556,866,"1,063","1,258",236,"1,145",473,"2,382","2,973","1,319","1,218"
2021년10월_여_30~39세,"16,668",304,"1,224",35,92,17,105,50,14,"1,082",97,184,134,187,667,555,590,"1,044","1,335",216,544,252,"1,732","3,078","1,573","1,557"
2021년10월_여_40~49세,"21,168",392,"1,806",36,100,38,139,109,24,"1,404",140,166,156,200,546,649,709,"1,104","1,579",308,589,187,"2,974","4,362","1,684","1,767"
2021년10월_여_50~59세,"23,170",654,"1,481",97,211,73,283,222,79,"1,363",281,228,206,252,515,823,929,"1,218","1,785",373,788,314,"3,075","4,312","1,912","1,696"
2021년10월_여_60~69세,"21,338",760,"1,347",187,318,139,460,343,121,"1,222",446,277,267,271,569,711,"1,032",970,"1,636",370,923,358,"2,202","3,129","1,706","1,574"
2021년10월_여_70~79세,"11,495",489,543,107,143,98,284,190,98,583,241,182,197,204,410,451,584,543,857,222,648,218,"1,198","1,444",724,837
2021년10월_여_80~89세,"7,962",419,358,107,139,71,264,161,53,393,184,142,142,126,275,267,403,382,603,137,431,148,760,"1,010",433,554
2021년10월_여_90~99세,"1,464",68,90,11,31,20,64,35,11,76,35,14,33,31,33,50,76,61,103,26,72,27,121,170,96,110
2021년10월_여_100세 이상,54,2,4,1,0,1,5,0,0,4,2,1,0,2,2,2,2,5,2,1,1,1,5,2,7,2
