,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년12월_계_총인구수,"142,918","6,556","7,090","4,220","53,087","30,409","2,345","35,270","3,941"
2021년12월_계_연령구간인구수,"142,918","6,556","7,090","4,220","53,087","30,409","2,345","35,270","3,941"
2021년12월_계_0~9세,"19,700",181,468,78,"9,679","4,849",52,"4,279",114
2021년12월_계_10~19세,"12,957",267,467,118,"4,715","4,468",56,"2,724",142
2021년12월_계_20~29세,"12,565",574,841,320,"4,518","2,356",180,"3,469",307
2021년12월_계_30~39세,"26,821",563,878,336,"12,981","4,547",187,"6,969",360
2021년12월_계_40~49세,"26,072",660,910,331,"10,097","6,936",195,"6,506",437
2021년12월_계_50~59세,"17,201","1,187","1,061",785,"4,854","3,418",428,"4,675",793
2021년12월_계_60~69세,"17,050","1,674","1,364","1,318","4,192","2,586",614,"4,272","1,030"
2021년12월_계_70~79세,"7,224",981,711,628,"1,447",902,406,"1,662",487
2021년12월_계_80~89세,"2,845",404,334,259,519,289,195,616,229
2021년12월_계_90~99세,471,63,54,45,83,57,30,98,41
2021년12월_계_100세 이상,12,2,2,2,2,1,2,0,1
2021년12월_남_총인구수,"74,047","3,593","3,986","2,264","26,708","15,173","1,251","19,002","2,070"
2021년12월_남_연령구간인구수,"74,047","3,593","3,986","2,264","26,708","15,173","1,251","19,002","2,070"
2021년12월_남_0~9세,"10,224",83,258,45,"4,971","2,530",25,"2,252",60
2021년12월_남_10~19세,"6,589",143,249,60,"2,315","2,284",34,"1,434",70
2021년12월_남_20~29세,"6,857",338,553,207,"2,254","1,218",103,"1,992",192
2021년12월_남_30~39세,"13,637",325,520,201,"6,353","2,049",115,"3,853",221
2021년12월_남_40~49세,"14,461",417,550,211,"5,520","3,521",125,"3,854",263
2021년12월_남_50~59세,"8,978",676,615,428,"2,358","1,762",245,"2,478",416
2021년12월_남_60~69세,"8,596",931,740,713,"2,002","1,243",321,"2,132",514
2021년12월_남_70~79세,"3,619",514,367,309,741,446,209,786,247
2021년12월_남_80~89세,990,153,127,81,178,103,67,201,80
2021년12월_남_90~99세,94,13,6,9,16,16,7,20,7
2021년12월_남_100세 이상,2,0,1,0,0,1,0,0,0
2021년12월_여_총인구수,"68,871","2,963","3,104","1,956","26,379","15,236","1,094","16,268","1,871"
2021년12월_여_연령구간인구수,"68,871","2,963","3,104","1,956","26,379","15,236","1,094","16,268","1,871"
2021년12월_여_0~9세,"9,476",98,210,33,"4,708","2,319",27,"2,027",54
2021년12월_여_10~19세,"6,368",124,218,58,"2,400","2,184",22,"1,290",72
2021년12월_여_20~29세,"5,708",236,288,113,"2,264","1,138",77,"1,477",115
2021년12월_여_30~39세,"13,184",238,358,135,"6,628","2,498",72,"3,116",139
2021년12월_여_40~49세,"11,611",243,360,120,"4,577","3,415",70,"2,652",174
2021년12월_여_50~59세,"8,223",511,446,357,"2,496","1,656",183,"2,197",377
2021년12월_여_60~69세,"8,454",743,624,605,"2,190","1,343",293,"2,140",516
2021년12월_여_70~79세,"3,605",467,344,319,706,456,197,876,240
2021년12월_여_80~89세,"1,855",251,207,178,341,186,128,415,149
2021년12월_여_90~99세,377,50,48,36,67,41,23,78,34
2021년12월_여_100세 이상,10,2,1,2,2,0,2,0,1
