,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2020년09월_계_총인구수,"44,810","13,558","3,633","3,734","1,861","3,484","6,283","4,173","1,557","1,395","2,901","2,231"
2020년09월_계_연령구간인구수,"44,810","13,558","3,633","3,734","1,861","3,484","6,283","4,173","1,557","1,395","2,901","2,231"
2020년09월_계_0~9세,"2,853","1,017",302,170,54,150,739,193,58,33,81,56
2020년09월_계_10~19세,"3,308","1,198",291,174,76,199,658,275,96,61,181,99
2020년09월_계_20~29세,"4,367","1,315",310,375,146,494,755,416,130,107,186,133
2020년09월_계_30~39세,"3,747","1,207",268,326,132,200,846,285,105,79,154,145
2020년09월_계_40~49세,"5,644","1,939",473,426,186,395,920,537,172,112,274,210
2020년09월_계_50~59세,"7,541","2,176",614,704,366,585,852,797,282,236,490,439
2020년09월_계_60~69세,"7,176","1,999",611,691,364,582,623,746,287,279,523,471
2020년09월_계_70~79세,"5,942","1,644",440,505,283,498,535,545,252,285,551,404
2020년09월_계_80~89세,"3,693",932,284,318,216,348,316,318,146,179,416,220
2020년09월_계_90~99세,498,118,34,44,37,32,39,57,26,23,43,45
2020년09월_계_100세 이상,41,13,6,1,1,1,0,4,3,1,2,9
2020년09월_남_총인구수,"22,969","6,711","1,835","1,994",980,"1,959","3,269","2,104",814,696,"1,453","1,154"
2020년09월_남_연령구간인구수,"22,969","6,711","1,835","1,994",980,"1,959","3,269","2,104",814,696,"1,453","1,154"
2020년09월_남_0~9세,"1,432",527,160,84,23,78,353,92,29,14,42,30
2020년09월_남_10~19세,"1,746",620,159,93,43,103,344,137,52,36,106,53
2020년09월_남_20~29세,"2,611",707,167,217,90,427,458,236,68,70,101,70
2020년09월_남_30~39세,"1,998",605,125,205,82,107,465,145,66,41,82,75
2020년09월_남_40~49세,"3,237","1,050",248,275,121,257,509,319,108,61,163,126
2020년09월_남_50~59세,"4,284","1,198",373,397,213,334,490,447,162,131,283,256
2020년09월_남_60~69세,"3,753",976,300,381,212,303,334,397,156,145,284,265
2020년09월_남_70~79세,"2,606",722,202,226,113,221,210,231,116,124,243,198
2020년09월_남_80~89세,"1,180",283,91,101,72,121,96,87,49,69,139,72
2020년09월_남_90~99세,117,22,9,15,11,8,10,13,6,5,10,8
2020년09월_남_100세 이상,5,1,1,0,0,0,0,0,2,0,0,1
2020년09월_여_총인구수,"21,841","6,847","1,798","1,740",881,"1,525","3,014","2,069",743,699,"1,448","1,077"
2020년09월_여_연령구간인구수,"21,841","6,847","1,798","1,740",881,"1,525","3,014","2,069",743,699,"1,448","1,077"
2020년09월_여_0~9세,"1,421",490,142,86,31,72,386,101,29,19,39,26
2020년09월_여_10~19세,"1,562",578,132,81,33,96,314,138,44,25,75,46
2020년09월_여_20~29세,"1,756",608,143,158,56,67,297,180,62,37,85,63
2020년09월_여_30~39세,"1,749",602,143,121,50,93,381,140,39,38,72,70
2020년09월_여_40~49세,"2,407",889,225,151,65,138,411,218,64,51,111,84
2020년09월_여_50~59세,"3,257",978,241,307,153,251,362,350,120,105,207,183
2020년09월_여_60~69세,"3,423","1,023",311,310,152,279,289,349,131,134,239,206
2020년09월_여_70~79세,"3,336",922,238,279,170,277,325,314,136,161,308,206
2020년09월_여_80~89세,"2,513",649,193,217,144,227,220,231,97,110,277,148
2020년09월_여_90~99세,381,96,25,29,26,24,29,44,20,18,33,37
2020년09월_여_100세 이상,36,12,5,1,1,1,0,4,1,1,2,8
