카테고리,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년01월_계_총인구수,"116,587","8,334","13,732","4,174","4,239","3,007","3,606","3,554","6,120","2,472","6,315","3,437","3,967","2,270","35,006","16,354"
2021년01월_계_연령구간인구수,"116,587","8,334","13,732","4,174","4,239","3,007","3,606","3,554","6,120","2,472","6,315","3,437","3,967","2,270","35,006","16,354"
2021년01월_계_0~9세,"7,211",334,896,125,104,109,76,85,192,64,391,55,103,67,"3,341","1,269"
2021년01월_계_10~19세,"9,766",656,"1,111",184,237,141,169,153,324,105,421,126,197,133,"3,943","1,866"
2021년01월_계_20~29세,"11,348",714,"1,320",285,294,193,222,263,370,119,471,226,434,147,"4,504","1,786"
2021년01월_계_30~39세,"10,744",566,"1,286",245,244,219,216,200,344,113,546,169,251,132,"4,603","1,610"
2021년01월_계_40~49세,"15,333",961,"1,695",369,406,301,390,356,555,247,648,309,442,207,"5,874","2,573"
2021년01월_계_50~59세,"19,619","1,478","2,161",685,756,483,688,654,"1,211",436,"1,075",585,714,367,"5,455","2,871"
2021년01월_계_60~69세,"20,127","1,694","2,406",944,969,651,835,842,"1,484",611,"1,148",874,826,544,"3,988","2,311"
2021년01월_계_70~79세,"13,070","1,167","1,619",725,706,507,559,568,953,444,898,612,551,364,"2,094","1,303"
2021년01월_계_80~89세,"8,081",638,"1,064",549,480,347,387,371,584,273,622,409,377,254,"1,047",679
2021년01월_계_90~99세,"1,195",110,164,61,41,51,58,58,94,55,90,68,67,51,146,81
2021년01월_계_100세 이상,93,16,10,2,2,5,6,4,9,5,5,4,5,4,11,5
2021년01월_남_총인구수,"58,277","4,063","6,845","2,113","2,157","1,523","1,794","1,808","3,177","1,253","3,226","1,738","2,087","1,089","17,462","7,942"
2021년01월_남_연령구간인구수,"58,277","4,063","6,845","2,113","2,157","1,523","1,794","1,808","3,177","1,253","3,226","1,738","2,087","1,089","17,462","7,942"
2021년01월_남_0~9세,"3,685",175,452,65,51,58,39,43,105,26,211,31,50,34,"1,706",639
2021년01월_남_10~19세,"5,049",336,570,100,118,76,93,72,182,56,243,67,88,60,"2,034",954
2021년01월_남_20~29세,"6,356",406,747,161,168,113,121,154,226,66,279,131,265,87,"2,446",986
2021년01월_남_30~39세,"5,696",297,708,159,150,126,111,117,189,72,283,103,166,73,"2,352",790
2021년01월_남_40~49세,"8,120",510,939,243,253,176,209,216,311,153,348,172,286,113,"2,921","1,270"
2021년01월_남_50~59세,"10,324",746,"1,135",360,411,282,384,368,674,242,583,318,407,202,"2,757","1,455"
2021년01월_남_60~69세,"10,144",821,"1,204",490,524,328,438,439,800,322,605,468,434,279,"1,917","1,075"
2021년01월_남_70~79세,"5,810",498,713,304,323,239,259,265,452,214,408,285,250,143,928,529
2021년01월_남_80~89세,"2,760",237,336,211,150,111,120,124,213,82,239,139,128,82,358,230
2021년01월_남_90~99세,312,30,40,20,9,13,20,10,24,19,26,23,12,15,39,12
2021년01월_남_100세 이상,21,7,1,0,0,1,0,0,1,1,1,1,1,1,4,2
2021년01월_여_총인구수,"58,310","4,271","6,887","2,061","2,082","1,484","1,812","1,746","2,943","1,219","3,089","1,699","1,880","1,181","17,544","8,412"
2021년01월_여_연령구간인구수,"58,310","4,271","6,887","2,061","2,082","1,484","1,812","1,746","2,943","1,219","3,089","1,699","1,880","1,181","17,544","8,412"
2021년01월_여_0~9세,"3,526",159,444,60,53,51,37,42,87,38,180,24,53,33,"1,635",630
2021년01월_여_10~19세,"4,717",320,541,84,119,65,76,81,142,49,178,59,109,73,"1,909",912
2021년01월_여_20~29세,"4,992",308,573,124,126,80,101,109,144,53,192,95,169,60,"2,058",800
2021년01월_여_30~39세,"5,048",269,578,86,94,93,105,83,155,41,263,66,85,59,"2,251",820
2021년01월_여_40~49세,"7,213",451,756,126,153,125,181,140,244,94,300,137,156,94,"2,953","1,303"
2021년01월_여_50~59세,"9,295",732,"1,026",325,345,201,304,286,537,194,492,267,307,165,"2,698","1,416"
2021년01월_여_60~69세,"9,983",873,"1,202",454,445,323,397,403,684,289,543,406,392,265,"2,071","1,236"
2021년01월_여_70~79세,"7,260",669,906,421,383,268,300,303,501,230,490,327,301,221,"1,166",774
2021년01월_여_80~89세,"5,321",401,728,338,330,236,267,247,371,191,383,270,249,172,689,449
2021년01월_여_90~99세,883,80,124,41,32,38,38,48,70,36,64,45,55,36,107,69
2021년01월_여_100세 이상,72,9,9,2,2,4,6,4,8,4,4,3,4,3,7,3
