카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년09월_계_총인구수,"62,334","19,402","9,656","13,965","5,698","9,682","3,931"
2021년09월_계_연령구간인구수,"62,334","19,402","9,656","13,965","5,698","9,682","3,931"
2021년09월_계_0~9세,"3,189","1,079",519,605,153,690,143
2021년09월_계_10~19세,"4,561","1,664",781,962,306,657,191
2021년09월_계_20~29세,"6,153","2,173",884,"1,269",536,"1,039",252
2021년09월_계_30~39세,"5,571","1,820",828,"1,128",383,"1,146",266
2021년09월_계_40~49세,"7,803","2,633","1,110","1,878",561,"1,217",404
2021년09월_계_50~59세,"11,084","3,352","1,695","2,654","1,110","1,582",691
2021년09월_계_60~69세,"12,850","3,494","2,122","2,870","1,462","1,872","1,030"
2021년09월_계_70~79세,"6,754","1,887","1,008","1,613",746,946,554
2021년09월_계_80~89세,"3,809","1,130",594,868,388,481,348
2021년09월_계_90~99세,524,154,111,113,52,47,47
2021년09월_계_100세 이상,36,16,4,5,1,5,5
2021년09월_남_총인구수,"32,167","9,887","4,955","7,150","3,000","5,158","2,017"
2021년09월_남_연령구간인구수,"32,167","9,887","4,955","7,150","3,000","5,158","2,017"
2021년09월_남_0~9세,"1,610",559,252,307,77,355,60
2021년09월_남_10~19세,"2,369",891,377,493,162,342,104
2021년09월_남_20~29세,"3,570","1,202",485,731,371,637,144
2021년09월_남_30~39세,"3,039",953,466,613,209,643,155
2021년09월_남_40~49세,"4,204","1,411",570,"1,012",315,662,234
2021년09월_남_50~59세,"5,905","1,790",916,"1,426",565,831,377
2021년09월_남_60~69세,"6,640","1,755","1,108","1,455",765,"1,028",529
2021년09월_남_70~79세,"3,214",861,509,747,376,449,272
2021년09월_남_80~89세,"1,465",419,238,334,148,198,128
2021년09월_남_90~99세,137,42,31,30,11,11,12
2021년09월_남_100세 이상,14,4,3,2,1,2,2
2021년09월_여_총인구수,"30,167","9,515","4,701","6,815","2,698","4,524","1,914"
2021년09월_여_연령구간인구수,"30,167","9,515","4,701","6,815","2,698","4,524","1,914"
2021년09월_여_0~9세,"1,579",520,267,298,76,335,83
2021년09월_여_10~19세,"2,192",773,404,469,144,315,87
2021년09월_여_20~29세,"2,583",971,399,538,165,402,108
2021년09월_여_30~39세,"2,532",867,362,515,174,503,111
2021년09월_여_40~49세,"3,599","1,222",540,866,246,555,170
2021년09월_여_50~59세,"5,179","1,562",779,"1,228",545,751,314
2021년09월_여_60~69세,"6,210","1,739","1,014","1,415",697,844,501
2021년09월_여_70~79세,"3,540","1,026",499,866,370,497,282
2021년09월_여_80~89세,"2,344",711,356,534,240,283,220
2021년09월_여_90~99세,387,112,80,83,41,36,35
2021년09월_여_100세 이상,22,12,1,3,0,3,3
