카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년03월_계_총인구수,"1,034,977","260,953","19,896","43,411","7,170","50,764","37,691","41,960","30,258","29,803","212,926","41,519","22,907","27,959","45,309","40,920","26,446","7,866","178,773","4,253","12,220","3,486","3,950","14,179",982,"39,226","11,173","14,670","9,178","10,691","15,922","19,540","6,840","12,463","189,593","64,130","10,361","10,116","17,054","6,220","11,172","31,556","9,393","7,671","9,034","9,566","3,320","192,732","17,080","8,625","4,961","11,313","7,506","17,334","8,586","21,439","10,191","25,879","12,824","6,418","40,576"
2021년03월_계_연령구간인구수,"1,034,977","260,953","19,896","43,411","7,170","50,764","37,691","41,960","30,258","29,803","212,926","41,519","22,907","27,959","45,309","40,920","26,446","7,866","178,773","4,253","12,220","3,486","3,950","14,179",982,"39,226","11,173","14,670","9,178","10,691","15,922","19,540","6,840","12,463","189,593","64,130","10,361","10,116","17,054","6,220","11,172","31,556","9,393","7,671","9,034","9,566","3,320","192,732","17,080","8,625","4,961","11,313","7,506","17,334","8,586","21,439","10,191","25,879","12,824","6,418","40,576"
2021년03월_계_0~9세,"82,271","21,065","1,124","6,454",243,"4,297","3,046","2,336","1,450","2,115","16,116","3,194","1,177","2,059","3,409","3,622","2,185",470,"13,129",113,"1,090",65,56,"2,152",49,"4,098",493,856,417,472,"1,203","1,034",316,715,"12,993","4,977",377,657,"1,116",157,561,"3,155",657,267,414,506,149,"18,968","1,487",341,171,"1,029",537,"1,463",369,"2,397","1,053","3,412","1,812",504,"4,393"
2021년03월_계_10~19세,"98,675","23,296","1,852","3,774",387,"4,619","3,830","3,934","2,219","2,681","22,589","5,245","1,422","3,360","4,752","4,015","3,048",747,"13,950",151,"1,025",146,139,"1,206",38,"3,807",713,"1,356",715,856,"1,294","1,142",408,954,"17,894","7,950",607,791,"1,234",326,840,"3,410",586,472,653,808,217,"20,946","1,825",648,282,"1,007",750,"2,400",542,"2,240","1,199","3,241",969,683,"5,160"
2021년03월_계_20~29세,"128,613","35,324","2,253","3,864",634,"6,973","5,624","6,468","4,877","4,631","31,825","5,544","4,511","4,123","6,525","6,042","4,075","1,005","19,144",292,"1,061",263,221,"1,198",130,"4,824","1,705","1,578","1,108","1,174","1,565","2,006",622,"1,397","21,886","8,128",929,"1,126","1,815",578,"1,329","3,342","1,129",953,961,"1,272",324,"20,434","2,085",812,485,"1,142",783,"2,168","1,066","2,285","1,167","2,292","1,246",603,"4,300"
2021년03월_계_30~39세,"132,824","34,952","1,786","7,945",654,"7,086","5,429","4,285","3,740","4,027","29,025","4,488","4,281","3,448","6,280","6,221","3,348",959,"21,071",279,"1,444",199,177,"2,422",106,"5,658","1,104","1,484",838,951,"1,940","2,255",734,"1,480","21,330","6,505",922,"1,338","2,310",547,"1,286","4,038","1,265",779,874,"1,080",386,"26,446","2,187",687,373,"1,521",797,"2,108",993,"3,210","1,288","3,858","2,487",722,"6,215"
2021년03월_계_40~49세,"167,124","40,648","3,127","7,310",788,"7,981","6,197","6,422","4,204","4,619","35,181","7,336","3,595","4,675","7,622","6,453","4,266","1,234","26,200",393,"1,930",314,297,"2,488",118,"6,212","1,358","2,225","1,204","1,438","2,422","2,977",984,"1,840","29,800","11,343","1,371","1,363","2,359",702,"1,577","5,590","1,329","1,081","1,187","1,376",522,"35,295","2,924","1,179",611,"1,763","1,265","3,388","1,274","3,775","1,732","5,052","2,074","1,083","9,175"
2021년03월_계_50~59세,"185,570","50,090","3,895","6,125","1,311","9,685","7,643","9,172","6,120","6,139","43,105","8,342","4,140","5,982","9,056","8,295","5,866","1,424","29,553",766,"2,002",708,723,"1,927",154,"6,278","1,877","2,463","1,715","1,938","2,501","3,246","1,155","2,100","34,236","12,442","1,752","1,610","2,906","1,161","1,924","5,285","1,630","1,393","1,771","1,718",644,"28,586","2,203","1,388",859,"1,815","1,161","2,762","1,527","3,421","1,415","3,460","1,752","1,069","5,754"
2021년03월_계_60~69세,"145,044","35,456","3,225","5,005","1,648","6,615","4,132","6,134","4,996","3,701","24,612","5,032","2,610","3,128","5,362","4,485","2,766","1,229","30,607","1,159","2,057",886,984,"1,716",216,"5,116","2,073","2,430","1,771","2,147","2,737","3,680","1,396","2,239","30,313","7,771","2,315","1,831","3,008","1,473","2,194","4,270","1,613","1,588","1,920","1,698",632,"24,056","2,132","1,586","1,033","1,750","1,199","1,960","1,663","2,603","1,317","2,929","1,446",983,"3,455"
2021년03월_계_70~79세,"64,211","13,504","1,674","1,858",918,"2,443","1,228","2,268","1,826","1,289","7,018","1,635",808,760,"1,516","1,178",588,533,"16,780",699,"1,059",533,745,747,115,"2,307","1,223","1,511",908,"1,188","1,565","2,144",787,"1,249","15,006","3,435","1,433",989,"1,700",854,"1,065","1,765",854,862,912,822,315,"11,903","1,429","1,237",731,871,658,746,796,"1,012",684,"1,097",644,474,"1,524"
