,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년04월_계_총인구수,"280,399","6,896","7,827","7,127","2,312","1,577","1,917","2,658","3,094","2,979","3,317","5,284","4,370","4,554","2,601","1,579","3,413","4,799","7,028","22,615","9,413","11,701","38,150","8,535","23,144","14,333","25,251","15,686","6,717","31,522"
2021년04월_계_연령구간인구수,"280,399","6,896","7,827","7,127","2,312","1,577","1,917","2,658","3,094","2,979","3,317","5,284","4,370","4,554","2,601","1,579","3,413","4,799","7,028","22,615","9,413","11,701","38,150","8,535","23,144","14,333","25,251","15,686","6,717","31,522"
2021년04월_계_0~9세,"18,509",347,524,268,62,27,31,68,109,87,169,344,87,179,68,25,98,301,314,"1,642",424,476,"3,549",842,"1,452","1,227","2,185",602,533,"2,469"
2021년04월_계_10~19세,"27,547",585,603,488,133,60,89,140,135,144,162,342,194,269,98,83,128,339,418,"2,176",695,943,"4,300",990,"2,671","2,028","3,355","1,197",652,"4,130"
2021년04월_계_20~29세,"35,693",594,665,652,173,99,130,176,211,128,311,636,268,401,236,94,366,470,894,"2,503","1,382","1,308","4,604",899,"3,286","2,342","3,564","4,104",775,"4,422"
2021년04월_계_30~39세,"27,877",510,747,525,125,67,75,145,201,152,258,475,206,344,141,70,312,486,753,"2,401",889,978,"4,299","1,144","2,357","1,565","3,027","1,477",821,"3,327"
2021년04월_계_40~49세,"41,385",794,"1,046",758,218,134,168,221,317,265,330,583,400,514,240,133,403,704,830,"3,433","1,248","1,458","6,239","1,424","3,554","2,737","4,895","1,678","1,045","5,616"
2021년04월_계_50~59세,"48,530","1,195","1,323","1,311",421,257,354,377,548,480,553,891,724,819,546,236,548,936,"1,129","4,004","1,856","1,873","6,232","1,264","4,404","2,531","4,542","2,268","1,082","5,826"
2021년04월_계_60~69세,"41,359","1,411","1,465","1,416",467,384,461,618,668,739,640,"1,037","1,019",938,540,370,736,860,"1,297","3,546","1,649","2,159","4,949","1,098","3,381","1,042","2,218","2,067",929,"3,255"
2021년04월_계_70~79세,"24,719",868,869,999,412,282,349,529,531,568,519,619,824,588,399,315,558,475,894,"1,916",866,"1,732","2,591",594,"1,339",590,967,"1,452",517,"1,557"
2021년04월_계_80~89세,"12,599",503,499,594,244,220,217,326,327,358,327,310,527,420,272,219,215,199,440,881,354,679,"1,187",246,589,234,428,701,281,802
2021년04월_계_90~99세,"2,087",84,84,107,54,45,41,58,46,54,46,45,114,81,58,31,45,28,57,105,49,92,194,32,109,37,66,129,79,117
