카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년05월_계_총인구수,"655,192","258,857","24,163","4,160","4,322","4,344","3,281","2,320","6,139","2,170","5,579","3,702","8,945","9,527","17,457","24,757","45,253","55,993","36,745","396,335","24,912","22,308","19,464","8,730","16,358","25,861","14,308","38,505","19,227","41,057","69,350","41,649","54,606"
2020년05월_계_연령구간인구수,"655,192","258,857","24,163","4,160","4,322","4,344","3,281","2,320","6,139","2,170","5,579","3,702","8,945","9,527","17,457","24,757","45,253","55,993","36,745","396,335","24,912","22,308","19,464","8,730","16,358","25,861","14,308","38,505","19,227","41,057","69,350","41,649","54,606"
2020년05월_계_0~9세,"63,588","21,265","1,830",150,121,150,86,60,270,31,177,95,445,306,"1,052","2,364","5,020","6,253","2,855","42,323","1,367","2,030","1,433",322,823,"1,046",944,"3,655","1,533","5,944","10,622","3,601","9,003"
2020년05월_계_10~19세,"69,274","26,774","2,852",247,199,247,183,92,354,85,310,182,725,732,"1,432","3,294","5,960","7,037","2,843","42,500","2,394","2,466","1,920",593,"1,113","1,477","1,284","5,136","2,443","5,690","9,228","3,968","4,788"
2020년05월_계_20~29세,"95,552","35,457","2,752",386,379,381,260,201,766,137,560,501,"1,123","1,173","2,733","3,018","6,227","7,284","7,576","60,095","2,881","2,586","2,395",947,"2,451","6,500","2,523","6,031","2,723","5,182","8,778","9,067","8,031"
2020년05월_계_30~39세,"106,271","34,034","2,558",323,307,335,206,178,591,107,505,409,921,937,"2,356","2,756","7,134","8,712","5,699","72,237","2,302","3,142","2,725",744,"2,266","5,658","1,954","5,403","2,452","7,266","15,038","8,020","15,267"
2020년05월_계_40~49세,"111,527","43,292","4,608",467,463,531,342,241,750,182,712,481,"1,275","1,390","2,860","4,659","9,053","10,186","5,092","68,235","3,955","4,215","3,528","1,150","2,526","3,809","1,994","6,869","3,287","7,774","13,737","6,795","8,596"
2020년05월_계_50~59세,"102,401","44,099","4,340",808,900,900,653,451,"1,200",475,"1,106",719,"1,797","1,947","3,270","4,218","6,775","8,383","6,157","58,302","4,325","3,724","3,467","1,838","3,212","3,578","2,626","6,699","3,534","5,592","8,218","5,941","5,548"
2020년05월_계_60~69세,"60,133","29,672","2,698",885,940,887,733,492,"1,099",486,"1,145",709,"1,420","1,507","2,251","2,529","3,081","4,844","3,966","30,461","3,814","2,305","2,150","1,560","2,232","2,354","1,864","2,942","1,837","2,280","2,423","2,506","2,194"
2020년05월_계_70~79세,"29,487","15,244","1,507",512,569,517,486,326,625,364,714,400,806,987,"1,022","1,276","1,253","2,155","1,725","14,243","2,459","1,178","1,146",951,"1,192",972,739,"1,124",872,876,848,"1,127",759
