카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년03월_계_총인구수,"522,713","31,754","35,684","29,644","14,965","22,298","22,126","27,998","29,037","17,332","24,516","17,821","21,396","15,504","24,732","20,218","39,702","21,156","32,196","32,950","41,684"
2021년03월_계_연령구간인구수,"522,713","31,754","35,684","29,644","14,965","22,298","22,126","27,998","29,037","17,332","24,516","17,821","21,396","15,504","24,732","20,218","39,702","21,156","32,196","32,950","41,684"
2021년03월_계_0~9세,"40,648","3,102","3,578","1,630",629,"1,153","1,571","1,587","1,771",852,"1,722","1,289","1,454",617,"1,426","1,598","5,838","1,258","2,791","2,423","4,359"
2021년03월_계_10~19세,"49,419","3,059","4,357","1,784","1,038","1,602","2,099","2,097","2,379","1,082","2,463","1,631","1,901",998,"2,311","2,187","3,765","1,910","3,556","3,333","5,867"
2021년03월_계_20~29세,"70,371","4,215","4,287","6,457","2,152","3,147","2,899","4,005","4,172","2,275","3,253","2,503","2,846","2,139","3,424","2,354","3,780","2,845","4,161","4,630","4,827"
2021년03월_계_30~39세,"71,302","4,632","4,466","5,669","1,650","3,115","2,750","3,662","4,075","2,160","2,932","2,197","2,809","1,817","2,847","2,388","7,441","2,260","4,506","4,597","5,329"
2021년03월_계_40~49세,"88,072","5,584","6,598","4,732","2,248","3,392","3,822","4,256","4,535","2,426","4,095","2,871","3,294","2,076","3,726","3,420","7,552","3,307","5,795","5,621","8,722"
2021년03월_계_50~59세,"89,633","5,077","5,764","4,426","2,967","3,965","3,792","5,254","5,188","3,322","4,323","3,204","3,777","3,069","4,811","3,470","4,992","4,269","5,532","5,642","6,789"
2021년03월_계_60~69세,"67,411","3,763","4,131","2,984","2,369","3,246","2,979","4,178","4,157","2,818","3,496","2,505","3,162","2,733","3,634","2,987","4,083","3,157","3,588","3,783","3,658"
2021년03월_계_70~79세,"30,999","1,578","1,762","1,375","1,282","1,808","1,538","2,003","1,850","1,499","1,586","1,154","1,394","1,442","1,599","1,243","1,637","1,442","1,513","1,888","1,406"
2021년03월_계_80~89세,"12,764",614,631,517,547,755,567,833,776,795,554,402,654,527,799,489,525,602,639,897,641
2021년03월_계_90~99세,"2,014",126,103,69,78,112,107,114,123,102,89,62,101,84,151,81,86,103,114,126,83
2021년03월_계_100세 이상,80,4,7,1,5,3,2,9,11,1,3,3,4,2,4,1,3,3,1,10,3
2021년03월_남_총인구수,"259,545","15,480","17,595","14,723","7,560","10,975","11,079","13,981","14,465","8,435","12,031","8,991","10,432","7,756","12,071","10,081","19,704","10,843","16,192","16,599","20,552"
2021년03월_남_연령구간인구수,"259,545","15,480","17,595","14,723","7,560","10,975","11,079","13,981","14,465","8,435","12,031","8,991","10,432","7,756","12,071","10,081","19,704","10,843","16,192","16,599","20,552"
2021년03월_남_0~9세,"20,896","1,591","1,900",858,330,605,808,781,887,436,878,666,725,320,753,800,"3,015",655,"1,400","1,267","2,221"
2021년03월_남_10~19세,"25,305","1,473","2,250",928,570,830,"1,099","1,059","1,192",557,"1,233",835,"1,011",504,"1,150","1,140","1,982","1,021","1,816","1,729","2,926"
2021년03월_남_20~29세,"36,286","2,087","2,220","2,865","1,113","1,609","1,524","2,061","2,153","1,176","1,706","1,308","1,511","1,136","1,819","1,296","1,881","1,566","2,256","2,501","2,498"
2021년03월_남_30~39세,"36,711","2,265","2,105","3,040",949,"1,682","1,388","1,935","2,145","1,160","1,506","1,183","1,452","1,034","1,496","1,207","3,581","1,199","2,366","2,528","2,490"
