카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년12월_계_총인구수,"280,242","2,709","8,590","1,930","20,426","6,292","6,518","2,846","1,339",828,"2,062","4,657","3,223","4,452","4,050","6,220","3,826","5,470","11,605","6,983","18,844","21,241","11,860","10,335","10,499","32,672","37,425","21,519","8,196","2,434","1,191"
2020년12월_계_연령구간인구수,"280,242","2,709","8,590","1,930","20,426","6,292","6,518","2,846","1,339",828,"2,062","4,657","3,223","4,452","4,050","6,220","3,826","5,470","11,605","6,983","18,844","21,241","11,860","10,335","10,499","32,672","37,425","21,519","8,196","2,434","1,191"
2020년12월_계_0~9세,"20,942",52,581,35,"2,092",265,137,65,14,22,57,237,115,151,113,238,148,169,728,466,"1,228","1,797",667,772,"1,064","2,746","4,666","1,225",999,67,26
2020년12월_계_10~19세,"26,412",90,655,75,"2,042",316,297,139,38,38,82,284,204,300,231,302,248,268,911,625,"1,878","2,309","1,088","1,204",919,"3,935","4,540","2,067","1,131",129,67
2020년12월_계_20~29세,"33,719",198,741,138,"2,204",459,571,141,61,58,156,443,383,412,352,687,429,455,"1,265",731,"2,528","2,667","1,792","1,435","1,080","5,081","4,649","3,358",878,257,110
2020년12월_계_30~39세,"31,026",123,818,88,"2,607",439,369,120,57,27,132,454,319,351,286,585,304,443,"1,128",705,"1,990","2,526","1,243","1,148","1,387","4,009","5,678","2,279","1,163",183,65
2020년12월_계_40~49세,"41,915",240,"1,268",151,"3,195",739,618,245,93,88,219,560,346,567,489,759,446,621,"1,585",933,"2,761","3,473","1,797","1,707","1,575","5,523","6,535","3,320","1,656",277,129
2020년12월_계_50~59세,"48,521",465,"1,410",318,"3,504","1,054","1,236",457,184,136,460,714,480,728,658,"1,042",605,920,"2,078","1,153","3,416","3,495","2,234","1,867","1,552","5,934","6,119","4,534","1,054",479,235
2020년12월_계_60~69세,"40,792",621,"1,598",454,"2,542","1,235","1,384",662,309,164,476,961,601,959,853,"1,266",796,"1,231","2,108","1,341","2,999","2,811","1,680","1,387","1,536","3,337","3,311","2,784",702,463,221
2020년12월_계_70~79세,"24,534",570,997,382,"1,398","1,059","1,127",606,331,175,296,734,547,710,757,962,569,968,"1,311",772,"1,358","1,467",921,595,964,"1,449","1,269","1,269",441,340,190
2020년12월_계_80~89세,"10,669",301,458,248,744,613,648,363,206,101,152,225,205,240,274,330,242,343,439,223,607,593,385,187,364,558,553,589,152,202,124
2020년12월_계_90~99세,"1,607",47,63,40,93,109,126,46,44,18,28,39,22,26,32,43,37,45,44,30,77,103,52,32,51,95,103,93,18,27,24
2020년12월_계_100세 이상,105,2,1,1,5,4,5,2,2,1,4,6,1,8,5,6,2,7,8,4,2,0,1,1,7,5,2,1,2,10,0
2020년12월_남_총인구수,"142,995","1,358","4,469",952,"10,412","3,265","3,368","1,462",656,410,"1,165","2,362","1,628","2,225","2,084","3,238","1,897","2,789","5,871","3,494","9,273","10,699","6,339","5,211","5,282","16,795","18,769","11,353","4,225","1,326",618
2020년12월_남_연령구간인구수,"142,995","1,358","4,469",952,"10,412","3,265","3,368","1,462",656,410,"1,165","2,362","1,628","2,225","2,084","3,238","1,897","2,789","5,871","3,494","9,273","10,699","6,339","5,211","5,282","16,795","18,769","11,353","4,225","1,326",618
2020년12월_남_0~9세,"10,639",24,307,19,"1,104",143,75,34,8,11,29,115,51,73,62,143,63,77,364,237,600,938,336,386,532,"1,391","2,368",610,497,34,8
2020년12월_남_10~19세,"13,736",45,336,40,"1,030",174,163,79,18,18,46,151,112,162,120,176,120,125,483,311,977,"1,163",586,642,480,"2,044","2,380","1,044",610,71,30
2020년12월_남_20~29세,"19,147",114,434,79,"1,256",276,329,90,29,31,96,252,196,240,207,388,241,264,724,411,"1,405","1,477","1,072",771,599,"2,969","2,468","2,006",485,172,66
2020년12월_남_30~39세,"16,677",78,435,52,"1,331",251,223,78,38,13,82,259,199,199,177,356,172,243,637,360,"1,039","1,331",730,625,721,"2,108","2,811","1,376",588,120,45
2020년12월_남_40~49세,"22,134",161,754,99,"1,681",501,394,163,68,55,159,333,204,324,308,451,255,400,877,493,"1,377","1,728",976,816,846,"2,675","3,178","1,726",865,175,92
2020년12월_남_50~59세,"25,406",255,777,163,"1,813",608,720,287,101,91,274,375,262,385,363,547,309,521,"1,005",566,"1,607","1,796","1,229",930,768,"3,081","3,140","2,396",605,286,146
