카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년10월_계_총인구수,"62,788","18,197","19,082","2,389","6,125","2,819","3,374","5,288","1,909","2,721",884
2021년10월_계_연령구간인구수,"62,788","18,197","19,082","2,389","6,125","2,819","3,374","5,288","1,909","2,721",884
2021년10월_계_0~9세,"3,644","1,154","1,700",59,287,61,49,246,19,56,13
2021년10월_계_10~19세,"5,814","1,935","2,644",104,292,73,136,424,62,123,21
2021년10월_계_20~29세,"5,135","1,935","1,526",136,447,153,194,412,96,193,43
2021년10월_계_30~39세,"5,115","1,718","1,801",148,516,134,138,379,80,158,43
2021년10월_계_40~49세,"8,913","2,717","3,691",202,562,251,289,732,153,255,61
2021년10월_계_50~59세,"11,004","3,329","3,152",400,981,527,544,"1,066",326,529,150
2021년10월_계_60~69세,"11,668","2,929","2,620",617,"1,389",752,834,994,523,731,279
2021년10월_계_70~79세,"6,636","1,464","1,255",384,860,486,657,619,371,380,160
2021년10월_계_80~89세,"4,241",883,597,300,694,334,464,363,255,256,95
2021년10월_계_90~99세,606,129,92,39,95,48,69,52,23,40,19
2021년10월_계_100세 이상,12,4,4,0,2,0,0,1,1,0,0
2021년10월_남_총인구수,"31,954","9,155","9,687","1,207","3,187","1,453","1,689","2,769",979,"1,376",452
2021년10월_남_연령구간인구수,"31,954","9,155","9,687","1,207","3,187","1,453","1,689","2,769",979,"1,376",452
2021년10월_남_0~9세,"1,848",596,845,28,143,33,28,133,8,27,7
2021년10월_남_10~19세,"3,076","1,046","1,373",56,159,43,76,214,30,66,13
2021년10월_남_20~29세,"3,009","1,129",849,80,291,94,117,243,57,127,22
2021년10월_남_30~39세,"2,639",879,849,80,297,89,79,209,48,87,22
2021년10월_남_40~49세,"4,812","1,401","1,871",117,353,171,182,422,98,154,43
2021년10월_남_50~59세,"6,068","1,749","1,746",228,575,318,314,601,190,262,85
2021년10월_남_60~69세,"6,110","1,444","1,353",332,759,392,444,555,286,394,151
2021년10월_남_70~79세,"2,984",617,595,177,386,208,288,280,167,186,80
2021년10월_남_80~89세,"1,297",266,186,102,205,94,150,107,89,70,28
2021년10월_남_90~99세,108,28,19,7,17,11,11,5,6,3,1
2021년10월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년10월_여_총인구수,"30,834","9,042","9,395","1,182","2,938","1,366","1,685","2,519",930,"1,345",432
2021년10월_여_연령구간인구수,"30,834","9,042","9,395","1,182","2,938","1,366","1,685","2,519",930,"1,345",432
2021년10월_여_0~9세,"1,796",558,855,31,144,28,21,113,11,29,6
2021년10월_여_10~19세,"2,738",889,"1,271",48,133,30,60,210,32,57,8
2021년10월_여_20~29세,"2,126",806,677,56,156,59,77,169,39,66,21
2021년10월_여_30~39세,"2,476",839,952,68,219,45,59,170,32,71,21
2021년10월_여_40~49세,"4,101","1,316","1,820",85,209,80,107,310,55,101,18
2021년10월_여_50~59세,"4,936","1,580","1,406",172,406,209,230,465,136,267,65
2021년10월_여_60~69세,"5,558","1,485","1,267",285,630,360,390,439,237,337,128
2021년10월_여_70~79세,"3,652",847,660,207,474,278,369,339,204,194,80
2021년10월_여_80~89세,"2,944",617,411,198,489,240,314,256,166,186,67
2021년10월_여_90~99세,498,101,73,32,78,37,58,47,17,37,18
2021년10월_여_100세 이상,9,4,3,0,0,0,0,1,1,0,0
