카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년11월_계_총인구수,"122,673","2,251","4,817","2,867","4,022","4,632","5,235","1,753","7,653","13,838","16,730","13,607","10,382","10,294","12,569","12,023"
2021년11월_계_연령구간인구수,"122,673","2,251","4,817","2,867","4,022","4,632","5,235","1,753","7,653","13,838","16,730","13,607","10,382","10,294","12,569","12,023"
2021년11월_계_0~9세,"6,331",172,181,80,169,177,125,35,255,510,994,717,546,656,736,978
2021년11월_계_10~19세,"6,508",125,214,128,192,255,180,37,277,784,936,834,529,812,479,726
2021년11월_계_20~29세,"18,301",251,499,376,726,"1,219","1,055",225,"1,354","2,270","2,004","1,863","1,651","1,335","2,121","1,352"
2021년11월_계_30~39세,"19,935",496,529,400,679,676,895,321,"1,356","2,198","2,343","2,124","1,696","1,297","2,818","2,107"
2021년11월_계_40~49세,"17,460",509,652,411,453,570,623,192,"1,041","1,920","2,394","1,851","1,536","1,489","1,798","2,021"
2021년11월_계_50~59세,"20,067",306,906,482,591,607,799,284,"1,308","2,264","2,770","2,297","1,836","1,919","1,784","1,914"
2021년11월_계_60~69세,"18,047",239,"1,032",517,606,538,846,393,"1,111","2,009","2,723","2,059","1,369","1,516","1,555","1,534"
2021년11월_계_70~79세,"10,236",103,520,303,352,359,497,171,635,"1,231","1,576","1,140",817,749,880,903
2021년11월_계_80~89세,"4,936",41,231,137,195,201,187,79,263,564,843,635,357,448,336,419
2021년11월_계_90~99세,804,8,52,30,50,29,26,16,50,85,144,85,43,64,61,61
2021년11월_계_100세 이상,48,1,1,3,9,1,2,0,3,3,3,2,2,9,1,8
2021년11월_남_총인구수,"59,743","1,079","2,503","1,255","2,041","2,367","2,682","1,061","3,773","6,740","7,806","6,439","5,052","4,978","5,990","5,977"
2021년11월_남_연령구간인구수,"59,743","1,079","2,503","1,255","2,041","2,367","2,682","1,061","3,773","6,740","7,806","6,439","5,052","4,978","5,990","5,977"
2021년11월_남_0~9세,"3,278",88,97,48,91,91,64,15,108,266,498,373,278,372,384,505
2021년11월_남_10~19세,"3,220",38,96,58,96,130,83,18,122,419,476,414,253,400,237,380
2021년11월_남_20~29세,"8,492",93,231,166,345,644,442,102,600,"1,109",949,895,744,650,864,658
2021년11월_남_30~39세,"9,942",229,236,214,357,363,506,180,668,"1,150","1,111","1,060",855,626,"1,399",988
2021년11월_남_40~49세,"8,928",267,345,182,249,297,341,123,573,985,"1,174",906,789,721,901,"1,075"
2021년11월_남_50~59세,"10,167",152,517,209,340,321,451,207,704,"1,088","1,307","1,095",964,932,899,981
2021년11월_남_60~69세,"9,024",141,600,221,302,268,459,270,582,934,"1,260",986,676,768,755,802
2021년11월_남_70~79세,"4,638",53,268,114,171,168,255,102,299,558,691,454,350,335,411,409
2021년11월_남_80~89세,"1,818",15,100,37,72,75,71,38,103,208,301,233,127,153,125,160
2021년11월_남_90~99세,220,3,12,5,16,10,9,6,11,23,38,22,16,18,15,16
2021년11월_남_100세 이상,16,0,1,1,2,0,1,0,3,0,1,1,0,3,0,3
2021년11월_여_총인구수,"62,930","1,172","2,314","1,612","1,981","2,265","2,553",692,"3,880","7,098","8,924","7,168","5,330","5,316","6,579","6,046"
2021년11월_여_연령구간인구수,"62,930","1,172","2,314","1,612","1,981","2,265","2,553",692,"3,880","7,098","8,924","7,168","5,330","5,316","6,579","6,046"
2021년11월_여_0~9세,"3,053",84,84,32,78,86,61,20,147,244,496,344,268,284,352,473
2021년11월_여_10~19세,"3,288",87,118,70,96,125,97,19,155,365,460,420,276,412,242,346
2021년11월_여_20~29세,"9,809",158,268,210,381,575,613,123,754,"1,161","1,055",968,907,685,"1,257",694
2021년11월_여_30~39세,"9,993",267,293,186,322,313,389,141,688,"1,048","1,232","1,064",841,671,"1,419","1,119"
2021년11월_여_40~49세,"8,532",242,307,229,204,273,282,69,468,935,"1,220",945,747,768,897,946
2021년11월_여_50~59세,"9,900",154,389,273,251,286,348,77,604,"1,176","1,463","1,202",872,987,885,933
2021년11월_여_60~69세,"9,023",98,432,296,304,270,387,123,529,"1,075","1,463","1,073",693,748,800,732
2021년11월_여_70~79세,"5,598",50,252,189,181,191,242,69,336,673,885,686,467,414,469,494
2021년11월_여_80~89세,"3,118",26,131,100,123,126,116,41,160,356,542,402,230,295,211,259
2021년11월_여_90~99세,584,5,40,25,34,19,17,10,39,62,106,63,27,46,46,45
2021년11월_여_100세 이상,32,1,0,2,7,1,1,0,0,3,2,1,2,6,1,5
