,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년06월_계_총인구수,"60,754","16,858","12,052","2,008","1,588","3,892","2,518","1,775","2,554","2,374","5,475","1,865","2,758","1,527","3,510"
2021년06월_계_연령구간인구수,"60,754","16,858","12,052","2,008","1,588","3,892","2,518","1,775","2,554","2,374","5,475","1,865","2,758","1,527","3,510"
2021년06월_계_0~9세,"3,060","1,251",887,63,40,100,70,38,129,61,189,38,91,28,75
2021년06월_계_10~19세,"4,161","1,556",960,140,30,193,267,48,173,79,348,63,137,46,121
2021년06월_계_20~29세,"4,696","1,681",883,112,93,264,128,87,197,160,474,96,210,82,229
2021년06월_계_30~39세,"4,899","1,823","1,101",107,96,246,135,101,195,117,409,96,184,77,212
2021년06월_계_40~49세,"6,957","2,299","1,724",132,110,376,187,135,274,223,643,148,283,125,298
2021년06월_계_50~59세,"10,687","2,855","2,086",313,295,711,387,284,443,485,"1,048",325,490,288,677
2021년06월_계_60~69세,"12,482","2,761","2,249",424,412,847,584,428,503,544,"1,202",448,667,432,981
2021년06월_계_70~79세,"8,024","1,589","1,321",381,275,662,400,383,366,382,714,358,390,256,547
2021년06월_계_80~89세,"5,101",915,738,284,211,442,330,238,238,287,394,263,262,167,332
2021년06월_계_90~99세,673,126,103,51,26,51,28,33,31,34,54,30,42,26,38
2021년06월_계_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021년06월_남_총인구수,"30,247","8,342","6,054","1,007",742,"2,006","1,178",863,"1,333","1,193","2,777",918,"1,356",765,"1,713"
2021년06월_남_연령구간인구수,"30,247","8,342","6,054","1,007",742,"2,006","1,178",863,"1,333","1,193","2,777",918,"1,356",765,"1,713"
2021년06월_남_0~9세,"1,588",641,456,29,18,50,39,26,73,35,96,23,48,15,39
2021년06월_남_10~19세,"2,245",799,530,94,19,132,96,22,109,42,194,42,72,26,68
2021년06월_남_20~29세,"2,710",940,495,65,50,168,75,50,121,98,286,64,106,59,133
2021년06월_남_30~39세,"2,691",951,584,58,56,139,80,69,108,74,240,53,114,48,117
2021년06월_남_40~49세,"3,871","1,206",957,82,67,219,119,76,166,130,355,97,156,78,163
2021년06월_남_50~59세,"5,750","1,480","1,127",171,149,432,198,172,265,276,558,177,263,131,351
2021년06월_남_60~69세,"6,229","1,324","1,089",241,204,441,290,212,257,285,612,223,336,232,483
2021년06월_남_70~79세,"3,503",693,573,166,125,278,181,156,150,154,316,157,175,126,253
2021년06월_남_80~89세,"1,546",281,224,91,49,139,93,75,79,98,112,75,80,48,102
2021년06월_남_90~99세,114,27,19,10,5,8,7,5,5,1,8,7,6,2,4
2021년06월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"30,507","8,516","5,998","1,001",846,"1,886","1,340",912,"1,221","1,181","2,698",947,"1,402",762,"1,797"
2021년06월_여_연령구간인구수,"30,507","8,516","5,998","1,001",846,"1,886","1,340",912,"1,221","1,181","2,698",947,"1,402",762,"1,797"
2021년06월_여_0~9세,"1,472",610,431,34,22,50,31,12,56,26,93,15,43,13,36
2021년06월_여_10~19세,"1,916",757,430,46,11,61,171,26,64,37,154,21,65,20,53
2021년06월_여_20~29세,"1,986",741,388,47,43,96,53,37,76,62,188,32,104,23,96
2021년06월_여_30~39세,"2,208",872,517,49,40,107,55,32,87,43,169,43,70,29,95
2021년06월_여_40~49세,"3,086","1,093",767,50,43,157,68,59,108,93,288,51,127,47,135
2021년06월_여_50~59세,"4,937","1,375",959,142,146,279,189,112,178,209,490,148,227,157,326
2021년06월_여_60~69세,"6,253","1,437","1,160",183,208,406,294,216,246,259,590,225,331,200,498
2021년06월_여_70~79세,"4,521",896,748,215,150,384,219,227,216,228,398,201,215,130,294
2021년06월_여_80~89세,"3,555",634,514,193,162,303,237,163,159,189,282,188,182,119,230
2021년06월_여_90~99세,559,99,84,41,21,43,21,28,26,33,46,23,36,24,34
2021년06월_여_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
