,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년01월_계_총인구수,"415,949","14,924","36,510","26,630","1,872","1,733","2,233","4,102",0,"3,195","24,443","3,766","3,192","29,895","2,225","39,526","14,638","16,964","3,325","3,269","13,315",0,0,"4,383","31,048","18,958","48,581","16,302","46,454","4,466"
2021년01월_계_연령구간인구수,"415,949","14,924","36,510","26,630","1,872","1,733","2,233","4,102",0,"3,195","24,443","3,766","3,192","29,895","2,225","39,526","14,638","16,964","3,325","3,269","13,315",0,0,"4,383","31,048","18,958","48,581","16,302","46,454","4,466"
2021년01월_계_0~9세,"41,017",888,"3,284","5,630",43,15,46,66,0,73,"1,807",66,82,"2,382",76,"3,852","1,083",847,149,289,"1,692",0,0,331,"2,833","2,190","4,826",933,"6,912",622
2021년01월_계_10~19세,"44,863","1,148","3,871","2,243",63,58,117,149,0,210,"2,487",94,140,"3,487",121,"5,086","1,631","1,945",171,224,"1,119",0,0,347,"3,780","2,541","5,994","1,079","6,539",219
2021년01월_계_20~29세,"56,508","1,450","4,638","2,552",105,103,157,289,0,252,"3,453",480,329,"3,955",222,"5,211","1,985","2,752",603,433,"1,876",0,0,639,"4,709","2,404","7,188","4,252","5,787",684
2021년01월_계_30~39세,"65,378","1,306","4,354","8,035",88,79,104,213,0,184,"3,395",527,267,"3,543",157,"5,073","1,677","1,617",501,547,"2,853",0,0,705,"4,381","3,007","8,657","4,261","8,736","1,111"
2021년01월_계_40~49세,"73,053","1,950","5,692","4,362",134,143,192,424,0,391,"3,906",698,350,"5,029",280,"7,489","2,422","2,738",457,444,"2,168",0,0,760,"6,107","3,864","9,503","2,722","10,112",716
2021년01월_계_50~59세,"69,826","2,958","7,738","2,073",360,335,399,826,0,630,"4,480",845,638,"6,019",492,"7,177","3,013","3,884",632,634,"2,225",0,0,806,"5,964","3,127","6,955","1,729","5,242",645
2021년01월_계_60~69세,"39,919","2,691","4,194","1,013",481,426,509,916,0,637,"3,323",646,754,"3,657",512,"3,802","1,861","2,234",476,410,967,0,0,482,"2,127","1,215","3,463",860,"1,901",362
2021년01월_계_70~79세,"16,090","1,441","1,630",402,303,282,384,669,0,471,"1,153",290,431,"1,202",239,"1,255",666,674,245,182,291,0,0,224,750,401,"1,325",319,778,83
