,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년10월_계_총인구수,"42,409","7,230","1,110","10,337","1,627","2,117","3,967","2,234","4,522","2,119","3,342","3,804"
2020년10월_계_연령구간인구수,"42,409","7,230","1,110","10,337","1,627","2,117","3,967","2,234","4,522","2,119","3,342","3,804"
2020년10월_계_0~9세,"1,554",470,43,473,38,46,137,63,133,34,57,60
2020년10월_계_10~19세,"2,284",671,25,713,53,70,166,63,266,44,105,108
2020년10월_계_20~29세,"2,868",606,55,874,88,113,221,136,271,124,185,195
2020년10월_계_30~39세,"2,843",659,92,858,92,105,261,106,256,101,141,172
2020년10월_계_40~49세,"4,462","1,017",96,"1,341",139,164,349,155,460,188,264,289
2020년10월_계_50~59세,"7,364","1,221",166,"1,778",275,336,699,429,774,441,590,655
2020년10월_계_60~69세,"9,563","1,257",276,"2,101",442,531,948,590,"1,047",522,842,"1,007"
2020년10월_계_70~79세,"6,592",779,191,"1,321",304,432,647,405,751,356,662,744
2020년10월_계_80~89세,"4,254",469,148,778,171,273,473,257,478,273,421,513
2020년10월_계_90~99세,606,76,16,97,25,47,63,30,84,36,71,61
2020년10월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년10월_남_총인구수,"20,828","3,534",550,"5,066",795,"1,008","1,944","1,103","2,194","1,041","1,683","1,910"
2020년10월_남_연령구간인구수,"20,828","3,534",550,"5,066",795,"1,008","1,944","1,103","2,194","1,041","1,683","1,910"
2020년10월_남_0~9세,791,243,21,229,12,29,66,35,71,23,34,28
2020년10월_남_10~19세,"1,175",342,17,353,36,33,75,22,145,31,62,59
2020년10월_남_20~29세,"1,717",350,31,515,55,71,136,90,154,70,112,133
2020년10월_남_30~39세,"1,505",321,49,458,55,60,143,55,119,55,80,110
2020년10월_남_40~49세,"2,501",537,66,724,87,97,213,79,252,92,167,187
2020년10월_남_50~59세,"3,890",616,86,922,149,177,374,224,410,245,337,350
2020년10월_남_60~69세,"4,779",620,133,"1,041",203,264,469,320,497,290,432,510
2020년10월_남_70~79세,"3,013",344,85,575,140,188,300,180,383,144,317,357
2020년10월_남_80~89세,"1,334",141,59,234,55,79,147,96,148,82,130,163
2020년10월_남_90~99세,122,20,2,15,3,10,21,2,15,9,12,13
2020년10월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"21,581","3,696",560,"5,271",832,"1,109","2,023","1,131","2,328","1,078","1,659","1,894"
2020년10월_여_연령구간인구수,"21,581","3,696",560,"5,271",832,"1,109","2,023","1,131","2,328","1,078","1,659","1,894"
2020년10월_여_0~9세,763,227,22,244,26,17,71,28,62,11,23,32
2020년10월_여_10~19세,"1,109",329,8,360,17,37,91,41,121,13,43,49
2020년10월_여_20~29세,"1,151",256,24,359,33,42,85,46,117,54,73,62
2020년10월_여_30~39세,"1,338",338,43,400,37,45,118,51,137,46,61,62
2020년10월_여_40~49세,"1,961",480,30,617,52,67,136,76,208,96,97,102
2020년10월_여_50~59세,"3,474",605,80,856,126,159,325,205,364,196,253,305
2020년10월_여_60~69세,"4,784",637,143,"1,060",239,267,479,270,550,232,410,497
2020년10월_여_70~79세,"3,579",435,106,746,164,244,347,225,368,212,345,387
2020년10월_여_80~89세,"2,920",328,89,544,116,194,326,161,330,191,291,350
2020년10월_여_90~99세,484,56,14,82,22,37,42,28,69,27,59,48
2020년10월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
