,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년04월_계_총인구수,"3,408,347","41,714","107,722","89,673","115,645","356,978","272,570","271,674","289,059","405,268","318,196","236,904","131,235","210,086","176,984","216,507","168,132"
2020년04월_계_연령구간인구수,"3,408,347","41,714","107,722","89,673","115,645","356,978","272,570","271,674","289,059","405,268","318,196","236,904","131,235","210,086","176,984","216,507","168,132"
2020년04월_계_0~9세,"239,942","1,450","5,608","4,268","5,587","21,774","20,194","18,929","20,011","29,397","21,330","13,763","19,405","15,253","10,578","13,331","19,064"
2020년04월_계_10~19세,"278,986","2,186","7,381","5,357","7,763","25,682","25,298","23,875","24,518","39,189","26,505","18,639","10,757","16,837","12,228","15,817","16,954"
2020년04월_계_20~29세,"434,904","5,540","13,540","10,658","12,312","51,625","33,528","35,486","38,895","49,987","41,169","33,891","11,861","26,415","24,247","29,629","16,121"
2020년04월_계_30~39세,"429,569","4,506","11,420","10,586","11,255","47,484","34,058","31,746","34,992","48,069","39,097","26,397","26,487","28,037","24,153","26,443","24,839"
2020년04월_계_40~49세,"515,998","5,583","14,646","12,257","15,763","51,725","43,485","42,757","41,696","66,978","47,303","33,097","21,789","32,059","25,700","30,266","30,894"
2020년04월_계_50~59세,"578,463","7,191","18,311","15,056","20,269","59,086","45,131","43,713","55,712","71,124","56,553","41,908","16,452","34,619","27,893","42,571","22,874"
2020년04월_계_60~69세,"515,095","7,773","18,574","15,757","21,687","54,113","39,981","40,233","43,584","55,922","49,707","37,923","14,860","31,622","27,927","35,467","19,965"
2020년04월_계_70~79세,"287,942","5,005","12,203","10,622","14,503","31,351","21,793","24,596","20,741","30,333","25,718","21,474","6,589","17,750","16,847","16,624","11,793"
2020년04월_계_80~89세,"111,008","2,039","5,177","4,445","5,639","12,431","7,916","9,088","7,797","12,451","9,373","8,489","2,563","6,586","6,484","5,647","4,883"
2020년04월_계_90~99세,"14,604",359,744,568,738,"1,481","1,053","1,117","1,013","1,661","1,279","1,125",428,828,863,645,702
2020년04월_계_100세 이상,"1,836",82,118,99,129,226,133,134,100,157,162,198,44,80,64,67,43
2020년04월_남_총인구수,"1,671,199","20,451","52,251","44,003","57,014","172,703","132,883","133,034","143,102","195,412","158,716","115,861","67,825","101,425","83,743","109,497","83,279"
2020년04월_남_연령구간인구수,"1,671,199","20,451","52,251","44,003","57,014","172,703","132,883","133,034","143,102","195,412","158,716","115,861","67,825","101,425","83,743","109,497","83,279"
2020년04월_남_0~9세,"123,072",764,"2,914","2,263","2,811","11,072","10,420","9,640","10,274","15,292","10,947","7,062","9,965","7,761","5,424","6,775","9,688"
2020년04월_남_10~19세,"144,381","1,114","3,727","2,777","4,019","13,120","13,265","12,315","12,786","20,212","13,821","9,586","5,497","8,698","6,293","8,273","8,878"
