카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년03월_계_총인구수,"130,450","4,832","12,890","2,961","31,225","2,076","2,073","1,515","9,152","3,128","4,168","9,258","10,795","11,669","10,646","14,062"
2020년03월_계_연령구간인구수,"130,450","4,832","12,890","2,961","31,225","2,076","2,073","1,515","9,152","3,128","4,168","9,258","10,795","11,669","10,646","14,062"
2020년03월_계_0~9세,"10,525",137,"1,375",76,"4,102",53,39,19,446,109,142,534,757,"1,018",562,"1,156"
2020년03월_계_10~19세,"12,962",219,"1,439",134,"3,909",106,62,39,849,198,241,687,974,"1,439",985,"1,681"
2020년03월_계_20~29세,"11,642",340,"1,124",181,"2,725",123,90,76,946,239,314,746,"1,029","1,071","1,023","1,615"
2020년03월_계_30~39세,"15,068",348,"1,594",164,"5,096",130,98,79,805,211,319,971,"1,213","1,286","1,042","1,712"
2020년03월_계_40~49세,"21,689",584,"2,274",297,"6,395",279,199,123,"1,342",394,568,"1,394","1,595","2,058","1,572","2,615"
2020년03월_계_50~59세,"22,871",982,"2,126",532,"4,438",428,349,332,"1,757",623,853,"1,875","1,891","2,055","2,118","2,512"
2020년03월_계_60~69세,"19,525","1,028","1,535",732,"2,754",466,457,353,"1,600",664,901,"1,742","1,942","1,734","1,846","1,771"
2020년03월_계_70~79세,"10,962",724,912,531,"1,231",306,468,281,994,490,577,955,"1,002",712,"1,043",736
2020년03월_계_80~89세,"4,586",409,440,279,504,168,281,192,363,175,230,318,336,264,393,234
2020년03월_계_90~99세,595,59,70,35,71,17,29,19,47,24,22,33,51,31,58,29
2020년03월_계_100세 이상,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
2020년03월_남_총인구수,"65,612","2,559","6,443","1,522","15,823","1,146","1,050",758,"4,543","1,544","2,067","4,732","5,214","5,738","5,457","7,016"
2020년03월_남_연령구간인구수,"65,612","2,559","6,443","1,522","15,823","1,146","1,050",758,"4,543","1,544","2,067","4,732","5,214","5,738","5,457","7,016"
2020년03월_남_0~9세,"5,296",65,665,39,"2,103",25,17,10,214,44,64,261,387,528,266,608
2020년03월_남_10~19세,"6,753",113,742,77,"2,024",68,33,19,405,95,121,360,508,747,528,913
2020년03월_남_20~29세,"6,352",211,585,107,"1,453",66,51,53,546,141,169,409,563,565,594,839
2020년03월_남_30~39세,"7,804",200,765,93,"2,479",90,58,53,443,114,188,555,647,629,585,905
2020년03월_남_40~49세,"11,784",383,"1,241",202,"3,416",181,132,74,735,239,350,835,810,"1,057",857,"1,272"
2020년03월_남_50~59세,"11,639",578,"1,095",299,"2,263",251,227,188,879,325,441,937,842,992,"1,109","1,213"
2020년03월_남_60~69세,"9,563",553,787,360,"1,383",240,241,192,775,327,415,823,852,857,917,841
2020년03월_남_70~79세,"4,904",328,393,253,548,161,201,117,420,198,236,446,473,300,471,359
2020년03월_남_80~89세,"1,402",120,154,87,143,62,83,49,121,56,75,102,120,55,112,63
2020년03월_남_90~99세,107,8,15,5,11,2,7,3,4,5,8,4,9,7,17,2
2020년03월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년03월_여_총인구수,"64,838","2,273","6,447","1,439","15,402",930,"1,023",757,"4,609","1,584","2,101","4,526","5,581","5,931","5,189","7,046"
2020년03월_여_연령구간인구수,"64,838","2,273","6,447","1,439","15,402",930,"1,023",757,"4,609","1,584","2,101","4,526","5,581","5,931","5,189","7,046"
2020년03월_여_0~9세,"5,229",72,710,37,"1,999",28,22,9,232,65,78,273,370,490,296,548
2020년03월_여_10~19세,"6,209",106,697,57,"1,885",38,29,20,444,103,120,327,466,692,457,768
2020년03월_여_20~29세,"5,290",129,539,74,"1,272",57,39,23,400,98,145,337,466,506,429,776
2020년03월_여_30~39세,"7,264",148,829,71,"2,617",40,40,26,362,97,131,416,566,657,457,807
2020년03월_여_40~49세,"9,905",201,"1,033",95,"2,979",98,67,49,607,155,218,559,785,"1,001",715,"1,343"
2020년03월_여_50~59세,"11,232",404,"1,031",233,"2,175",177,122,144,878,298,412,938,"1,049","1,063","1,009","1,299"
2020년03월_여_60~69세,"9,962",475,748,372,"1,371",226,216,161,825,337,486,919,"1,090",877,929,930
2020년03월_여_70~79세,"6,058",396,519,278,683,145,267,164,574,292,341,509,529,412,572,377
2020년03월_여_80~89세,"3,184",289,286,192,361,106,198,143,242,119,155,216,216,209,281,171
2020년03월_여_90~99세,488,51,55,30,60,15,22,16,43,19,14,29,42,24,41,27
2020년03월_여_100세 이상,17,2,0,0,0,0,1,2,2,1,1,3,2,0,3,0
