카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년07월_계_총인구수,"654,093","349,189","25,460","24,460","33,504","33,370","30,091","38,496","27,092","20,483","22,159","39,079","27,316","18,467","9,212","304,904","39,247","22,152","25,369","44,885","6,345","18,648","22,853","47,471","16,182","17,159","35,867","8,726"
2020년07월_계_연령구간인구수,"654,093","349,189","25,460","24,460","33,504","33,370","30,091","38,496","27,092","20,483","22,159","39,079","27,316","18,467","9,212","304,904","39,247","22,152","25,369","44,885","6,345","18,648","22,853","47,471","16,182","17,159","35,867","8,726"
2020년07월_계_0~9세,"45,583","23,898","1,852","1,194","1,927","2,693","3,269","2,834","1,630","1,056","1,564","2,366","1,824","1,174",515,"21,685","2,745","1,263","1,708","3,567",298,"1,353","1,723","3,935","1,180",978,"2,623",312
2020년07월_계_10~19세,"65,571","34,843","2,588","1,699","3,047","3,732","3,645","4,164","3,018","1,860","2,189","4,045","2,712","1,358",786,"30,728","4,077","1,993","2,289","5,379",311,"1,847","2,584","5,062","1,340","1,705","3,751",390
2020년07월_계_20~29세,"106,098","57,634","3,877","4,483","6,083","5,416","4,970","5,998","4,372","3,546","3,532","7,064","4,856","2,256","1,181","48,464","6,074","4,230","5,023","7,718",495,"2,863","3,125","7,480","2,434","2,556","5,765",701
2020년07월_계_30~39세,"86,119","44,142","3,247","3,841","4,697","4,278","4,211","4,814","3,047","2,524","2,501","4,425","3,286","2,298",973,"41,977","5,292","3,221","4,035","5,549",669,"2,490","3,037","7,262","2,585","1,975","5,182",680
2020년07월_계_40~49세,"109,713","58,428","4,627","4,076","5,794","5,625","5,324","7,036","4,675","3,296","3,750","6,302","3,801","2,733","1,389","51,285","7,245","3,374","3,793","7,597","1,038","2,904","4,138","8,454","2,536","2,986","6,276",944
2020년07월_계_50~59세,"127,190","68,198","4,629","4,596","6,305","6,392","5,237","7,331","5,383","4,262","4,628","8,223","5,830","3,500","1,882","58,992","7,530","4,088","4,587","9,103","1,669","3,755","4,285","8,208","3,042","3,814","6,928","1,983"
2020년07월_계_60~69세,"68,207","36,128","2,512","2,608","2,824","3,275","2,411","3,576","2,771","2,197","2,270","4,065","3,220","2,913","1,486","32,079","3,729","2,350","2,659","4,030",980,"2,256","2,517","4,249","1,927","1,927","3,412","2,043"
2020년07월_계_70~79세,"29,361","16,608","1,439","1,297","1,529","1,250",693,"1,797","1,426","1,113","1,100","1,616","1,100","1,587",661,"12,753","1,665","1,050",818,"1,213",596,843,946,"1,811",712,797,"1,241","1,061"
2020년07월_계_80~89세,"14,078","8,050",595,573,"1,094",619,276,851,679,562,561,846,564,555,275,"6,028",774,521,374,622,253,292,436,872,376,371,612,525
2020년07월_계_90~99세,"2,048","1,193",90,86,190,85,54,94,87,67,61,119,115,87,58,855,112,59,78,103,30,35,59,130,48,47,73,81
2020년07월_계_100세 이상,125,67,4,7,14,5,1,1,4,0,3,8,8,6,6,58,4,3,5,4,6,10,3,8,2,3,4,6
2020년07월_남_총인구수,"335,259","178,010","12,941","13,071","17,467","16,895","15,265","19,878","13,382","10,174","11,413","19,980","13,422","9,327","4,795","157,249","20,691","11,088","12,610","22,590","3,674","9,481","12,219","24,338","8,253","9,328","18,407","4,570"
2020년07월_남_연령구간인구수,"335,259","178,010","12,941","13,071","17,467","16,895","15,265","19,878","13,382","10,174","11,413","19,980","13,422","9,327","4,795","157,249","20,691","11,088","12,610","22,590","3,674","9,481","12,219","24,338","8,253","9,328","18,407","4,570"
2020년07월_남_0~9세,"23,203","12,164",908,596,977,"1,379","1,627","1,483",835,555,809,"1,207",941,588,259,"11,039","1,413",621,870,"1,793",151,678,879,"2,010",605,501,"1,338",180
2020년07월_남_10~19세,"33,767","17,818","1,268",883,"1,582","1,896","1,861","2,144","1,476",935,"1,088","2,152","1,426",702,405,"15,949","2,166","1,024","1,153","2,829",161,967,"1,324","2,562",686,910,"1,957",210
2020년07월_남_20~29세,"56,431","30,678","2,009","2,360","3,326","2,883","2,737","3,216","2,204","1,816","1,886","3,823","2,540","1,221",657,"25,753","3,365","2,146","2,516","3,951",303,"1,478","1,765","4,031","1,327","1,395","3,079",397
2020년07월_남_30~39세,"46,779","23,857","1,758","2,264","2,720","2,279","2,055","2,598","1,625","1,328","1,351","2,413","1,694","1,232",540,"22,922","2,935","1,802","2,136","2,783",401,"1,337","1,753","4,017","1,456","1,123","2,788",391
2020년07월_남_40~49세,"55,801","29,580","2,453","2,265","3,043","2,796","2,565","3,623","2,248","1,622","1,960","3,089","1,695","1,467",754,"26,221","3,868","1,666","1,833","3,558",634,"1,443","2,274","4,274","1,308","1,655","3,169",539
2020년07월_남_50~59세,"65,337","34,937","2,452","2,509","3,337","3,223","2,645","3,864","2,690","2,097","2,468","4,157","2,755","1,726","1,014","30,400","4,064","2,051","2,215","4,576","1,053","1,872","2,276","4,134","1,465","2,180","3,507","1,007"
2020년07월_남_60~69세,"35,742","18,763","1,276","1,363","1,489","1,673","1,309","1,874","1,465","1,129","1,189","2,181","1,664","1,389",762,"16,979","1,933","1,166","1,376","2,273",565,"1,179","1,317","2,204","1,004","1,046","1,850","1,066"
2020년07월_남_70~79세,"13,086","7,269",604,601,612,545,364,777,589,458,460,691,492,771,305,"5,817",693,444,384,595,294,411,469,797,284,385,513,548
2020년07월_남_80~89세,"4,650","2,673",195,213,326,202,94,282,231,216,191,248,179,210,86,"1,977",232,159,113,210,99,107,149,281,109,118,192,208
2020년07월_남_90~99세,435,257,18,16,51,19,8,17,18,18,10,18,33,19,12,178,22,9,12,21,12,7,13,26,8,14,13,21
2020년07월_남_100세 이상,28,14,0,1,4,0,0,0,1,0,1,1,3,2,1,14,0,0,2,1,1,2,0,2,1,1,1,3
2020년07월_여_총인구수,"318,834","171,179","12,519","11,389","16,037","16,475","14,826","18,618","13,710","10,309","10,746","19,099","13,894","9,140","4,417","147,655","18,556","11,064","12,759","22,295","2,671","9,167","10,634","23,133","7,929","7,831","17,460","4,156"
2020년07월_여_연령구간인구수,"318,834","171,179","12,519","11,389","16,037","16,475","14,826","18,618","13,710","10,309","10,746","19,099","13,894","9,140","4,417","147,655","18,556","11,064","12,759","22,295","2,671","9,167","10,634","23,133","7,929","7,831","17,460","4,156"
2020년07월_여_0~9세,"22,380","11,734",944,598,950,"1,314","1,642","1,351",795,501,755,"1,159",883,586,256,"10,646","1,332",642,838,"1,774",147,675,844,"1,925",575,477,"1,285",132
2020년07월_여_10~19세,"31,804","17,025","1,320",816,"1,465","1,836","1,784","2,020","1,542",925,"1,101","1,893","1,286",656,381,"14,779","1,911",969,"1,136","2,550",150,880,"1,260","2,500",654,795,"1,794",180
2020년07월_여_20~29세,"49,667","26,956","1,868","2,123","2,757","2,533","2,233","2,782","2,168","1,730","1,646","3,241","2,316","1,035",524,"22,711","2,709","2,084","2,507","3,767",192,"1,385","1,360","3,449","1,107","1,161","2,686",304
2020년07월_여_30~39세,"39,340","20,285","1,489","1,577","1,977","1,999","2,156","2,216","1,422","1,196","1,150","2,012","1,592","1,066",433,"19,055","2,357","1,419","1,899","2,766",268,"1,153","1,284","3,245","1,129",852,"2,394",289
2020년07월_여_40~49세,"53,912","28,848","2,174","1,811","2,751","2,829","2,759","3,413","2,427","1,674","1,790","3,213","2,106","1,266",635,"25,064","3,377","1,708","1,960","4,039",404,"1,461","1,864","4,180","1,228","1,331","3,107",405
2020년07월_여_50~59세,"61,853","33,261","2,177","2,087","2,968","3,169","2,592","3,467","2,693","2,165","2,160","4,066","3,075","1,774",868,"28,592","3,466","2,037","2,372","4,527",616,"1,883","2,009","4,074","1,577","1,634","3,421",976
2020년07월_여_60~69세,"32,465","17,365","1,236","1,245","1,335","1,602","1,102","1,702","1,306","1,068","1,081","1,884","1,556","1,524",724,"15,100","1,796","1,184","1,283","1,757",415,"1,077","1,200","2,045",923,881,"1,562",977
2020년07월_여_70~79세,"16,275","9,339",835,696,917,705,329,"1,020",837,655,640,925,608,816,356,"6,936",972,606,434,618,302,432,477,"1,014",428,412,728,513
2020년07월_여_80~89세,"9,428","5,377",400,360,768,417,182,569,448,346,370,598,385,345,189,"4,051",542,362,261,412,154,185,287,591,267,253,420,317
2020년07월_여_90~99세,"1,613",936,72,70,139,66,46,77,69,49,51,101,82,68,46,677,90,50,66,82,18,28,46,104,40,33,60,60
2020년07월_여_100세 이상,97,53,4,6,10,5,1,1,3,0,2,7,5,4,5,44,4,3,3,3,5,8,3,6,1,2,3,3
