카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년02월_계_총인구수,"49,049","14,166","2,908","6,566",716,"2,792","2,617","1,768","6,590","7,571","1,286","2,069"
2020년02월_계_연령구간인구수,"49,049","14,166","2,908","6,566",716,"2,792","2,617","1,768","6,590","7,571","1,286","2,069"
2020년02월_계_0~9세,"2,989","1,151",69,750,9,125,59,48,338,367,24,49
2020년02월_계_10~19세,"3,935","1,732",262,463,30,135,103,73,420,591,40,86
2020년02월_계_20~29세,"4,481","1,522",187,743,50,195,187,111,696,640,44,106
2020년02월_계_30~39세,"4,507","1,489",157,"1,127",23,187,124,70,642,555,48,85
2020년02월_계_40~49세,"6,493","2,409",254,927,68,318,174,161,892,977,137,176
2020년02월_계_50~59세,"8,780","2,357",483,"1,042",155,516,488,283,"1,304","1,490",304,358
2020년02월_계_60~69세,"7,794","1,663",539,731,135,521,551,354,"1,092","1,495",283,430
2020년02월_계_70~79세,"5,732","1,073",532,464,132,407,456,360,740,962,227,379
2020년02월_계_80~89세,"3,737",655,361,278,101,332,399,273,412,423,160,343
2020년02월_계_90~99세,581,113,61,37,13,55,74,35,50,70,17,56
2020년02월_계_100세 이상,20,2,3,4,0,1,2,0,4,1,2,1
2020년02월_남_총인구수,"24,536","7,131","1,413","3,441",372,"1,389","1,229",856,"3,377","3,728",631,969
2020년02월_남_연령구간인구수,"24,536","7,131","1,413","3,441",372,"1,389","1,229",856,"3,377","3,728",631,969
2020년02월_남_0~9세,"1,515",611,40,365,6,67,27,19,159,188,11,22
2020년02월_남_10~19세,"2,157",920,193,251,14,68,47,43,233,320,23,45
2020년02월_남_20~29세,"2,624",845,104,435,30,127,129,67,422,377,26,62
2020년02월_남_30~39세,"2,460",763,94,624,16,100,74,44,366,295,31,53
2020년02월_남_40~49세,"3,601","1,230",141,539,48,190,101,93,519,546,75,119
2020년02월_남_50~59세,"4,705","1,254",269,581,102,288,267,153,678,754,161,198
2020년02월_남_60~69세,"3,809",812,236,358,73,272,270,179,560,685,153,211
2020년02월_남_70~79세,"2,446",453,214,210,51,158,192,161,319,432,97,159
2020년02월_남_80~89세,"1,132",225,113,76,31,111,114,89,112,121,47,93
2020년02월_남_90~99세,85,18,9,2,1,8,8,8,8,10,6,7
2020년02월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년02월_여_총인구수,"24,513","7,035","1,495","3,125",344,"1,403","1,388",912,"3,213","3,843",655,"1,100"
2020년02월_여_연령구간인구수,"24,513","7,035","1,495","3,125",344,"1,403","1,388",912,"3,213","3,843",655,"1,100"
2020년02월_여_0~9세,"1,474",540,29,385,3,58,32,29,179,179,13,27
2020년02월_여_10~19세,"1,778",812,69,212,16,67,56,30,187,271,17,41
2020년02월_여_20~29세,"1,857",677,83,308,20,68,58,44,274,263,18,44
2020년02월_여_30~39세,"2,047",726,63,503,7,87,50,26,276,260,17,32
2020년02월_여_40~49세,"2,892","1,179",113,388,20,128,73,68,373,431,62,57
2020년02월_여_50~59세,"4,075","1,103",214,461,53,228,221,130,626,736,143,160
2020년02월_여_60~69세,"3,985",851,303,373,62,249,281,175,532,810,130,219
2020년02월_여_70~79세,"3,286",620,318,254,81,249,264,199,421,530,130,220
2020년02월_여_80~89세,"2,605",430,248,202,70,221,285,184,300,302,113,250
2020년02월_여_90~99세,496,95,52,35,12,47,66,27,42,60,11,49
2020년02월_여_100세 이상,18,2,3,4,0,1,2,0,3,1,1,1
