,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년03월_계_총인구수,"401,074","35,853","21,128","24,239","23,687","20,058","29,349","9,093","22,804","27,087","34,328","31,400","20,520","22,766","38,602","23,828","16,332"
2021년03월_계_연령구간인구수,"401,074","35,853","21,128","24,239","23,687","20,058","29,349","9,093","22,804","27,087","34,328","31,400","20,520","22,766","38,602","23,828","16,332"
2021년03월_계_0~9세,"27,288","3,553","1,829",858,"1,286",776,"1,806",235,"1,283","1,761","2,180","2,104","1,153","1,204","3,100","1,429","2,731"
2021년03월_계_10~19세,"29,683","3,494","1,954","1,427","1,394","1,094","1,565",275,"1,906","2,193","2,396","2,287","1,420","1,219","3,870","1,980","1,209"
2021년03월_계_20~29세,"55,256","4,222","2,814","3,214","4,215","2,841","5,120","1,537","3,256","3,569","4,622","3,824","2,564","4,112","4,597","3,091","1,658"
2021년03월_계_30~39세,"62,245","6,131","3,814","2,883","4,958","2,872","5,465","1,250","2,825","3,235","5,097","4,434","2,702","4,380","5,124","3,254","3,821"
2021년03월_계_40~49세,"62,455","6,493","3,618","3,432","3,987","2,925","4,074","1,129","3,425","4,237","4,949","4,800","3,127","3,174","6,556","3,777","2,752"
2021년03월_계_50~59세,"62,775","5,094","3,001","4,633","3,035","3,462","4,557","1,816","3,889","4,703","5,837","4,910","3,446","3,041","5,653","3,926","1,772"
2021년03월_계_60~69세,"56,508","4,058","2,676","4,052","2,588","3,077","3,791","1,607","3,553","4,044","5,187","5,088","3,504","3,024","5,098","3,654","1,507"
2021년03월_계_70~79세,"31,733","1,983",989,"2,632","1,553","2,091","2,096",838,"1,922","2,344","2,878","2,917","1,817","1,832","3,263","1,956",622
2021년03월_계_80~89세,"11,587",728,364,982,602,831,782,352,654,895,"1,035",913,702,692,"1,175",665,215
2021년03월_계_90~99세,"1,485",92,65,122,68,89,90,51,89,102,137,118,80,85,163,92,42
2021년03월_계_100세 이상,59,5,4,4,1,0,3,3,2,4,10,5,5,3,3,4,3
2021년03월_남_총인구수,"198,034","17,513","10,364","12,285","12,106","9,728","14,242","4,941","11,345","13,412","17,178","15,327","10,034","11,135","18,624","11,754","8,046"
2021년03월_남_연령구간인구수,"198,034","17,513","10,364","12,285","12,106","9,728","14,242","4,941","11,345","13,412","17,178","15,327","10,034","11,135","18,624","11,754","8,046"
2021년03월_남_0~9세,"13,907","1,765",940,444,670,410,928,127,656,878,"1,084","1,087",561,591,"1,591",735,"1,440"
