,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년12월_계_총인구수,"2,948,375","143,633","61,486","407,464","389,644","518,272","486,765","295,696","555,380","69,693","20,342"
2021년12월_계_연령구간인구수,"2,948,375","143,633","61,486","407,464","389,644","518,272","486,765","295,696","555,380","69,693","20,342"
2021년12월_계_0~9세,"217,384","11,661","3,473","26,104","37,087","38,030","30,404","17,269","49,272","3,204",880
2021년12월_계_10~19세,"271,131","13,147","4,905","31,520","43,121","48,654","41,454","25,481","57,186","4,566","1,097"
2021년12월_계_20~29세,"391,051","18,940","6,381","56,905","50,625","68,723","67,235","42,409","72,140","5,129","2,564"
2021년12월_계_30~39세,"402,091","21,991","6,750","55,834","56,494","69,084","66,031","38,076","80,789","5,201","1,841"
2021년12월_계_40~49세,"481,066","25,234","9,698","63,525","69,025","86,799","74,842","44,577","97,411","7,661","2,294"
2021년12월_계_50~59세,"510,969","21,230","9,953","67,377","65,224","89,137","87,957","59,417","95,472","11,745","3,457"
2021년12월_계_60~69세,"399,128","17,316","10,397","59,014","43,076","70,806","70,399","43,573","64,760","15,383","4,404"
2021년12월_계_70~79세,"179,244","9,371","6,487","31,167","15,856","31,394","31,540","15,806","25,323","9,939","2,361"
2021년12월_계_80~89세,"82,853","4,047","2,980","13,915","7,694","13,473","14,661","7,840","11,136","5,950","1,157"
2021년12월_계_90~99세,"13,041",672,450,"2,042","1,393","2,100","2,171","1,221","1,821",898,273
2021년12월_계_100세 이상,417,24,12,61,49,72,71,27,70,17,14
2021년12월_남_총인구수,"1,476,373","74,679","30,998","205,283","193,417","257,468","240,348","147,316","280,398","34,868","11,598"
2021년12월_남_연령구간인구수,"1,476,373","74,679","30,998","205,283","193,417","257,468","240,348","147,316","280,398","34,868","11,598"
2021년12월_남_0~9세,"111,554","6,036","1,815","13,331","18,925","19,613","15,515","8,785","25,406","1,680",448
2021년12월_남_10~19세,"139,390","6,750","2,538","16,291","22,084","24,923","21,521","13,029","29,309","2,342",603
2021년12월_남_20~29세,"203,834","9,750","3,459","29,929","26,341","35,526","34,420","22,286","37,300","2,948","1,875"
2021년12월_남_30~39세,"208,279","11,967","3,619","30,089","27,787","35,645","34,130","19,935","41,250","2,699","1,158"
2021년12월_남_40~49세,"246,522","13,752","5,214","33,688","33,867","44,284","37,815","22,298","50,035","4,132","1,437"
2021년12월_남_50~59세,"255,130","11,757","5,308","34,022","32,151","43,945","42,854","28,800","48,218","6,057","2,018"
2021년12월_남_60~69세,"197,657","8,713","5,030","28,194","22,017","34,212","34,261","22,170","32,976","7,693","2,391"
2021년12월_남_70~79세,"82,211","4,315","2,869","14,161","7,356","14,265","14,337","7,198","11,814","4,733","1,163"
2021년12월_남_80~89세,"28,963","1,477","1,035","5,106","2,597","4,647","5,025","2,547","3,725","2,362",442
2021년12월_남_90~99세,"2,749",154,108,458,283,399,458,262,349,218,60
2021년12월_남_100세 이상,84,8,3,14,9,9,12,6,16,4,3
2021년12월_여_총인구수,"1,472,002","68,954","30,488","202,181","196,227","260,804","246,417","148,380","274,982","34,825","8,744"
2021년12월_여_연령구간인구수,"1,472,002","68,954","30,488","202,181","196,227","260,804","246,417","148,380","274,982","34,825","8,744"
2021년12월_여_0~9세,"105,830","5,625","1,658","12,773","18,162","18,417","14,889","8,484","23,866","1,524",432
2021년12월_여_10~19세,"131,741","6,397","2,367","15,229","21,037","23,731","19,933","12,452","27,877","2,224",494
2021년12월_여_20~29세,"187,217","9,190","2,922","26,976","24,284","33,197","32,815","20,123","34,840","2,181",689
2021년12월_여_30~39세,"193,812","10,024","3,131","25,745","28,707","33,439","31,901","18,141","39,539","2,502",683
2021년12월_여_40~49세,"234,544","11,482","4,484","29,837","35,158","42,515","37,027","22,279","47,376","3,529",857
2021년12월_여_50~59세,"255,839","9,473","4,645","33,355","33,073","45,192","45,103","30,617","47,254","5,688","1,439"
2021년12월_여_60~69세,"201,471","8,603","5,367","30,820","21,059","36,594","36,138","21,403","31,784","7,690","2,013"
2021년12월_여_70~79세,"97,033","5,056","3,618","17,006","8,500","17,129","17,203","8,608","13,509","5,206","1,198"
2021년12월_여_80~89세,"53,890","2,570","1,945","8,809","5,097","8,826","9,636","5,293","7,411","3,588",715
2021년12월_여_90~99세,"10,292",518,342,"1,584","1,110","1,701","1,713",959,"1,472",680,213
2021년12월_여_100세 이상,333,16,9,47,40,63,59,21,54,13,11
