,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년07월_계_총인구수,"520,683","31,623","35,648","30,013","14,718","21,893","22,104","27,741","28,976","17,256","24,480","17,719","21,221","15,402","24,531","20,053","39,614","21,043","32,173","32,997","41,478"
2021년07월_계_연령구간인구수,"520,683","31,623","35,648","30,013","14,718","21,893","22,104","27,741","28,976","17,256","24,480","17,719","21,221","15,402","24,531","20,053","39,614","21,043","32,173","32,997","41,478"
2021년07월_계_0~9세,"39,438","3,015","3,492","1,634",589,"1,095","1,530","1,488","1,740",810,"1,641","1,270","1,397",597,"1,352","1,530","5,730","1,225","2,738","2,340","4,225"
2021년07월_계_10~19세,"49,167","3,057","4,349","1,813",987,"1,570","2,080","2,072","2,337","1,076","2,483","1,597","1,860",979,"2,255","2,184","3,862","1,855","3,524","3,315","5,912"
2021년07월_계_20~29세,"69,671","4,134","4,294","6,486","2,142","3,098","2,895","3,959","4,114","2,250","3,245","2,486","2,772","2,125","3,382","2,329","3,676","2,801","4,136","4,613","4,734"
2021년07월_계_30~39세,"70,144","4,559","4,359","5,758","1,611","3,077","2,696","3,603","4,019","2,165","2,847","2,185","2,799","1,792","2,768","2,305","7,146","2,248","4,407","4,585","5,215"
2021년07월_계_40~49세,"87,521","5,581","6,610","4,801","2,181","3,286","3,770","4,188","4,547","2,369","4,112","2,830","3,240","2,028","3,634","3,367","7,696","3,247","5,781","5,601","8,652"
2021년07월_계_50~59세,"89,004","5,022","5,725","4,475","2,892","3,859","3,835","5,135","5,131","3,253","4,321","3,173","3,718","2,968","4,782","3,405","4,975","4,245","5,561","5,673","6,856"
2021년07월_계_60~69세,"69,387","3,886","4,277","3,076","2,432","3,237","3,054","4,303","4,279","2,924","3,573","2,558","3,281","2,811","3,752","3,080","4,248","3,251","3,727","3,908","3,730"
2021년07월_계_70~79세,"31,113","1,602","1,770","1,369","1,266","1,801","1,542","2,009","1,878","1,500","1,586","1,148","1,405","1,466","1,622","1,253","1,646","1,433","1,521","1,882","1,414"
2021년07월_계_80~89세,"13,128",633,652,532,537,756,596,863,791,804,574,403,652,548,832,521,546,625,663,943,657
2021년07월_계_90~99세,"2,027",130,111,68,77,110,104,113,131,104,95,66,89,86,148,78,84,110,115,128,80
2021년07월_계_100세 이상,83,4,9,1,4,4,2,8,9,1,3,3,8,2,4,1,5,3,0,9,3
2021년07월_남_총인구수,"258,582","15,408","17,546","14,908","7,428","10,767","11,037","13,846","14,453","8,433","12,008","8,936","10,368","7,687","11,959","9,964","19,712","10,776","16,242","16,657","20,447"
2021년07월_남_연령구간인구수,"258,582","15,408","17,546","14,908","7,428","10,767","11,037","13,846","14,453","8,433","12,008","8,936","10,368","7,687","11,959","9,964","19,712","10,776","16,242","16,657","20,447"
2021년07월_남_0~9세,"20,312","1,559","1,854",858,311,571,790,736,878,414,842,654,709,313,718,757,"2,956",636,"1,378","1,227","2,151"
2021년07월_남_10~19세,"25,186","1,470","2,247",936,545,815,"1,088","1,050","1,171",549,"1,235",812,982,489,"1,129","1,142","2,049",990,"1,838","1,706","2,943"
2021년07월_남_20~29세,"35,934","2,052","2,229","2,871","1,100","1,593","1,507","2,024","2,120","1,173","1,704","1,316","1,481","1,128","1,797","1,274","1,842","1,541","2,229","2,497","2,456"
2021년07월_남_30~39세,"36,197","2,213","2,044","3,103",915,"1,662","1,369","1,905","2,108","1,183","1,457","1,160","1,444","1,018","1,457","1,160","3,460","1,195","2,333","2,564","2,447"
2021년07월_남_40~49세,"44,567","2,908","3,187","2,591","1,193","1,714","1,924","2,231","2,341","1,223","2,064","1,478","1,588","1,093","1,725","1,709","4,009","1,702","2,914","2,839","4,134"
2021년07월_남_50~59세,"43,870","2,382","2,841","2,236","1,452","1,858","1,937","2,578","2,520","1,623","2,063","1,556","1,768","1,460","2,284","1,635","2,356","2,143","2,819","2,807","3,552"
2021년07월_남_60~69세,"33,480","1,845","2,038","1,484","1,167","1,508","1,477","2,069","2,124","1,398","1,664","1,268","1,520","1,320","1,854","1,490","2,053","1,661","1,806","1,843","1,891"
2021년07월_남_70~79세,"14,147",750,838,613,552,776,704,907,894,615,750,541,658,643,715,579,798,665,675,831,643
2021년07월_남_80~89세,"4,499",209,247,198,184,258,210,316,270,236,210,138,198,210,256,201,179,224,228,314,213
2021년07월_남_90~99세,377,20,19,18,9,12,31,27,26,19,18,13,18,13,24,17,9,19,22,26,17
2021년07월_남_100세 이상,13,0,2,0,0,0,0,3,1,0,1,0,2,0,0,0,1,0,0,3,0
2021년07월_여_총인구수,"262,101","16,215","18,102","15,105","7,290","11,126","11,067","13,895","14,523","8,823","12,472","8,783","10,853","7,715","12,572","10,089","19,902","10,267","15,931","16,340","21,031"
2021년07월_여_연령구간인구수,"262,101","16,215","18,102","15,105","7,290","11,126","11,067","13,895","14,523","8,823","12,472","8,783","10,853","7,715","12,572","10,089","19,902","10,267","15,931","16,340","21,031"
2021년07월_여_0~9세,"19,126","1,456","1,638",776,278,524,740,752,862,396,799,616,688,284,634,773,"2,774",589,"1,360","1,113","2,074"
2021년07월_여_10~19세,"23,981","1,587","2,102",877,442,755,992,"1,022","1,166",527,"1,248",785,878,490,"1,126","1,042","1,813",865,"1,686","1,609","2,969"
2021년07월_여_20~29세,"33,737","2,082","2,065","3,615","1,042","1,505","1,388","1,935","1,994","1,077","1,541","1,170","1,291",997,"1,585","1,055","1,834","1,260","1,907","2,116","2,278"
2021년07월_여_30~39세,"33,947","2,346","2,315","2,655",696,"1,415","1,327","1,698","1,911",982,"1,390","1,025","1,355",774,"1,311","1,145","3,686","1,053","2,074","2,021","2,768"
2021년07월_여_40~49세,"42,954","2,673","3,423","2,210",988,"1,572","1,846","1,957","2,206","1,146","2,048","1,352","1,652",935,"1,909","1,658","3,687","1,545","2,867","2,762","4,518"
2021년07월_여_50~59세,"45,134","2,640","2,884","2,239","1,440","2,001","1,898","2,557","2,611","1,630","2,258","1,617","1,950","1,508","2,498","1,770","2,619","2,102","2,742","2,866","3,304"
2021년07월_여_60~69세,"35,907","2,041","2,239","1,592","1,265","1,729","1,577","2,234","2,155","1,526","1,909","1,290","1,761","1,491","1,898","1,590","2,195","1,590","1,921","2,065","1,839"
2021년07월_여_70~79세,"16,966",852,932,756,714,"1,025",838,"1,102",984,885,836,607,747,823,907,674,848,768,846,"1,051",771
2021년07월_여_80~89세,"8,629",424,405,334,353,498,386,547,521,568,364,265,454,338,576,320,367,401,435,629,444
2021년07월_여_90~99세,"1,650",110,92,50,68,98,73,86,105,85,77,53,71,73,124,61,75,91,93,102,63
2021년07월_여_100세 이상,70,4,7,1,4,4,2,5,8,1,2,3,6,2,4,1,4,3,0,6,3
