카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년01월_계_총인구수,"3,411,819","41,830","107,973","88,292","116,447","357,284","271,562","273,707","290,908","406,312","320,254","238,556","130,298","209,980","176,112","217,594","164,710"
2020년01월_계_연령구간인구수,"3,411,819","41,830","107,973","88,292","116,447","357,284","271,562","273,707","290,908","406,312","320,254","238,556","130,298","209,980","176,112","217,594","164,710"
2020년01월_계_0~9세,"242,231","1,483","5,692","4,164","5,707","22,168","19,999","19,414","20,364","29,669","21,831","14,054","19,388","15,425","10,544","13,623","18,706"
2020년01월_계_10~19세,"282,183","2,241","7,446","5,312","7,935","25,986","25,449","24,176","25,106","39,875","26,979","18,904","10,556","16,994","12,336","16,141","16,747"
2020년01월_계_20~29세,"435,626","5,465","13,529","10,429","12,479","51,267","33,579","35,543","39,493","50,190","41,449","34,146","11,900","26,406","24,063","29,850","15,838"
2020년01월_계_30~39세,"433,536","4,595","11,636","10,237","11,523","47,877","34,008","32,621","35,390","48,617","40,007","26,960","26,587","28,256","24,107","26,852","24,263"
2020년01월_계_40~49세,"517,826","5,654","14,768","12,129","15,917","52,050","43,260","43,092","42,297","67,497","47,842","33,446","21,312","32,106","25,598","30,640","30,218"
2020년01월_계_50~59세,"581,966","7,250","18,479","14,959","20,576","59,471","45,376","44,231","56,268","71,192","57,155","42,387","16,482","34,780","27,922","43,041","22,397"
2020년01월_계_60~69세,"509,116","7,745","18,435","15,577","21,536","53,627","39,557","40,018","42,806","55,304","49,036","37,710","14,571","31,166","27,641","34,949","19,438"
2020년01월_계_70~79세,"284,987","4,976","12,121","10,522","14,407","31,072","21,489","24,516","20,508","30,039","25,351","21,308","6,539","17,564","16,651","16,335","11,589"
2020년01월_계_80~89세,"108,317","1,995","5,017","4,318","5,521","12,083","7,702","8,886","7,593","12,180","9,183","8,326","2,505","6,401","6,342","5,468","4,797"
2020년01월_계_90~99세,"14,235",346,739,549,718,"1,460","1,005","1,084",985,"1,596","1,260","1,122",419,804,841,629,678
2020년01월_계_100세 이상,"1,796",80,111,96,128,223,138,126,98,153,161,193,39,78,67,66,39
2020년01월_남_총인구수,"1,674,202","20,508","52,487","43,376","57,482","173,108","132,401","134,125","144,089","196,037","159,764","116,818","67,353","101,486","83,525","110,022","81,621"
2020년01월_남_연령구간인구수,"1,674,202","20,508","52,487","43,376","57,482","173,108","132,401","134,125","144,089","196,037","159,764","116,818","67,353","101,486","83,525","110,022","81,621"
2020년01월_남_0~9세,"124,296",779,"2,965","2,181","2,873","11,281","10,301","9,874","10,466","15,446","11,184","7,244","9,946","7,847","5,434","6,937","9,538"
2020년01월_남_10~19세,"146,268","1,133","3,776","2,740","4,123","13,313","13,375","12,513","13,073","20,588","14,060","9,800","5,396","8,789","6,363","8,475","8,751"
2020년01월_남_20~29세,"228,155","2,751","6,761","5,339","6,812","25,428","17,646","18,909","21,221","26,269","22,319","18,500","6,347","13,485","11,896","16,021","8,451"
