카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년11월_계_총인구수,"241,576","8,104","3,076","1,568","7,250","2,849","11,851","1,089","8,054","3,501","1,059","3,092","1,374","5,956","9,165","26,940","7,297","25,940","20,773","34,468","34,424","23,746"
2021년11월_계_연령구간인구수,"241,576","8,104","3,076","1,568","7,250","2,849","11,851","1,089","8,054","3,501","1,059","3,092","1,374","5,956","9,165","26,940","7,297","25,940","20,773","34,468","34,424","23,746"
2021년11월_계_0~9세,"24,333",556,74,27,370,52,"1,272",30,437,164,28,64,44,355,473,"4,190",565,"2,269","1,566","3,094","5,342","3,361"
2021년11월_계_10~19세,"27,944",624,121,60,590,137,"1,144",43,637,256,25,102,69,611,920,"3,594",674,"2,980","2,202","4,196","5,153","3,806"
2021년11월_계_20~29세,"22,947",651,208,77,539,206,886,58,714,276,46,184,66,625,929,"2,234",795,"2,758","2,714","3,900","2,912","2,169"
2021년11월_계_30~39세,"33,189",832,201,83,572,133,"1,584",72,809,279,56,166,95,597,819,"5,361","1,011","3,310","3,212","4,542","6,072","3,383"
2021년11월_계_40~49세,"47,194","1,243",328,147,978,286,"2,206",108,"1,307",428,105,361,170,"1,128","1,559","6,264","1,332","4,922","4,323","6,743","7,737","5,519"
2021년11월_계_50~59세,"39,942","1,617",604,320,"1,294",538,"1,899",222,"1,680",644,189,553,260,"1,200","1,876","3,079","1,370","4,845","4,062","6,048","4,365","3,277"
2021년11월_계_60~69세,"28,693","1,535",758,398,"1,453",719,"1,593",309,"1,449",731,270,738,327,887,"1,701","1,608","1,093","3,528","1,999","4,149","1,945","1,503"
2021년11월_계_70~79세,"11,297",639,489,276,847,463,820,162,624,429,208,541,197,363,633,424,337,938,497,"1,282",641,487
2021년11월_계_80~89세,"5,178",350,253,155,507,266,391,72,336,245,109,329,125,170,225,160,106,341,167,446,214,211
2021년11월_계_90~99세,834,56,39,25,97,46,54,13,61,48,23,50,21,19,29,26,14,47,29,67,42,28
2021년11월_계_100세 이상,25,1,1,0,3,3,2,0,0,1,0,4,0,1,1,0,0,2,2,1,1,2
2021년11월_남_총인구수,"126,496","4,139","1,589",797,"3,596","1,478","6,157",555,"4,452","1,806",535,"1,582",686,"3,293","4,942","14,419","3,936","13,487","11,778","17,732","17,440","12,097"
2021년11월_남_연령구간인구수,"126,496","4,139","1,589",797,"3,596","1,478","6,157",555,"4,452","1,806",535,"1,582",686,"3,293","4,942","14,419","3,936","13,487","11,778","17,732","17,440","12,097"
2021년11월_남_0~9세,"12,596",284,43,14,195,28,648,16,237,85,17,38,24,192,269,"2,171",297,"1,151",827,"1,624","2,685","1,751"
2021년11월_남_10~19세,"14,568",324,69,33,292,79,592,26,347,143,13,58,33,324,494,"1,850",364,"1,595","1,166","2,160","2,617","1,989"
2021년11월_남_20~29세,"13,021",380,114,48,301,133,507,35,426,137,25,113,39,361,533,"1,252",483,"1,534","1,631","2,194","1,561","1,214"
2021년11월_남_30~39세,"17,297",422,126,48,297,83,798,45,471,158,30,100,50,365,457,"2,802",555,"1,715","1,988","2,349","2,908","1,530"
2021년11월_남_40~49세,"25,527",654,204,89,541,171,"1,230",61,785,254,68,234,99,664,876,"3,522",769,"2,633","2,525","3,452","3,986","2,710"
2021년11월_남_50~59세,"21,651",860,329,188,662,292,"1,035",121,979,353,117,311,152,702,"1,038","1,748",736,"2,468","2,317","3,108","2,327","1,808"
2021년11월_남_60~69세,"14,662",791,373,213,750,374,819,157,775,364,140,377,170,474,877,823,539,"1,803","1,015","2,076",969,783
2021년11월_남_70~79세,"5,423",309,233,114,386,225,406,75,315,221,92,245,76,163,314,209,163,473,257,604,307,236
2021년11월_남_80~89세,"1,621",107,92,46,163,83,111,14,104,87,32,98,41,46,78,38,28,112,47,151,75,68
2021년11월_남_90~99세,123,7,5,4,8,10,11,5,13,4,1,7,2,2,5,4,2,3,5,13,5,7
2021년11월_남_100세 이상,7,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
2021년11월_여_총인구수,"115,080","3,965","1,487",771,"3,654","1,371","5,694",534,"3,602","1,695",524,"1,510",688,"2,663","4,223","12,521","3,361","12,453","8,995","16,736","16,984","11,649"
2021년11월_여_연령구간인구수,"115,080","3,965","1,487",771,"3,654","1,371","5,694",534,"3,602","1,695",524,"1,510",688,"2,663","4,223","12,521","3,361","12,453","8,995","16,736","16,984","11,649"
2021년11월_여_0~9세,"11,737",272,31,13,175,24,624,14,200,79,11,26,20,163,204,"2,019",268,"1,118",739,"1,470","2,657","1,610"
2021년11월_여_10~19세,"13,376",300,52,27,298,58,552,17,290,113,12,44,36,287,426,"1,744",310,"1,385","1,036","2,036","2,536","1,817"
2021년11월_여_20~29세,"9,926",271,94,29,238,73,379,23,288,139,21,71,27,264,396,982,312,"1,224","1,083","1,706","1,351",955
2021년11월_여_30~39세,"15,892",410,75,35,275,50,786,27,338,121,26,66,45,232,362,"2,559",456,"1,595","1,224","2,193","3,164","1,853"
2021년11월_여_40~49세,"21,667",589,124,58,437,115,976,47,522,174,37,127,71,464,683,"2,742",563,"2,289","1,798","3,291","3,751","2,809"
2021년11월_여_50~59세,"18,291",757,275,132,632,246,864,101,701,291,72,242,108,498,838,"1,331",634,"2,377","1,745","2,940","2,038","1,469"
2021년11월_여_60~69세,"14,031",744,385,185,703,345,774,152,674,367,130,361,157,413,824,785,554,"1,725",984,"2,073",976,720
2021년11월_여_70~79세,"5,874",330,256,162,461,238,414,87,309,208,116,296,121,200,319,215,174,465,240,678,334,251
2021년11월_여_80~89세,"3,557",243,161,109,344,183,280,58,232,158,77,231,84,124,147,122,78,229,120,295,139,143
2021년11월_여_90~99세,711,49,34,21,89,36,43,8,48,44,22,43,19,17,24,22,12,44,24,54,37,21
2021년11월_여_100세 이상,18,0,0,0,2,3,2,0,0,1,0,3,0,1,0,0,0,2,2,0,1,1
