카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년09월_계_총인구수,"42,404","13,079","3,676","1,635","3,869","2,280","3,469","2,597","3,507","2,796","5,496"
2021년09월_계_연령구간인구수,"42,404","13,079","3,676","1,635","3,869","2,280","3,469","2,597","3,507","2,796","5,496"
2021년09월_계_0~9세,"1,506",813,70,46,119,76,51,57,105,47,122
2021년09월_계_10~19세,"2,837","1,369",237,107,178,162,175,89,167,104,249
2021년09월_계_20~29세,"3,067","1,514",195,91,192,163,189,107,188,146,282
2021년09월_계_30~39세,"2,351","1,086",133,82,174,127,130,99,172,103,245
2021년09월_계_40~49세,"4,405","1,877",321,132,379,234,307,216,303,180,456
2021년09월_계_50~59세,"7,114","2,206",622,302,634,445,576,403,565,441,920
2021년09월_계_60~69세,"8,577","2,052",793,342,880,518,704,564,711,681,"1,332"
2021년09월_계_70~79세,"6,666","1,228",688,269,704,340,718,497,642,531,"1,049"
2021년09월_계_80~89세,"4,950",797,520,224,509,178,517,488,527,461,729
2021년09월_계_90~99세,916,135,95,40,99,37,97,75,126,101,111
2021년09월_계_100세 이상,15,2,2,0,1,0,5,2,1,1,1
2021년09월_남_총인구수,"20,497","6,401","1,767",800,"1,879","1,173","1,666","1,240","1,638","1,323","2,610"
2021년09월_남_연령구간인구수,"20,497","6,401","1,767",800,"1,879","1,173","1,666","1,240","1,638","1,323","2,610"
2021년09월_남_0~9세,776,397,32,27,69,36,27,35,57,25,71
2021년09월_남_10~19세,"1,554",728,149,54,106,84,93,54,100,50,136
2021년09월_남_20~29세,"1,894",914,118,64,118,111,119,78,99,95,178
2021년09월_남_30~39세,"1,221",536,72,36,94,67,76,58,92,58,132
2021년09월_남_40~49세,"2,359",896,177,73,214,128,185,132,178,100,276
2021년09월_남_50~59세,"3,856","1,136",355,174,354,244,328,239,298,236,492
2021년09월_남_60~69세,"4,199",967,384,176,431,270,340,271,344,351,665
2021년09월_남_70~79세,"2,950",548,294,116,321,165,330,211,283,243,439
2021년09월_남_80~89세,"1,527",261,164,76,156,62,145,153,159,146,205
2021년09월_남_90~99세,160,18,21,4,16,6,23,9,28,19,16
2021년09월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"21,907","6,678","1,909",835,"1,990","1,107","1,803","1,357","1,869","1,473","2,886"
2021년09월_여_연령구간인구수,"21,907","6,678","1,909",835,"1,990","1,107","1,803","1,357","1,869","1,473","2,886"
2021년09월_여_0~9세,730,416,38,19,50,40,24,22,48,22,51
2021년09월_여_10~19세,"1,283",641,88,53,72,78,82,35,67,54,113
2021년09월_여_20~29세,"1,173",600,77,27,74,52,70,29,89,51,104
2021년09월_여_30~39세,"1,130",550,61,46,80,60,54,41,80,45,113
2021년09월_여_40~49세,"2,046",981,144,59,165,106,122,84,125,80,180
2021년09월_여_50~59세,"3,258","1,070",267,128,280,201,248,164,267,205,428
2021년09월_여_60~69세,"4,378","1,085",409,166,449,248,364,293,367,330,667
2021년09월_여_70~79세,"3,716",680,394,153,383,175,388,286,359,288,610
2021년09월_여_80~89세,"3,423",536,356,148,353,116,372,335,368,315,524
2021년09월_여_90~99세,756,117,74,36,83,31,74,66,98,82,95
2021년09월_여_100세 이상,14,2,1,0,1,0,5,2,1,1,1
