카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년05월_계_총인구수,"24,657","8,430","2,735","2,900","4,228","6,364"
2020년05월_계_연령구간인구수,"24,657","8,430","2,735","2,900","4,228","6,364"
2020년05월_계_0~9세,"1,854",751,59,134,313,597
2020년05월_계_10~19세,"1,820",751,159,282,168,460
2020년05월_계_20~29세,"3,819","1,208",276,277,"1,070",988
2020년05월_계_30~39세,"2,852","1,037",146,258,533,878
2020년05월_계_40~49세,"2,761","1,162",222,379,331,667
2020년05월_계_50~59세,"3,992","1,345",607,552,537,951
2020년05월_계_60~69세,"3,579","1,001",577,475,590,936
2020년05월_계_70~79세,"2,464",752,420,324,410,558
2020년05월_계_80~89세,"1,297",369,226,188,235,279
2020년05월_계_90~99세,204,51,42,26,39,46
2020년05월_계_100세 이상,15,3,1,5,2,4
2020년05월_남_총인구수,"13,336","4,386","1,472","1,510","2,556","3,412"
2020년05월_남_연령구간인구수,"13,336","4,386","1,472","1,510","2,556","3,412"
2020년05월_남_0~9세,923,374,31,74,146,298
2020년05월_남_10~19세,930,390,81,145,95,219
2020년05월_남_20~29세,"2,656",737,211,153,870,685
2020년05월_남_30~39세,"1,647",577,83,128,360,499
2020년05월_남_40~49세,"1,509",606,111,219,198,375
2020년05월_남_50~59세,"2,166",732,344,312,289,489
2020년05월_남_60~69세,"1,900",521,324,254,327,474
2020년05월_남_70~79세,"1,082",307,194,155,172,254
2020년05월_남_80~89세,463,129,83,60,89,102
2020년05월_남_90~99세,53,12,9,8,9,15
2020년05월_남_100세 이상,7,1,1,2,1,2
2020년05월_여_총인구수,"11,321","4,044","1,263","1,390","1,672","2,952"
2020년05월_여_연령구간인구수,"11,321","4,044","1,263","1,390","1,672","2,952"
2020년05월_여_0~9세,931,377,28,60,167,299
2020년05월_여_10~19세,890,361,78,137,73,241
2020년05월_여_20~29세,"1,163",471,65,124,200,303
2020년05월_여_30~39세,"1,205",460,63,130,173,379
2020년05월_여_40~49세,"1,252",556,111,160,133,292
2020년05월_여_50~59세,"1,826",613,263,240,248,462
2020년05월_여_60~69세,"1,679",480,253,221,263,462
2020년05월_여_70~79세,"1,382",445,226,169,238,304
2020년05월_여_80~89세,834,240,143,128,146,177
2020년05월_여_90~99세,151,39,33,18,30,31
2020년05월_여_100세 이상,8,2,0,3,1,2
