카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년01월_계_총인구수,"1,036,203","261,845","20,005","43,429","7,210","50,978","37,794","42,245","30,277","29,907","214,067","41,830","22,937","28,095","45,591","41,135","26,563","7,916","176,636","4,298","12,293","3,531","3,997","14,217",976,"36,355","11,235","14,811","9,245","10,818","15,720","19,660","6,897","12,583","190,739","64,576","10,455","10,061","17,135","6,271","11,224","31,724","9,446","7,750","9,082","9,650","3,365","192,916","17,293","8,702","5,025","11,360","7,524","17,458","8,588","21,458","10,248","26,013","12,838","6,454","39,955"
2021년01월_계_연령구간인구수,"1,036,203","261,845","20,005","43,429","7,210","50,978","37,794","42,245","30,277","29,907","214,067","41,830","22,937","28,095","45,591","41,135","26,563","7,916","176,636","4,298","12,293","3,531","3,997","14,217",976,"36,355","11,235","14,811","9,245","10,818","15,720","19,660","6,897","12,583","190,739","64,576","10,455","10,061","17,135","6,271","11,224","31,724","9,446","7,750","9,082","9,650","3,365","192,916","17,293","8,702","5,025","11,360","7,524","17,458","8,588","21,458","10,248","26,013","12,838","6,454","39,955"
2021년01월_계_0~9세,"82,996","21,319","1,155","6,510",247,"4,378","3,078","2,357","1,478","2,116","16,412","3,260","1,213","2,079","3,487","3,698","2,191",484,"12,761",119,"1,122",69,58,"2,186",48,"3,538",504,889,422,487,"1,192","1,065",327,735,"13,278","5,111",407,646,"1,122",154,574,"3,209",665,287,432,516,155,"19,226","1,533",351,176,"1,056",548,"1,497",374,"2,416","1,074","3,482","1,839",530,"4,350"
2021년01월_계_10~19세,"99,440","23,531","1,881","3,718",399,"4,688","3,863","4,008","2,233","2,741","22,949","5,313","1,435","3,416","4,843","4,066","3,113",763,"13,829",163,"1,022",153,141,"1,214",35,"3,545",721,"1,383",735,897,"1,280","1,162",416,962,"18,135","8,070",614,794,"1,257",336,840,"3,458",606,471,663,809,217,"20,996","1,846",669,289,"1,013",750,"2,426",534,"2,226","1,216","3,246",960,692,"5,129"
2021년01월_계_20~29세,"129,657","35,688","2,286","3,929",649,"7,060","5,680","6,602","4,836","4,646","32,206","5,640","4,523","4,167","6,575","6,155","4,141","1,005","18,989",302,"1,084",279,234,"1,203",133,"4,537","1,703","1,590","1,137","1,198","1,556","1,983",622,"1,428","22,228","8,246",944,"1,144","1,843",595,"1,349","3,379","1,139",965,968,"1,315",341,"20,546","2,160",834,498,"1,153",780,"2,216","1,037","2,318","1,171","2,298","1,272",604,"4,205"
2021년01월_계_30~39세,"133,525","35,134","1,795","8,031",660,"7,146","5,403","4,306","3,773","4,020","29,235","4,570","4,262","3,483","6,367","6,225","3,355",973,"20,645",293,"1,476",201,187,"2,503",100,"4,955","1,129","1,525",843,981,"1,875","2,325",742,"1,510","21,671","6,624",960,"1,324","2,353",550,"1,305","4,075","1,279",815,889,"1,101",396,"26,840","2,215",715,381,"1,567",814,"2,160","1,025","3,254","1,334","3,971","2,474",723,"6,207"
2021년01월_계_40~49세,"167,596","40,969","3,195","7,242",804,"7,983","6,299","6,521","4,247","4,678","35,561","7,422","3,632","4,729","7,710","6,523","4,300","1,245","25,801",396,"1,934",322,310,"2,462",115,"5,702","1,381","2,252","1,229","1,454","2,377","3,000",997,"1,870","30,049","11,457","1,392","1,356","2,356",718,"1,579","5,632","1,332","1,091","1,202","1,403",531,"35,216","2,952","1,194",621,"1,760","1,273","3,405","1,278","3,760","1,735","5,036","2,096","1,108","8,998"
2021년01월_계_50~59세,"186,213","50,435","3,922","6,182","1,331","9,727","7,630","9,261","6,195","6,187","43,291","8,375","4,134","6,011","9,112","8,337","5,881","1,441","29,572",788,"2,040",721,737,"1,900",159,"6,050","1,901","2,490","1,743","1,973","2,492","3,277","1,174","2,127","34,446","12,450","1,766","1,609","2,941","1,186","1,946","5,313","1,655","1,412","1,794","1,725",649,"28,469","2,241","1,397",882,"1,817","1,163","2,736","1,534","3,418","1,409","3,453","1,747","1,073","5,599"
2021년01월_계_60~69세,"142,901","34,819","3,161","4,888","1,622","6,528","4,058","6,022","4,906","3,634","24,047","4,943","2,584","3,037","5,220","4,358","2,693","1,212","30,175","1,146","2,017",885,988,"1,698",219,"4,884","2,064","2,404","1,738","2,138","2,710","3,665","1,393","2,226","30,074","7,673","2,301","1,807","2,990","1,471","2,186","4,231","1,595","1,590","1,897","1,700",633,"23,786","2,122","1,582","1,034","1,718","1,188","1,936","1,658","2,575","1,298","2,895","1,412",967,"3,401"
2021년01월_계_70~79세,"63,664","13,397","1,669","1,847",919,"2,413","1,235","2,231","1,798","1,285","6,940","1,620",789,752,"1,503","1,164",580,532,"16,641",689,"1,043",528,742,739,113,"2,251","1,215","1,510",907,"1,180","1,553","2,131",796,"1,244","14,854","3,402","1,427",974,"1,690",842,"1,055","1,747",861,848,896,800,312,"11,832","1,430","1,235",732,866,654,747,793,"1,002",677,"1,088",650,477,"1,481"
