,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년11월_계_총인구수,"43,396","5,257","3,490","11,855","14,978","1,847","3,677","2,189",103,0,0,0,0
2021년11월_계_연령구간인구수,"43,396","5,257","3,490","11,855","14,978","1,847","3,677","2,189",103,0,0,0,0
2021년11월_계_0~9세,"3,169",409,348,774,"1,093",157,219,169,0,0,0,0,0
2021년11월_계_10~19세,"3,616",458,261,946,"1,409",79,326,134,3,0,0,0,0
2021년11월_계_20~29세,"5,270",593,469,"1,525","1,643",357,414,268,1,0,0,0,0
2021년11월_계_30~39세,"4,500",584,456,"1,215","1,456",231,311,245,2,0,0,0,0
2021년11월_계_40~49세,"5,499",631,401,"1,564","1,997",176,528,194,8,0,0,0,0
2021년11월_계_50~59세,"6,931",858,438,"1,984","2,468",217,618,331,17,0,0,0,0
2021년11월_계_60~69세,"7,159",816,525,"1,992","2,477",287,630,412,20,0,0,0,0
2021년11월_계_70~79세,"4,483",575,341,"1,179","1,508",205,372,274,29,0,0,0,0
2021년11월_계_80~89세,"2,396",294,219,582,799,118,220,142,22,0,0,0,0
2021년11월_계_90~99세,361,39,32,89,125,20,38,17,1,0,0,0,0
2021년11월_계_100세 이상,12,0,0,5,3,0,1,3,0,0,0,0,0
2021년11월_남_총인구수,"22,493","2,669","1,861","6,337","7,540","1,021","1,863","1,155",47,0,0,0,0
2021년11월_남_연령구간인구수,"22,493","2,669","1,861","6,337","7,540","1,021","1,863","1,155",47,0,0,0,0
2021년11월_남_0~9세,"1,560",192,183,381,520,77,118,89,0,0,0,0,0
2021년11월_남_10~19세,"1,886",252,138,515,702,50,160,67,2,0,0,0,0
2021년11월_남_20~29세,"3,411",348,311,"1,038",993,261,268,191,1,0,0,0,0
2021년11월_남_30~39세,"2,499",316,257,699,789,140,160,137,1,0,0,0,0
2021년11월_남_40~49세,"2,919",335,228,823,"1,019",103,293,113,5,0,0,0,0
2021년11월_남_50~59세,"3,702",467,237,"1,057","1,319",117,329,165,11,0,0,0,0
2021년11월_남_60~69세,"3,557",401,275,"1,031","1,197",139,295,213,6,0,0,0,0
2021년11월_남_70~79세,"2,001",249,141,531,694,92,157,127,10,0,0,0,0
2021년11월_남_80~89세,870,99,84,240,273,37,77,49,11,0,0,0,0
2021년11월_남_90~99세,86,10,7,20,34,5,6,4,0,0,0,0,0
2021년11월_남_100세 이상,2,0,0,2,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"20,903","2,588","1,629","5,518","7,438",826,"1,814","1,034",56,0,0,0,0
2021년11월_여_연령구간인구수,"20,903","2,588","1,629","5,518","7,438",826,"1,814","1,034",56,0,0,0,0
2021년11월_여_0~9세,"1,609",217,165,393,573,80,101,80,0,0,0,0,0
2021년11월_여_10~19세,"1,730",206,123,431,707,29,166,67,1,0,0,0,0
2021년11월_여_20~29세,"1,859",245,158,487,650,96,146,77,0,0,0,0,0
2021년11월_여_30~39세,"2,001",268,199,516,667,91,151,108,1,0,0,0,0
2021년11월_여_40~49세,"2,580",296,173,741,978,73,235,81,3,0,0,0,0
2021년11월_여_50~59세,"3,229",391,201,927,"1,149",100,289,166,6,0,0,0,0
2021년11월_여_60~69세,"3,602",415,250,961,"1,280",148,335,199,14,0,0,0,0
2021년11월_여_70~79세,"2,482",326,200,648,814,113,215,147,19,0,0,0,0
2021년11월_여_80~89세,"1,526",195,135,342,526,81,143,93,11,0,0,0,0
2021년11월_여_90~99세,275,29,25,69,91,15,32,13,1,0,0,0,0
2021년11월_여_100세 이상,10,0,0,3,3,0,1,3,0,0,0,0,0
