,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년06월_계_총인구수,"82,254","4,391","3,653","5,984","9,600","21,652","29,148","4,722","3,104"
2021년06월_계_연령구간인구수,"82,254","4,391","3,653","5,984","9,600","21,652","29,148","4,722","3,104"
2021년06월_계_0~9세,"5,753",168,240,220,524,"1,376","2,869",273,83
2021년06월_계_10~19세,"7,259",228,255,435,822,"2,195","2,951",257,116
2021년06월_계_20~29세,"8,885",400,309,578,"1,123","2,418","3,406",404,247
2021년06월_계_30~39세,"9,083",391,339,441,975,"2,231","3,952",532,222
2021년06월_계_40~49세,"12,253",491,495,722,"1,340","3,387","4,929",572,317
2021년06월_계_50~59세,"14,926",861,697,"1,154","1,715","4,063","4,909",897,630
2021년06월_계_60~69세,"13,391","1,030",687,"1,278","1,754","3,391","3,547",939,765
2021년06월_계_70~79세,"6,783",532,412,699,855,"1,628","1,699",497,461
2021년06월_계_80~89세,"3,301",250,187,374,419,811,759,282,219
2021년06월_계_90~99세,599,37,32,81,70,150,122,65,42
2021년06월_계_100세 이상,21,3,0,2,3,2,5,4,2
2021년06월_남_총인구수,"40,772","2,271","1,848","2,929","4,704","10,790","14,243","2,380","1,607"
2021년06월_남_연령구간인구수,"40,772","2,271","1,848","2,929","4,704","10,790","14,243","2,380","1,607"
2021년06월_남_0~9세,"2,936",85,133,117,264,696,"1,451",147,43
2021년06월_남_10~19세,"3,766",129,134,222,440,"1,112","1,524",127,78
2021년06월_남_20~29세,"4,985",241,175,339,619,"1,374","1,865",233,139
2021년06월_남_30~39세,"4,883",225,183,258,540,"1,209","2,030",296,142
2021년06월_남_40~49세,"6,153",283,265,377,679,"1,657","2,398",309,185
2021년06월_남_50~59세,"7,376",455,353,557,818,"2,031","2,340",488,334
2021년06월_남_60~69세,"6,466",505,339,608,834,"1,700","1,630",475,375
2021년06월_남_70~79세,"2,943",248,197,303,351,728,712,197,207
2021년06월_남_80~89세,"1,146",94,62,137,145,258,264,91,95
2021년06월_남_90~99세,111,5,7,10,14,25,27,15,8
2021년06월_남_100세 이상,7,1,0,1,0,0,2,2,1
2021년06월_여_총인구수,"41,482","2,120","1,805","3,055","4,896","10,862","14,905","2,342","1,497"
2021년06월_여_연령구간인구수,"41,482","2,120","1,805","3,055","4,896","10,862","14,905","2,342","1,497"
2021년06월_여_0~9세,"2,817",83,107,103,260,680,"1,418",126,40
2021년06월_여_10~19세,"3,493",99,121,213,382,"1,083","1,427",130,38
2021년06월_여_20~29세,"3,900",159,134,239,504,"1,044","1,541",171,108
2021년06월_여_30~39세,"4,200",166,156,183,435,"1,022","1,922",236,80
2021년06월_여_40~49세,"6,100",208,230,345,661,"1,730","2,531",263,132
2021년06월_여_50~59세,"7,550",406,344,597,897,"2,032","2,569",409,296
2021년06월_여_60~69세,"6,925",525,348,670,920,"1,691","1,917",464,390
2021년06월_여_70~79세,"3,840",284,215,396,504,900,987,300,254
2021년06월_여_80~89세,"2,155",156,125,237,274,553,495,191,124
2021년06월_여_90~99세,488,32,25,71,56,125,95,50,34
2021년06월_여_100세 이상,14,2,0,1,3,2,3,2,1
