,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2020년09월_계_총인구수,"65,613","20,458","11,995","3,792","2,370","1,553","2,398","2,894","1,443","1,870","1,150","1,718","2,924","2,763","3,185","2,952","2,148"
2020년09월_계_연령구간인구수,"65,613","20,458","11,995","3,792","2,370","1,553","2,398","2,894","1,443","1,870","1,150","1,718","2,924","2,763","3,185","2,952","2,148"
2020년09월_계_0~9세,"2,993","1,079",969,106,51,50,61,89,26,47,22,29,106,77,107,113,61
2020년09월_계_10~19세,"4,748","1,957","1,165",210,123,57,139,168,59,79,33,50,145,122,131,226,84
2020년09월_계_20~29세,"5,424","2,209","1,319",225,115,57,144,196,73,105,53,72,160,158,182,228,128
2020년09월_계_30~39세,"4,471","1,621","1,226",197,99,83,120,139,48,80,56,71,133,140,180,153,125
2020년09월_계_40~49세,"7,292","2,729","1,720",354,205,108,223,251,109,140,62,111,269,231,271,328,181
2020년09월_계_50~59세,"10,988","3,706","1,924",641,389,262,395,458,211,263,181,236,413,428,565,562,354
2020년09월_계_60~69세,"12,862","3,526","1,710",930,573,368,467,627,363,416,298,429,646,601,741,620,547
2020년09월_계_70~79세,"9,496","2,243","1,114",605,484,317,462,568,291,397,231,366,593,517,573,385,350
2020년09월_계_80~89세,"6,294","1,174",735,453,280,219,332,339,218,297,192,294,384,422,386,297,272
2020년09월_계_90~99세,990,198,107,60,47,32,52,53,44,44,22,59,74,66,48,39,45
2020년09월_계_100세 이상,55,16,6,11,4,0,3,6,1,2,0,1,1,1,1,1,1
2020년09월_남_총인구수,"32,485","10,153","5,915","1,907","1,164",776,"1,167","1,403",679,903,576,810,"1,435","1,372","1,614","1,532","1,079"
2020년09월_남_연령구간인구수,"32,485","10,153","5,915","1,907","1,164",776,"1,167","1,403",679,903,576,810,"1,435","1,372","1,614","1,532","1,079"
2020년09월_남_0~9세,"1,599",584,514,55,26,27,36,48,15,28,12,15,47,43,50,62,37
2020년09월_남_10~19세,"2,509","1,028",598,100,82,34,68,92,27,42,23,28,79,72,76,118,42
2020년09월_남_20~29세,"3,143","1,311",694,149,74,37,84,111,46,64,33,41,96,84,105,135,79
2020년09월_남_30~39세,"2,423",834,602,121,58,54,73,81,32,51,34,43,79,82,106,96,77
2020년09월_남_40~49세,"3,979","1,385",901,206,123,62,136,135,59,86,41,58,159,158,170,187,113
2020년09월_남_50~59세,"5,726","1,878","1,010",343,199,128,193,248,105,139,99,123,232,217,298,324,190
2020년09월_남_60~69세,"6,397","1,675",844,468,270,203,240,297,183,210,140,215,329,326,380,324,293
2020년09월_남_70~79세,"4,241","1,014",474,288,219,148,208,246,125,163,116,167,257,225,267,178,146
2020년09월_남_80~89세,"2,219",400,251,157,105,72,117,130,75,108,75,108,142,146,146,97,90
2020년09월_남_90~99세,242,42,26,18,8,11,12,14,12,11,3,12,15,19,16,11,12
2020년09월_남_100세 이상,7,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2020년09월_여_총인구수,"33,128","10,305","6,080","1,885","1,206",777,"1,231","1,491",764,967,574,908,"1,489","1,391","1,571","1,420","1,069"
2020년09월_여_연령구간인구수,"33,128","10,305","6,080","1,885","1,206",777,"1,231","1,491",764,967,574,908,"1,489","1,391","1,571","1,420","1,069"
2020년09월_여_0~9세,"1,394",495,455,51,25,23,25,41,11,19,10,14,59,34,57,51,24
2020년09월_여_10~19세,"2,239",929,567,110,41,23,71,76,32,37,10,22,66,50,55,108,42
2020년09월_여_20~29세,"2,281",898,625,76,41,20,60,85,27,41,20,31,64,74,77,93,49
2020년09월_여_30~39세,"2,048",787,624,76,41,29,47,58,16,29,22,28,54,58,74,57,48
2020년09월_여_40~49세,"3,313","1,344",819,148,82,46,87,116,50,54,21,53,110,73,101,141,68
2020년09월_여_50~59세,"5,262","1,828",914,298,190,134,202,210,106,124,82,113,181,211,267,238,164
2020년09월_여_60~69세,"6,465","1,851",866,462,303,165,227,330,180,206,158,214,317,275,361,296,254
2020년09월_여_70~79세,"5,255","1,229",640,317,265,169,254,322,166,234,115,199,336,292,306,207,204
2020년09월_여_80~89세,"4,075",774,484,296,175,147,215,209,143,189,117,186,242,276,240,200,182
2020년09월_여_90~99세,748,156,81,42,39,21,40,39,32,33,19,47,59,47,32,28,33
2020년09월_여_100세 이상,48,14,5,9,4,0,3,5,1,1,0,1,1,1,1,1,1
