카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년11월_계_총인구수,"23,299","8,218","2,326","3,761","2,035","2,015","2,399","1,190","1,355"
2020년11월_계_연령구간인구수,"23,299","8,218","2,326","3,761","2,035","2,015","2,399","1,190","1,355"
2020년11월_계_0~9세,686,425,41,87,38,20,42,15,18
2020년11월_계_10~19세,978,591,52,129,51,42,66,25,22
2020년11월_계_20~29세,"1,515",714,114,260,137,108,94,31,57
2020년11월_계_30~39세,"1,331",644,108,186,96,83,107,49,58
2020년11월_계_40~49세,"2,173","1,106",146,297,144,143,173,77,87
2020년11월_계_50~59세,"4,325","1,509",455,708,410,362,413,209,259
2020년11월_계_60~69세,"5,320","1,471",552,975,516,504,599,314,389
2020년11월_계_70~79세,"4,031","1,059",451,678,362,415,515,262,289
2020년11월_계_80~89세,"2,600",618,361,398,243,302,347,182,149
2020년11월_계_90~99세,324,74,43,42,38,33,41,26,27
2020년11월_계_100세 이상,16,7,3,1,0,3,2,0,0
2020년11월_남_총인구수,"11,913","4,262","1,188","1,931","1,042","1,012","1,160",603,715
2020년11월_남_연령구간인구수,"11,913","4,262","1,188","1,931","1,042","1,012","1,160",603,715
2020년11월_남_0~9세,371,235,20,49,23,8,15,9,12
2020년11월_남_10~19세,535,330,31,59,33,20,34,13,15
2020년11월_남_20~29세,918,428,65,159,89,65,55,23,34
2020년11월_남_30~39세,762,355,58,101,60,53,62,34,39
2020년11월_남_40~49세,"1,279",594,94,188,85,100,113,51,54
2020년11월_남_50~59세,"2,455",837,263,404,236,202,232,133,148
2020년11월_남_60~69세,"2,789",757,300,527,261,265,290,163,226
2020년11월_남_70~79세,"1,853",496,211,312,164,191,230,113,136
2020년11월_남_80~89세,886,212,136,125,82,100,122,59,50
2020년11월_남_90~99세,64,17,10,7,9,8,7,5,1
2020년11월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년11월_여_총인구수,"11,386","3,956","1,138","1,830",993,"1,003","1,239",587,640
2020년11월_여_연령구간인구수,"11,386","3,956","1,138","1,830",993,"1,003","1,239",587,640
2020년11월_여_0~9세,315,190,21,38,15,12,27,6,6
2020년11월_여_10~19세,443,261,21,70,18,22,32,12,7
2020년11월_여_20~29세,597,286,49,101,48,43,39,8,23
2020년11월_여_30~39세,569,289,50,85,36,30,45,15,19
2020년11월_여_40~49세,894,512,52,109,59,43,60,26,33
2020년11월_여_50~59세,"1,870",672,192,304,174,160,181,76,111
2020년11월_여_60~69세,"2,531",714,252,448,255,239,309,151,163
2020년11월_여_70~79세,"2,178",563,240,366,198,224,285,149,153
2020년11월_여_80~89세,"1,714",406,225,273,161,202,225,123,99
2020년11월_여_90~99세,260,57,33,35,29,25,34,21,26
2020년11월_여_100세 이상,15,6,3,1,0,3,2,0,0
