카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년05월_계_총인구수,"24,397","8,330","2,700","2,854","4,148","6,365"
2021년05월_계_연령구간인구수,"24,397","8,330","2,700","2,854","4,148","6,365"
2021년05월_계_0~9세,"1,755",691,52,136,270,606
2021년05월_계_10~19세,"1,731",733,147,258,159,434
2021년05월_계_20~29세,"3,716","1,157",259,257,"1,092",951
2021년05월_계_30~39세,"2,804",994,130,246,507,927
2021년05월_계_40~49세,"2,632","1,119",212,362,310,629
2021년05월_계_50~59세,"3,820","1,292",584,524,502,918
2021년05월_계_60~69세,"3,981","1,137",648,531,640,"1,025"
2021년05월_계_70~79세,"2,302",721,388,303,366,524
2021년05월_계_80~89세,"1,423",431,229,204,258,301
2021년05월_계_90~99세,223,52,50,30,43,48
2021년05월_계_100세 이상,10,3,1,3,1,2
2021년05월_남_총인구수,"13,252","4,350","1,437","1,500","2,513","3,452"
2021년05월_남_연령구간인구수,"13,252","4,350","1,437","1,500","2,513","3,452"
2021년05월_남_0~9세,892,357,27,73,123,312
2021년05월_남_10~19세,868,370,70,134,80,214
2021년05월_남_20~29세,"2,590",708,189,140,893,660
2021년05월_남_30~39세,"1,655",559,78,131,346,541
2021년05월_남_40~49세,"1,452",595,108,207,193,349
2021년05월_남_50~59세,"2,070",697,333,297,272,471
2021년05월_남_60~69세,"2,145",609,357,290,349,540
2021년05월_남_70~79세,"1,028",300,181,148,158,241
2021년05월_남_80~89세,495,142,79,72,91,111
2021년05월_남_90~99세,53,13,14,6,8,12
2021년05월_남_100세 이상,4,0,1,2,0,1
2021년05월_여_총인구수,"11,145","3,980","1,263","1,354","1,635","2,913"
2021년05월_여_연령구간인구수,"11,145","3,980","1,263","1,354","1,635","2,913"
2021년05월_여_0~9세,863,334,25,63,147,294
2021년05월_여_10~19세,863,363,77,124,79,220
2021년05월_여_20~29세,"1,126",449,70,117,199,291
2021년05월_여_30~39세,"1,149",435,52,115,161,386
2021년05월_여_40~49세,"1,180",524,104,155,117,280
2021년05월_여_50~59세,"1,750",595,251,227,230,447
2021년05월_여_60~69세,"1,836",528,291,241,291,485
2021년05월_여_70~79세,"1,274",421,207,155,208,283
2021년05월_여_80~89세,928,289,150,132,167,190
2021년05월_여_90~99세,170,39,36,24,35,36
2021년05월_여_100세 이상,6,3,0,1,1,1
