카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년12월_계_총인구수,"276,762","2,607","8,573","1,918","21,526","6,161","6,373","2,738","1,331",788,"2,031","4,579","3,071","4,243","3,890","5,927","3,634","5,237","11,140","6,732","18,292","20,904","11,522","10,079","10,497","31,956","38,337","21,111","8,125","2,290","1,150"
2021년12월_계_연령구간인구수,"276,762","2,607","8,573","1,918","21,526","6,161","6,373","2,738","1,331",788,"2,031","4,579","3,071","4,243","3,890","5,927","3,634","5,237","11,140","6,732","18,292","20,904","11,522","10,079","10,497","31,956","38,337","21,111","8,125","2,290","1,150"
2021년12월_계_0~9세,"19,546",47,519,35,"2,152",233,130,55,11,15,53,216,100,131,91,179,135,158,609,408,"1,086","1,729",572,660,"1,021","2,523","4,620","1,084",910,48,16
2021년12월_계_10~19세,"25,624",82,672,64,"2,190",298,259,119,32,40,85,282,182,255,204,282,212,250,879,599,"1,759","2,179","1,031","1,156",944,"3,700","4,649","1,901","1,143",118,58
2021년12월_계_20~29세,"32,673",168,730,148,"2,311",446,544,113,56,43,131,444,348,401,342,624,394,424,"1,148",663,"2,398","2,571","1,741","1,371","1,081","4,936","4,620","3,231",888,249,109
2021년12월_계_30~39세,"29,664",124,763,80,"2,661",406,340,121,59,24,135,441,300,304,270,500,280,410,"1,029",606,"1,866","2,436","1,115","1,066","1,335","3,807","5,700","2,211","1,052",165,58
2021년12월_계_40~49세,"40,592",205,"1,258",135,"3,370",704,567,212,86,64,203,544,323,524,431,724,411,600,"1,482",896,"2,613","3,419","1,658","1,564","1,564","5,167","6,730","3,152","1,633",240,113
2021년12월_계_50~59세,"48,140",446,"1,403",306,"3,754",985,"1,172",431,185,135,433,673,452,686,618,989,570,813,"1,938","1,119","3,283","3,413","2,239","1,935","1,509","5,996","6,398","4,467","1,107",458,227
2021년12월_계_60~69세,"42,319",607,"1,626",461,"2,781","1,290","1,436",649,325,165,501,925,570,937,836,"1,252",777,"1,194","2,140","1,366","3,117","2,898","1,748","1,448","1,604","3,602","3,629","3,024",717,468,226
2021년12월_계_70~79세,"25,130",558,"1,019",393,"1,417","1,036","1,124",621,309,174,304,741,555,736,766,976,572,955,"1,380",789,"1,433","1,534",956,635,991,"1,524","1,333","1,322",469,320,188
2021년12월_계_80~89세,"11,312",322,504,247,782,636,680,362,221,107,159,273,218,241,301,353,242,389,485,257,641,609,412,209,390,602,556,609,179,196,130
2021년12월_계_90~99세,"1,724",47,78,46,102,125,119,55,46,21,25,40,22,28,30,46,41,44,48,27,95,115,50,34,56,94,102,108,27,28,25
2021년12월_계_100세 이상,38,1,1,3,6,2,2,0,1,0,2,0,1,0,1,2,0,0,2,2,1,1,0,1,2,5,0,2,0,0,0
2021년12월_남_총인구수,"141,074","1,308","4,487",934,"11,006","3,203","3,278","1,390",663,395,"1,143","2,308","1,525","2,126","1,998","3,066","1,788","2,651","5,606","3,355","9,042","10,516","6,160","5,070","5,283","16,366","19,226","11,158","4,160","1,260",603
2021년12월_남_연령구간인구수,"141,074","1,308","4,487",934,"11,006","3,203","3,278","1,390",663,395,"1,143","2,308","1,525","2,126","1,998","3,066","1,788","2,651","5,606","3,355","9,042","10,516","6,160","5,070","5,283","16,366","19,226","11,158","4,160","1,260",603
2021년12월_남_0~9세,"9,905",23,278,18,"1,138",122,71,26,4,8,23,99,44,69,56,106,60,71,302,201,529,900,297,326,506,"1,257","2,339",541,459,25,7
2021년12월_남_10~19세,"13,234",39,346,32,"1,124",164,140,62,16,21,49,141,94,136,101,158,96,122,454,306,908,"1,100",546,606,495,"1,902","2,441",942,608,63,22
2021년12월_남_20~29세,"18,576",94,431,87,"1,311",266,330,67,28,24,80,261,171,237,196,359,223,240,658,358,"1,369","1,421","1,031",747,594,"2,860","2,483","1,932",477,173,68
