,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년12월_계_총인구수,"143,175","12,062","9,158","12,582","16,654","11,333","10,227","10,794","11,062","6,303","9,581","15,672","9,124","8,623"
2021년12월_계_연령구간인구수,"143,175","12,062","9,158","12,582","16,654","11,333","10,227","10,794","11,062","6,303","9,581","15,672","9,124","8,623"
2021년12월_계_0~9세,"6,329",702,326,935,813,443,349,329,433,207,486,703,308,295
2021년12월_계_10~19세,"8,943","1,016",495,"1,023","1,270",722,550,561,607,341,618,868,448,424
2021년12월_계_20~29세,"19,735","1,211","1,105","1,215","2,001","1,709","1,961","1,516","1,574","1,303","1,478","2,337","1,279","1,046"
2021년12월_계_30~39세,"16,713","1,163","1,101","1,543","1,787","1,336","1,256","1,134","1,225",743,"1,228","2,092","1,122",983
2021년12월_계_40~49세,"19,414","1,901","1,307","1,789","2,378","1,509","1,259","1,418","1,298",744,"1,386","2,254","1,145","1,026"
2021년12월_계_50~59세,"24,204","1,985","1,608","2,043","2,875","2,011","1,595","1,881","1,998","1,000","1,546","2,623","1,530","1,509"
2021년12월_계_60~69세,"24,316","1,790","1,585","2,033","2,853","1,942","1,588","2,022","2,112","1,002","1,482","2,487","1,676","1,744"
2021년12월_계_70~79세,"14,893","1,380",977,"1,205","1,631","1,107","1,069","1,281","1,206",625,854,"1,504","1,017","1,037"
2021년12월_계_80~89세,"7,636",788,587,702,925,488,547,582,535,299,443,699,537,504
2021년12월_계_90~99세,974,126,66,91,118,65,53,70,72,39,57,103,60,54
2021년12월_계_100세 이상,18,0,1,3,3,1,0,0,2,0,3,2,2,1
2021년12월_남_총인구수,"68,799","5,684","4,410","5,987","7,940","5,538","4,847","5,333","5,377","2,982","4,597","7,675","4,317","4,112"
2021년12월_남_연령구간인구수,"68,799","5,684","4,410","5,987","7,940","5,538","4,847","5,333","5,377","2,982","4,597","7,675","4,317","4,112"
2021년12월_남_0~9세,"3,256",388,167,479,425,234,166,176,209,124,224,372,150,142
2021년12월_남_10~19세,"4,733",558,268,482,672,394,277,311,327,188,323,466,243,224
2021년12월_남_20~29세,"9,807",627,527,646,"1,007",856,904,759,826,562,728,"1,179",625,561
2021년12월_남_30~39세,"8,888",575,598,794,924,718,682,647,690,383,634,"1,098",593,552
2021년12월_남_40~49세,"9,792",927,673,856,"1,121",777,649,779,674,395,670,"1,166",581,524
2021년12월_남_50~59세,"11,879",978,807,954,"1,440",967,785,987,975,488,777,"1,289",725,707
2021년12월_남_60~69세,"11,138",779,748,951,"1,263",901,747,931,969,456,706,"1,160",756,771
2021년12월_남_70~79세,"6,321",543,401,534,699,491,440,526,527,274,370,651,433,432
2021년12월_남_80~89세,"2,777",282,208,265,359,186,187,207,170,104,156,270,198,185
2021년12월_남_90~99세,208,27,13,26,30,14,10,10,10,8,9,24,13,14
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"74,376","6,378","4,748","6,595","8,714","5,795","5,380","5,461","5,685","3,321","4,984","7,997","4,807","4,511"
2021년12월_여_연령구간인구수,"74,376","6,378","4,748","6,595","8,714","5,795","5,380","5,461","5,685","3,321","4,984","7,997","4,807","4,511"
2021년12월_여_0~9세,"3,073",314,159,456,388,209,183,153,224,83,262,331,158,153
2021년12월_여_10~19세,"4,210",458,227,541,598,328,273,250,280,153,295,402,205,200
2021년12월_여_20~29세,"9,928",584,578,569,994,853,"1,057",757,748,741,750,"1,158",654,485
2021년12월_여_30~39세,"7,825",588,503,749,863,618,574,487,535,360,594,994,529,431
2021년12월_여_40~49세,"9,622",974,634,933,"1,257",732,610,639,624,349,716,"1,088",564,502
2021년12월_여_50~59세,"12,325","1,007",801,"1,089","1,435","1,044",810,894,"1,023",512,769,"1,334",805,802
2021년12월_여_60~69세,"13,178","1,011",837,"1,082","1,590","1,041",841,"1,091","1,143",546,776,"1,327",920,973
2021년12월_여_70~79세,"8,572",837,576,671,932,616,629,755,679,351,484,853,584,605
2021년12월_여_80~89세,"4,859",506,379,437,566,302,360,375,365,195,287,429,339,319
2021년12월_여_90~99세,766,99,53,65,88,51,43,60,62,31,48,79,47,40
2021년12월_여_100세 이상,18,0,1,3,3,1,0,0,2,0,3,2,2,1
