,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년09월_계_총인구수,"82,914","2,722","2,519","2,543","3,656","3,872","1,361","2,570","1,786","1,841","2,693","5,003","2,254","1,907","4,647","1,380","11,291","12,672","11,577","6,620"
2020년09월_계_연령구간인구수,"82,914","2,722","2,519","2,543","3,656","3,872","1,361","2,570","1,786","1,841","2,693","5,003","2,254","1,907","4,647","1,380","11,291","12,672","11,577","6,620"
2020년09월_계_0~9세,"4,430",103,65,68,100,127,46,70,55,50,45,192,64,41,151,46,783,926,"1,040",458
2020년09월_계_10~19세,"6,252",131,110,113,159,218,62,134,79,81,109,312,99,72,199,64,"1,036","1,347","1,418",509
2020년09월_계_20~29세,"7,282",166,119,158,278,271,97,186,92,108,132,420,130,138,336,91,"1,315","1,364","1,299",582
2020년09월_계_30~39세,"6,762",177,136,170,231,277,91,174,104,112,155,334,135,101,288,83,"1,138","1,211","1,202",643
2020년09월_계_40~49세,"10,104",266,222,253,345,409,112,218,190,187,243,576,187,183,443,149,"1,593","1,852","1,906",770
2020년09월_계_50~59세,"13,901",453,373,446,612,682,202,464,261,280,408,936,346,352,870,215,"1,889","2,149","1,861","1,102"
2020년09월_계_60~69세,"14,402",639,583,543,791,770,286,555,384,395,578,981,477,394,951,268,"1,688","1,689","1,371","1,059"
2020년09월_계_70~79세,"11,362",420,497,471,640,641,251,407,336,356,573,766,435,346,805,277,"1,110","1,273",887,871
2020년09월_계_80~89세,"7,160",314,357,273,407,407,187,313,239,225,380,425,339,248,503,160,620,753,494,516
2020년09월_계_90~99세,"1,184",52,52,41,88,69,25,47,44,44,69,59,41,31,89,27,109,107,98,92
2020년09월_계_100세 이상,75,1,5,7,5,1,2,2,2,3,1,2,1,1,12,0,10,1,1,18
2020년09월_남_총인구수,"41,046","1,375","1,248","1,327","1,833","1,917",650,"1,303",889,927,"1,293","2,554","1,103",971,"2,321",711,"5,536","6,182","5,609","3,297"
2020년09월_남_연령구간인구수,"41,046","1,375","1,248","1,327","1,833","1,917",650,"1,303",889,927,"1,293","2,554","1,103",971,"2,321",711,"5,536","6,182","5,609","3,297"
2020년09월_남_0~9세,"2,293",63,38,36,46,67,25,37,34,22,20,99,37,21,74,24,402,483,524,241
2020년09월_남_10~19세,"3,218",76,66,64,84,101,37,66,41,47,54,169,50,43,110,29,502,702,714,263
2020년09월_남_20~29세,"4,033",99,75,89,151,142,56,110,59,64,78,231,77,78,188,59,708,742,699,328
2020년09월_남_30~39세,"3,602",109,79,111,132,156,52,99,57,66,95,189,80,62,172,49,572,617,586,319
2020년09월_남_40~49세,"5,670",157,140,164,230,255,75,136,121,121,163,347,133,128,275,106,826,929,939,425
2020년09월_남_50~59세,"7,561",244,219,276,330,377,112,268,146,160,232,525,197,195,487,126,975,"1,099",983,610
2020년09월_남_60~69세,"7,200",339,294,277,422,388,132,293,186,212,294,501,231,211,488,137,798,805,657,535
2020년09월_남_70~79세,"4,938",188,225,216,290,289,99,187,149,156,225,338,177,155,343,115,508,532,359,387
2020년09월_남_80~89세,"2,253",88,104,86,120,120,56,92,84,69,124,136,115,71,157,57,217,248,136,173
2020년09월_남_90~99세,264,12,6,7,26,22,6,15,11,10,7,19,6,7,27,9,23,25,12,14
2020년09월_남_100세 이상,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020년09월_여_총인구수,"41,868","1,347","1,271","1,216","1,823","1,955",711,"1,267",897,914,"1,400","2,449","1,151",936,"2,326",669,"5,755","6,490","5,968","3,323"
2020년09월_여_연령구간인구수,"41,868","1,347","1,271","1,216","1,823","1,955",711,"1,267",897,914,"1,400","2,449","1,151",936,"2,326",669,"5,755","6,490","5,968","3,323"
2020년09월_여_0~9세,"2,137",40,27,32,54,60,21,33,21,28,25,93,27,20,77,22,381,443,516,217
2020년09월_여_10~19세,"3,034",55,44,49,75,117,25,68,38,34,55,143,49,29,89,35,534,645,704,246
2020년09월_여_20~29세,"3,249",67,44,69,127,129,41,76,33,44,54,189,53,60,148,32,607,622,600,254
2020년09월_여_30~39세,"3,160",68,57,59,99,121,39,75,47,46,60,145,55,39,116,34,566,594,616,324
2020년09월_여_40~49세,"4,434",109,82,89,115,154,37,82,69,66,80,229,54,55,168,43,767,923,967,345
2020년09월_여_50~59세,"6,340",209,154,170,282,305,90,196,115,120,176,411,149,157,383,89,914,"1,050",878,492
2020년09월_여_60~69세,"7,202",300,289,266,369,382,154,262,198,183,284,480,246,183,463,131,890,884,714,524
2020년09월_여_70~79세,"6,424",232,272,255,350,352,152,220,187,200,348,428,258,191,462,162,602,741,528,484
2020년09월_여_80~89세,"4,907",226,253,187,287,287,131,221,155,156,256,289,224,177,346,103,403,505,358,343
2020년09월_여_90~99세,920,40,46,34,62,47,19,32,33,34,62,40,35,24,62,18,86,82,86,78
2020년09월_여_100세 이상,61,1,3,6,3,1,2,2,1,3,0,2,1,1,12,0,5,1,1,16
