카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년05월_계_총인구수,"25,233","10,066",829,"1,094","1,375",866,"1,971","1,778","1,846","2,847","1,066","1,495"
2021년05월_계_연령구간인구수,"25,233","10,066",829,"1,094","1,375",866,"1,971","1,778","1,846","2,847","1,066","1,495"
2021년05월_계_0~9세,"1,221",659,16,42,48,34,82,66,58,130,52,34
2021년05월_계_10~19세,"1,637",832,23,83,83,40,89,81,80,204,62,60
2021년05월_계_20~29세,"1,901",934,34,64,68,47,144,127,141,196,60,86
2021년05월_계_30~39세,"1,581",809,23,46,54,61,99,95,86,191,75,42
2021년05월_계_40~49세,"2,640","1,294",64,91,114,65,187,175,139,291,96,124
2021년05월_계_50~59세,"4,458","1,681",176,198,249,159,364,288,337,549,187,270
2021년05월_계_60~69세,"5,039","1,663",235,232,307,210,423,398,369,623,242,337
2021년05월_계_70~79세,"3,806","1,249",151,183,245,138,312,315,363,397,146,307
2021년05월_계_80~89세,"2,547",827,91,130,178,107,227,203,235,222,125,202
2021년05월_계_90~99세,386,109,14,25,29,5,42,30,37,42,20,33
2021년05월_계_100세 이상,17,9,2,0,0,0,2,0,1,2,1,0
2021년05월_남_총인구수,"12,748","5,074",408,530,652,446,"1,023",898,925,"1,470",562,760
2021년05월_남_연령구간인구수,"12,748","5,074",408,530,652,446,"1,023",898,925,"1,470",562,760
2021년05월_남_0~9세,590,316,7,18,19,15,45,31,32,63,25,19
2021년05월_남_10~19세,870,430,12,42,45,17,50,46,43,111,41,33
2021년05월_남_20~29세,"1,087",525,18,40,36,31,83,70,72,121,41,50
2021년05월_남_30~39세,766,381,15,21,19,31,63,40,43,92,41,20
2021년05월_남_40~49세,"1,540",742,39,47,63,41,114,109,89,161,56,79
2021년05월_남_50~59세,"2,521",935,98,106,136,88,209,176,200,317,97,159
2021년05월_남_60~69세,"2,681",875,118,123,166,117,220,218,188,337,134,185
2021년05월_남_70~79세,"1,763",564,70,83,117,67,149,150,163,193,72,135
2021년05월_남_80~89세,836,276,27,44,43,37,84,53,85,66,50,71
2021년05월_남_90~99세,89,26,3,6,8,2,6,5,10,9,5,9
2021년05월_남_100세 이상,5,4,1,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"12,485","4,992",421,564,723,420,948,880,921,"1,377",504,735
2021년05월_여_연령구간인구수,"12,485","4,992",421,564,723,420,948,880,921,"1,377",504,735
2021년05월_여_0~9세,631,343,9,24,29,19,37,35,26,67,27,15
2021년05월_여_10~19세,767,402,11,41,38,23,39,35,37,93,21,27
2021년05월_여_20~29세,814,409,16,24,32,16,61,57,69,75,19,36
2021년05월_여_30~39세,815,428,8,25,35,30,36,55,43,99,34,22
2021년05월_여_40~49세,"1,100",552,25,44,51,24,73,66,50,130,40,45
2021년05월_여_50~59세,"1,937",746,78,92,113,71,155,112,137,232,90,111
2021년05월_여_60~69세,"2,358",788,117,109,141,93,203,180,181,286,108,152
2021년05월_여_70~79세,"2,043",685,81,100,128,71,163,165,200,204,74,172
2021년05월_여_80~89세,"1,711",551,64,86,135,70,143,150,150,156,75,131
2021년05월_여_90~99세,297,83,11,19,21,3,36,25,27,33,15,24
2021년05월_여_100세 이상,12,5,1,0,0,0,2,0,1,2,1,0
