,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년10월_계_총인구수,"82,538","4,559","3,812","6,241","9,674","21,178","29,414","4,515","3,145"
2020년10월_계_연령구간인구수,"82,538","4,559","3,812","6,241","9,674","21,178","29,414","4,515","3,145"
2020년10월_계_0~9세,"5,882",173,256,236,551,"1,356","2,998",243,69
2020년10월_계_10~19세,"7,511",259,272,458,886,"2,221","3,035",252,128
2020년10월_계_20~29세,"9,013",443,327,631,"1,082","2,387","3,513",382,248
2020년10월_계_30~39세,"9,219",411,371,466,984,"2,159","4,100",501,227
2020년10월_계_40~49세,"12,494",516,515,775,"1,398","3,408","5,002",544,336
2020년10월_계_50~59세,"15,205",932,739,"1,293","1,782","3,993","4,932",863,671
2020년10월_계_60~69세,"12,612","1,011",678,"1,211","1,662","3,118","3,331",867,734
2020년10월_계_70~79세,"6,784",532,431,722,851,"1,607","1,659",503,479
2020년10월_계_80~89세,"3,176",236,194,363,391,778,715,288,211
2020년10월_계_90~99세,610,43,27,82,83,147,122,67,39
2020년10월_계_100세 이상,32,3,2,4,4,4,7,5,3
2020년10월_남_총인구수,"40,887","2,371","1,922","3,048","4,759","10,519","14,384","2,272","1,612"
2020년10월_남_연령구간인구수,"40,887","2,371","1,922","3,048","4,759","10,519","14,384","2,272","1,612"
2020년10월_남_0~9세,"2,978",89,136,125,280,669,"1,519",129,31
2020년10월_남_10~19세,"3,885",145,143,232,472,"1,128","1,551",133,81
2020년10월_남_20~29세,"5,090",280,175,375,614,"1,357","1,929",218,142
2020년10월_남_30~39세,"4,953",235,200,273,549,"1,165","2,104",286,141
2020년10월_남_40~49세,"6,178",287,279,398,701,"1,648","2,393",291,181
2020년10월_남_50~59세,"7,518",491,385,612,850,"1,989","2,371",463,357
2020년10월_남_60~69세,"6,108",501,326,586,794,"1,560","1,539",441,361
2020년10월_남_70~79세,"2,960",247,211,305,353,713,702,206,223
2020년10월_남_80~89세,"1,080",88,61,129,126,257,245,87,87
2020년10월_남_90~99세,124,6,6,11,18,33,28,15,7
2020년10월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년10월_여_총인구수,"41,651","2,188","1,890","3,193","4,915","10,659","15,030","2,243","1,533"
2020년10월_여_연령구간인구수,"41,651","2,188","1,890","3,193","4,915","10,659","15,030","2,243","1,533"
2020년10월_여_0~9세,"2,904",84,120,111,271,687,"1,479",114,38
2020년10월_여_10~19세,"3,626",114,129,226,414,"1,093","1,484",119,47
2020년10월_여_20~29세,"3,923",163,152,256,468,"1,030","1,584",164,106
2020년10월_여_30~39세,"4,266",176,171,193,435,994,"1,996",215,86
2020년10월_여_40~49세,"6,316",229,236,377,697,"1,760","2,609",253,155
2020년10월_여_50~59세,"7,687",441,354,681,932,"2,004","2,561",400,314
2020년10월_여_60~69세,"6,504",510,352,625,868,"1,558","1,792",426,373
2020년10월_여_70~79세,"3,824",285,220,417,498,894,957,297,256
2020년10월_여_80~89세,"2,096",148,133,234,265,521,470,201,124
2020년10월_여_90~99세,486,37,21,71,65,114,94,52,32
2020년10월_여_100세 이상,19,1,2,2,2,4,4,2,2
