,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년08월_계_총인구수,"32,004","14,836","1,879","1,465","2,147","1,631","2,277","1,890",735,"1,738","1,652","1,754"
2021년08월_계_연령구간인구수,"32,004","14,836","1,879","1,465","2,147","1,631","2,277","1,890",735,"1,738","1,652","1,754"
2021년08월_계_0~9세,"1,378",974,31,81,47,16,60,40,20,44,34,31
2021년08월_계_10~19세,"2,046","1,309",79,69,93,51,120,91,26,64,66,78
2021년08월_계_20~29세,"2,291","1,359",119,110,78,79,152,106,24,83,85,96
2021년08월_계_30~39세,"2,047","1,244",80,140,78,66,155,74,16,54,73,67
2021년08월_계_40~49세,"3,192","1,910",146,157,143,101,183,153,52,109,102,136
2021년08월_계_50~59세,"5,638","2,645",384,233,364,246,367,301,122,321,318,337
2021년08월_계_60~69세,"7,245","2,699",511,296,574,444,552,547,240,470,434,478
2021년08월_계_70~79세,"4,494","1,545",331,202,419,323,379,298,136,309,279,273
2021년08월_계_80~89세,"3,161",992,164,155,311,268,281,234,85,239,217,215
2021년08월_계_90~99세,498,153,33,21,38,37,27,45,14,44,43,43
2021년08월_계_100세 이상,14,6,1,1,2,0,1,1,0,1,1,0
2021년08월_남_총인구수,"16,126","7,383",974,781,"1,034",802,"1,154",950,400,867,852,929
2021년08월_남_연령구간인구수,"16,126","7,383",974,781,"1,034",802,"1,154",950,400,867,852,929
2021년08월_남_0~9세,707,478,17,43,25,13,32,24,12,22,20,21
2021년08월_남_10~19세,"1,082",703,37,29,49,25,63,41,15,34,39,47
2021년08월_남_20~29세,"1,363",783,78,76,43,49,91,58,13,52,60,60
2021년08월_남_30~39세,"1,113",622,51,86,44,41,107,45,10,25,40,42
2021년08월_남_40~49세,"1,768",994,91,95,87,63,109,86,34,76,62,71
2021년08월_남_50~59세,"3,137","1,411",210,146,202,149,210,168,77,187,183,194
2021년08월_남_60~69세,"3,740","1,328",275,153,289,216,276,306,131,251,246,269
2021년08월_남_70~79세,"2,035",683,140,95,184,146,168,144,75,141,117,142
2021년08월_남_80~89세,"1,069",344,67,53,98,91,94,73,32,71,73,73
2021년08월_남_90~99세,112,37,8,5,13,9,4,5,1,8,12,10
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"15,878","7,453",905,684,"1,113",829,"1,123",940,335,871,800,825
2021년08월_여_연령구간인구수,"15,878","7,453",905,684,"1,113",829,"1,123",940,335,871,800,825
2021년08월_여_0~9세,671,496,14,38,22,3,28,16,8,22,14,10
2021년08월_여_10~19세,964,606,42,40,44,26,57,50,11,30,27,31
2021년08월_여_20~29세,928,576,41,34,35,30,61,48,11,31,25,36
2021년08월_여_30~39세,934,622,29,54,34,25,48,29,6,29,33,25
2021년08월_여_40~49세,"1,424",916,55,62,56,38,74,67,18,33,40,65
2021년08월_여_50~59세,"2,501","1,234",174,87,162,97,157,133,45,134,135,143
2021년08월_여_60~69세,"3,505","1,371",236,143,285,228,276,241,109,219,188,209
2021년08월_여_70~79세,"2,459",862,191,107,235,177,211,154,61,168,162,131
2021년08월_여_80~89세,"2,092",648,97,102,213,177,187,161,53,168,144,142
2021년08월_여_90~99세,386,116,25,16,25,28,23,40,13,36,31,33
2021년08월_여_100세 이상,14,6,1,1,2,0,1,1,0,1,1,0
