,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년09월_계_총인구수,"298,030","4,048","4,803","11,133","5,141","8,793","10,762","30,537","25,178","24,176","15,861","21,132","10,381","15,940","5,877","20,702","29,284","37,781","16,501"
2020년09월_계_연령구간인구수,"298,030","4,048","4,803","11,133","5,141","8,793","10,762","30,537","25,178","24,176","15,861","21,132","10,381","15,940","5,877","20,702","29,284","37,781","16,501"
2020년09월_계_0~9세,"22,200",104,408,605,171,591,900,"2,200","1,695","1,221",910,"2,443",585,"1,110",384,"1,325","2,710","3,181","1,657"
2020년09월_계_10~19세,"32,092",159,365,683,287,635,"1,322","3,176","2,529","1,766","1,121","2,379","1,055","1,645",417,"2,146","4,514","5,377","2,516"
2020년09월_계_20~29세,"45,402",428,518,"1,696",872,"1,147","1,650","5,436","4,741","4,342","3,025","2,520","1,597","2,204",730,"3,081","4,054","5,465","1,896"
2020년09월_계_30~39세,"37,350",360,646,"1,571",626,"1,038","1,446","4,447","3,668","3,003","2,395","3,121","1,109","1,748",715,"2,138","3,235","4,298","1,786"
2020년09월_계_40~49세,"49,341",461,730,"1,556",695,"1,362","1,934","4,974","4,048","3,293","2,291","3,624","1,448","2,269",727,"3,046","5,829","7,614","3,440"
2020년09월_계_50~59세,"49,510",678,696,"1,753",905,"1,630","1,744","5,294","3,957","4,109","2,348","3,039","1,752","2,720","1,193","3,983","5,030","6,153","2,526"
2020년09월_계_60~69세,"33,908",771,759,"1,534",778,"1,258",923,"2,681","2,575","3,411","1,895","2,405","1,571","2,584",923,"2,886","2,223","3,091","1,640"
2020년09월_계_70~79세,"19,054",748,488,"1,187",544,761,530,"1,517","1,409","2,041","1,208","1,153",851,"1,133",479,"1,381","1,145","1,730",749
2020년09월_계_80~89세,"7,910",291,165,477,235,309,276,725,475,858,581,372,348,447,250,635,464,760,242
2020년09월_계_90~99세,"1,186",40,28,67,27,52,36,85,78,118,83,74,61,75,53,78,72,111,48
2020년09월_계_100세 이상,77,8,0,4,1,10,1,2,3,14,4,2,4,5,6,3,8,1,1
2020년09월_남_총인구수,"146,067","1,980","2,353","5,501","2,656","4,490","5,497","14,620","12,526","11,779","7,560","10,623","5,124","7,707","3,049","9,890","14,296","18,569","7,847"
2020년09월_남_연령구간인구수,"146,067","1,980","2,353","5,501","2,656","4,490","5,497","14,620","12,526","11,779","7,560","10,623","5,124","7,707","3,049","9,890","14,296","18,569","7,847"
2020년09월_남_0~9세,"11,549",56,217,298,92,329,501,"1,094",833,638,474,"1,298",321,595,195,709,"1,427","1,641",831
2020년09월_남_10~19세,"16,814",83,195,378,169,307,669,"1,653","1,247",909,581,"1,388",579,907,230,"1,156","2,271","2,822","1,270"
2020년09월_남_20~29세,"23,319",237,290,822,445,601,894,"2,617","2,408","2,148","1,359","1,372",896,"1,198",397,"1,626","2,168","2,809","1,032"
2020년09월_남_30~39세,"18,885",195,323,836,361,556,780,"2,207","1,939","1,611","1,223","1,516",585,880,391,"1,046","1,526","2,116",794
2020년09월_남_40~49세,"23,748",275,404,798,381,769,960,"2,243","2,040","1,674","1,191","1,802",697,"1,033",379,"1,369","2,619","3,515","1,599"
2020년09월_남_50~59세,"24,273",350,333,908,461,834,938,"2,552","1,977","2,004","1,133","1,447",803,"1,181",652,"1,816","2,531","3,126","1,227"
2020년09월_남_60~69세,"15,925",352,325,696,376,605,450,"1,323","1,206","1,615",812,"1,110",718,"1,219",489,"1,373","1,056","1,504",696
2020년09월_남_70~79세,"8,484",313,205,561,259,368,193,635,680,870,541,541,389,525,233,600,517,735,319
2020년09월_남_80~89세,"2,807",110,55,189,108,103,104,270,176,286,224,138,126,152,75,182,163,273,73
2020년09월_남_90~99세,253,7,6,14,4,16,8,25,20,23,21,11,10,17,8,13,17,27,6
2020년09월_남_100세 이상,10,2,0,1,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0
2020년09월_여_총인구수,"151,963","2,068","2,450","5,632","2,485","4,303","5,265","15,917","12,652","12,397","8,301","10,509","5,257","8,233","2,828","10,812","14,988","19,212","8,654"
2020년09월_여_연령구간인구수,"151,963","2,068","2,450","5,632","2,485","4,303","5,265","15,917","12,652","12,397","8,301","10,509","5,257","8,233","2,828","10,812","14,988","19,212","8,654"
2020년09월_여_0~9세,"10,651",48,191,307,79,262,399,"1,106",862,583,436,"1,145",264,515,189,616,"1,283","1,540",826
2020년09월_여_10~19세,"15,278",76,170,305,118,328,653,"1,523","1,282",857,540,991,476,738,187,990,"2,243","2,555","1,246"
2020년09월_여_20~29세,"22,083",191,228,874,427,546,756,"2,819","2,333","2,194","1,666","1,148",701,"1,006",333,"1,455","1,886","2,656",864
2020년09월_여_30~39세,"18,465",165,323,735,265,482,666,"2,240","1,729","1,392","1,172","1,605",524,868,324,"1,092","1,709","2,182",992
2020년09월_여_40~49세,"25,593",186,326,758,314,593,974,"2,731","2,008","1,619","1,100","1,822",751,"1,236",348,"1,677","3,210","4,099","1,841"
2020년09월_여_50~59세,"25,237",328,363,845,444,796,806,"2,742","1,980","2,105","1,215","1,592",949,"1,539",541,"2,167","2,499","3,027","1,299"
2020년09월_여_60~69세,"17,983",419,434,838,402,653,473,"1,358","1,369","1,796","1,083","1,295",853,"1,365",434,"1,513","1,167","1,587",944
2020년09월_여_70~79세,"10,570",435,283,626,285,393,337,882,729,"1,171",667,612,462,608,246,781,628,995,430
2020년09월_여_80~89세,"5,103",181,110,288,127,206,172,455,299,572,357,234,222,295,175,453,301,487,169
2020년09월_여_90~99세,933,33,22,53,23,36,28,60,58,95,62,63,51,58,45,65,55,84,42
2020년09월_여_100세 이상,67,6,0,3,1,8,1,1,3,13,3,2,4,5,6,3,7,0,1
