카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년10월_계_총인구수,"53,226","21,885","4,728","6,961","1,804","1,781","1,382","2,336","2,403","4,054","5,301",404,187
2020년10월_계_연령구간인구수,"53,226","21,885","4,728","6,961","1,804","1,781","1,382","2,336","2,403","4,054","5,301",404,187
2020년10월_계_0~9세,"3,793","2,108",187,641,85,86,60,85,87,150,280,13,11
2020년10월_계_10~19세,"4,195","2,359",250,552,122,72,59,191,74,153,349,12,2
2020년10월_계_20~29세,"5,009","2,420",350,835,156,129,91,158,123,250,463,26,8
2020년10월_계_30~39세,"4,890","2,318",277,933,145,116,121,119,132,267,430,21,11
2020년10월_계_40~49세,"6,603","3,374",456,873,171,153,104,250,191,375,563,66,27
2020년10월_계_50~59세,"8,592","3,434",815,"1,149",281,283,241,383,338,657,894,85,32
2020년10월_계_60~69세,"8,426","2,850",849,875,319,342,296,404,470,910,954,104,53
2020년10월_계_70~79세,"7,159","1,955",910,721,297,317,240,425,535,838,839,48,34
2020년10월_계_80~89세,"3,977",915,559,335,186,247,153,276,406,405,465,22,8
2020년10월_계_90~99세,548,139,68,43,40,36,17,41,47,49,60,7,1
2020년10월_계_100세 이상,34,13,7,4,2,0,0,4,0,0,4,0,0
2020년10월_남_총인구수,"26,539","10,735","2,371","3,639",962,868,688,"1,184","1,159","1,985","2,590",247,111
2020년10월_남_연령구간인구수,"26,539","10,735","2,371","3,639",962,868,688,"1,184","1,159","1,985","2,590",247,111
2020년10월_남_0~9세,"1,942","1,075",93,346,44,50,25,38,47,66,146,6,6
2020년10월_남_10~19세,"2,170","1,209",130,267,89,36,25,107,45,75,178,7,2
2020년10월_남_20~29세,"2,805","1,297",221,493,92,59,50,92,68,153,260,16,4
2020년10월_남_30~39세,"2,519","1,111",162,509,80,57,61,73,72,149,225,14,6
2020년10월_남_40~49세,"3,742","1,713",297,499,118,100,72,163,120,255,334,49,22
2020년10월_남_50~59세,"4,734","1,761",487,652,162,158,134,249,204,367,477,61,22
2020년10월_남_60~69세,"4,230","1,358",425,459,185,183,160,199,236,445,491,61,28
2020년10월_남_70~79세,"3,075",889,369,308,130,137,108,169,215,362,342,27,19
2020년10월_남_80~89세,"1,215",293,169,101,52,79,49,87,145,103,129,6,2
2020년10월_남_90~99세,104,29,15,5,10,9,4,7,7,10,8,0,0
2020년10월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"26,687","11,150","2,357","3,322",842,913,694,"1,152","1,244","2,069","2,711",157,76
2020년10월_여_연령구간인구수,"26,687","11,150","2,357","3,322",842,913,694,"1,152","1,244","2,069","2,711",157,76
2020년10월_여_0~9세,"1,851","1,033",94,295,41,36,35,47,40,84,134,7,5
2020년10월_여_10~19세,"2,025","1,150",120,285,33,36,34,84,29,78,171,5,0
2020년10월_여_20~29세,"2,204","1,123",129,342,64,70,41,66,55,97,203,10,4
2020년10월_여_30~39세,"2,371","1,207",115,424,65,59,60,46,60,118,205,7,5
2020년10월_여_40~49세,"2,861","1,661",159,374,53,53,32,87,71,120,229,17,5
2020년10월_여_50~59세,"3,858","1,673",328,497,119,125,107,134,134,290,417,24,10
2020년10월_여_60~69세,"4,196","1,492",424,416,134,159,136,205,234,465,463,43,25
2020년10월_여_70~79세,"4,084","1,066",541,413,167,180,132,256,320,476,497,21,15
2020년10월_여_80~89세,"2,762",622,390,234,134,168,104,189,261,302,336,16,6
2020년10월_여_90~99세,444,110,53,38,30,27,13,34,40,39,52,7,1
2020년10월_여_100세 이상,31,13,4,4,2,0,0,4,0,0,4,0,0
