,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년05월_계_총인구수,"268,558","3,255","4,777","3,496","2,719","2,622","5,148","3,065","2,962","2,249","3,553","3,114","2,461","5,873","7,455","5,894","2,893","13,035","21,658","7,669","5,509","2,952","55,885","13,196","24,190","33,084","17,061","12,783"
2020년05월_계_연령구간인구수,"268,558","3,255","4,777","3,496","2,719","2,622","5,148","3,065","2,962","2,249","3,553","3,114","2,461","5,873","7,455","5,894","2,893","13,035","21,658","7,669","5,509","2,952","55,885","13,196","24,190","33,084","17,061","12,783"
2020년05월_계_0~9세,"21,821",101,592,183,69,79,173,81,97,53,114,134,130,231,396,183,82,"1,146","2,436",412,338,167,"7,040",724,"1,861","2,874","1,308",817
2020년05월_계_10~19세,"27,242",129,375,360,120,110,250,162,153,105,202,142,144,428,655,350,110,"1,158","2,042",522,488,258,"7,742","1,249","2,995","4,382","1,681",930
2020년05월_계_20~29세,"29,659",255,402,254,235,180,363,282,247,142,357,257,184,500,811,619,200,"1,448","2,485",759,569,321,"6,657","1,677","3,009","4,240","1,833","1,373"
2020년05월_계_30~39세,"31,664",209,731,223,154,166,392,190,195,129,281,248,235,525,637,445,227,"1,757","3,692",781,572,265,"8,059","1,415","2,305","3,865","2,252","1,714"
2020년05월_계_40~49세,"44,011",320,739,510,270,247,561,314,300,240,537,393,282,769,"1,025",665,342,"1,998","3,515","1,136",735,379,"11,001","1,900","4,010","6,312","3,239","2,272"
2020년05월_계_50~59세,"44,090",615,700,558,507,481,845,625,607,397,766,466,382,"1,009","1,153","1,003",482,"2,073","3,067","1,291","1,018",501,"7,794","2,478","4,176","5,575","3,110","2,411"
2020년05월_계_60~69세,"36,294",687,593,590,602,568,"1,121",655,636,505,702,614,503,"1,164","1,332","1,168",674,"1,761","2,492","1,380",998,519,"4,423","2,149","3,223","3,306","2,153","1,776"
2020년05월_계_70~79세,"22,269",553,363,458,432,417,842,457,445,385,406,546,434,853,"1,007",966,549,"1,205","1,333","1,000",563,341,"2,183","1,137","1,659","1,720","1,031",984
2020년05월_계_80~89세,"9,925",326,245,311,264,308,504,264,238,251,167,265,142,337,386,433,193,436,522,339,193,175,850,401,840,723,371,441
2020년05월_계_90~99세,"1,466",55,37,49,62,60,90,31,43,39,17,43,18,46,48,57,31,50,70,45,34,24,131,66,110,81,72,57
2020년05월_계_100세 이상,117,5,0,0,4,6,7,4,1,3,4,6,7,11,5,5,3,3,4,4,1,2,5,0,2,6,11,8
2020년05월_남_총인구수,"135,674","1,667","2,444","1,794","1,375","1,322","2,564","1,552","1,496","1,167","1,992","1,567","1,192","2,947","3,712","2,885","1,496","6,561","11,028","3,859","2,773","1,516","27,803","6,589","11,705","16,512","9,240","6,916"
2020년05월_남_연령구간인구수,"135,674","1,667","2,444","1,794","1,375","1,322","2,564","1,552","1,496","1,167","1,992","1,567","1,192","2,947","3,712","2,885","1,496","6,561","11,028","3,859","2,773","1,516","27,803","6,589","11,705","16,512","9,240","6,916"
2020년05월_남_0~9세,"11,112",50,307,94,36,45,87,39,41,32,58,70,61,121,209,96,47,607,"1,256",205,170,76,"3,572",373,910,"1,450",688,412
2020년05월_남_10~19세,"14,120",72,183,199,65,53,142,90,79,57,111,73,70,221,332,175,51,599,"1,088",275,257,152,"4,016",673,"1,490","2,244",865,488
2020년05월_남_20~29세,"16,183",158,230,140,141,111,204,169,155,82,214,150,89,285,461,360,107,765,"1,307",417,324,193,"3,481",936,"1,623","2,277","1,016",788
2020년05월_남_30~39세,"16,537",130,359,116,89,101,213,105,99,72,186,136,124,287,334,244,140,919,"1,938",456,304,150,"3,863",766,"1,127","1,959","1,304","1,016"
2020년05월_남_40~49세,"23,082",195,416,300,174,159,344,175,163,148,350,237,163,413,542,373,225,"1,068","1,836",634,374,191,"5,409",928,"1,881","3,154","1,857","1,373"
2020년05월_남_50~59세,"23,068",342,379,326,276,269,487,332,311,241,424,259,187,540,585,504,265,"1,068","1,564",665,477,257,"4,049","1,209","2,104","2,821","1,750","1,377"
2020년05월_남_60~69세,"17,922",344,312,312,313,297,530,344,341,265,401,301,240,549,610,547,311,825,"1,200",633,515,252,"2,158","1,045","1,580","1,615","1,168",914
