카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년01월_계_총인구수,"248,130","7,421","3,213","1,585","7,421","3,028","12,369","1,131","8,494","3,767","1,134","3,294","1,400","6,575","9,935","27,735","7,230","26,731","20,888","36,577","34,653","23,549"
2020년01월_계_연령구간인구수,"248,130","7,421","3,213","1,585","7,421","3,028","12,369","1,131","8,494","3,767","1,134","3,294","1,400","6,575","9,935","27,735","7,230","26,731","20,888","36,577","34,653","23,549"
2020년01월_계_0~9세,"28,625",511,85,30,434,68,"1,610",36,567,227,30,87,54,490,642,"4,862",625,"2,782","1,707","3,902","6,196","3,680"
2020년01월_계_10~19세,"28,262",605,149,63,631,165,"1,087",57,704,281,34,139,79,664,"1,057","3,296",651,"3,157","2,380","4,489","4,849","3,725"
2020년01월_계_20~29세,"25,159",677,270,90,610,244,993,84,855,346,65,255,79,695,"1,087","2,526",840,"3,005","2,926","4,249","3,091","2,172"
2020년01월_계_30~39세,"39,775",768,225,81,688,171,"2,014",77,989,364,67,199,110,798,"1,068","6,520","1,151","4,004","3,589","5,640","7,309","3,943"
2020년01월_계_40~49세,"47,384","1,186",398,160,"1,022",329,"2,170",122,"1,465",505,121,424,175,"1,297","1,775","5,729","1,292","4,934","4,477","7,185","7,274","5,344"
2020년01월_계_50~59세,"38,530","1,527",661,337,"1,333",629,"1,921",246,"1,720",692,219,643,255,"1,280","2,048","2,892","1,339","4,758","3,681","5,965","3,607","2,777"
2020년01월_계_60~69세,"24,368","1,193",687,385,"1,288",677,"1,404",276,"1,210",679,267,663,300,810,"1,449","1,306",944,"2,949","1,530","3,561","1,545","1,245"
2020년01월_계_70~79세,"10,433",593,469,271,821,456,790,155,599,408,197,523,217,350,567,395,273,803,423,"1,136",547,440
2020년01월_계_80~89세,"4,806",315,243,150,492,247,327,65,330,228,111,319,115,163,208,184,98,293,145,387,198,188
2020년01월_계_90~99세,750,43,25,18,94,40,50,13,53,36,23,41,15,22,31,25,17,44,30,61,36,33
2020년01월_계_100세 이상,38,3,1,0,8,2,3,0,2,1,0,1,1,6,3,0,0,2,0,2,1,2
2020년01월_남_총인구수,"130,147","3,763","1,663",802,"3,652","1,567","6,419",586,"4,669","1,964",570,"1,658",710,"3,645","5,377","14,934","3,910","13,935","11,879","18,826","17,602","12,016"
2020년01월_남_연령구간인구수,"130,147","3,763","1,663",802,"3,652","1,567","6,419",586,"4,669","1,964",570,"1,658",710,"3,645","5,377","14,934","3,910","13,935","11,879","18,826","17,602","12,016"
2020년01월_남_0~9세,"14,758",253,47,15,233,36,805,23,304,118,17,47,28,257,344,"2,522",332,"1,431",878,"2,023","3,137","1,908"
2020년01월_남_10~19세,"14,878",323,84,35,315,97,552,32,375,160,19,80,42,353,564,"1,694",367,"1,696","1,254","2,348","2,502","1,986"
2020년01월_남_20~29세,"13,969",377,156,54,325,153,553,46,504,180,34,139,44,404,612,"1,440",505,"1,636","1,736","2,307","1,583","1,181"
2020년01월_남_30~39세,"21,224",385,132,46,373,107,"1,032",49,586,210,41,114,62,494,612,"3,508",639,"2,144","2,292","2,980","3,583","1,835"
2020년01월_남_40~49세,"25,851",636,238,100,555,191,"1,240",70,874,308,74,265,112,783,"1,011","3,263",731,"2,584","2,638","3,715","3,791","2,672"
2020년01월_남_50~59세,"20,334",806,356,196,668,326,"1,034",132,967,369,123,355,135,721,"1,100","1,580",670,"2,360","2,021","2,993","1,914","1,508"
2020년01월_남_60~69세,"12,750",614,337,203,657,362,726,155,656,340,143,327,154,437,784,704,506,"1,602",806,"1,804",780,653
2020년01월_남_70~79세,"4,855",270,233,102,378,211,375,58,297,199,84,229,96,150,277,177,133,393,214,536,239,204
2020년01월_남_80~89세,"1,401",90,74,47,133,78,92,18,96,75,31,98,34,42,66,43,26,85,36,105,68,64
