카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년04월_계_총인구수,"131,235","6,850","7,303","4,607","43,402","30,760","2,523","32,272","3,518"
2020년04월_계_연령구간인구수,"131,235","6,850","7,303","4,607","43,402","30,760","2,523","32,272","3,518"
2020년04월_계_0~9세,"19,405",184,516,94,"8,382","5,438",65,"4,608",118
2020년04월_계_10~19세,"10,757",311,488,157,"3,360","4,048",60,"2,184",149
2020년04월_계_20~29세,"11,861",644,853,401,"3,737","2,528",222,"3,203",273
2020년04월_계_30~39세,"26,487",578,907,368,"11,452","5,420",197,"7,266",299
2020년04월_계_40~49세,"21,789",740,932,404,"7,148","6,512",222,"5,421",410
2020년04월_계_50~59세,"16,452","1,314","1,181","1,013","4,202","3,354",525,"4,107",756
2020년04월_계_60~69세,"14,860","1,631","1,318","1,247","3,390","2,349",613,"3,487",825
2020년04월_계_70~79세,"6,589","1,003",708,595,"1,236",797,415,"1,393",442
2020년04월_계_80~89세,"2,563",386,335,264,415,269,174,521,199
2020년04월_계_90~99세,428,56,58,53,71,43,28,77,42
2020년04월_계_100세 이상,44,3,7,11,9,2,2,5,5
2020년04월_남_총인구수,"67,825","3,800","4,055","2,455","21,734","15,274","1,333","17,320","1,854"
2020년04월_남_연령구간인구수,"67,825","3,800","4,055","2,455","21,734","15,274","1,333","17,320","1,854"
2020년04월_남_0~9세,"9,965",93,263,45,"4,253","2,799",30,"2,420",62
2020년04월_남_10~19세,"5,497",181,271,86,"1,629","2,073",38,"1,141",78
2020년04월_남_20~29세,"6,340",382,561,242,"1,794","1,273",124,"1,804",160
2020년04월_남_30~39세,"13,528",343,524,228,"5,706","2,441",113,"3,993",180
2020년04월_남_40~49세,"12,233",445,568,252,"3,970","3,362",145,"3,242",249
2020년04월_남_50~59세,"8,448",783,673,543,"1,944","1,682",287,"2,129",407
2020년04월_남_60~69세,"7,598",904,720,679,"1,636","1,152",328,"1,765",414
2020년04월_남_70~79세,"3,269",510,352,273,648,388,210,658,230
2020년04월_남_80~89세,859,148,114,91,142,92,52,155,65
2020년04월_남_90~99세,76,10,7,12,9,11,6,12,9
2020년04월_남_100세 이상,12,1,2,4,3,1,0,1,0
2020년04월_여_총인구수,"63,410","3,050","3,248","2,152","21,668","15,486","1,190","14,952","1,664"
2020년04월_여_연령구간인구수,"63,410","3,050","3,248","2,152","21,668","15,486","1,190","14,952","1,664"
2020년04월_여_0~9세,"9,440",91,253,49,"4,129","2,639",35,"2,188",56
2020년04월_여_10~19세,"5,260",130,217,71,"1,731","1,975",22,"1,043",71
2020년04월_여_20~29세,"5,521",262,292,159,"1,943","1,255",98,"1,399",113
2020년04월_여_30~39세,"12,959",235,383,140,"5,746","2,979",84,"3,273",119
2020년04월_여_40~49세,"9,556",295,364,152,"3,178","3,150",77,"2,179",161
2020년04월_여_50~59세,"8,004",531,508,470,"2,258","1,672",238,"1,978",349
2020년04월_여_60~69세,"7,262",727,598,568,"1,754","1,197",285,"1,722",411
2020년04월_여_70~79세,"3,320",493,356,322,588,409,205,735,212
2020년04월_여_80~89세,"1,704",238,221,173,273,177,122,366,134
2020년04월_여_90~99세,352,46,51,41,62,32,22,65,33
2020년04월_여_100세 이상,32,2,5,7,6,1,2,4,5
