카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년05월_계_총인구수,"99,048","6,098","1,666","2,171","1,637","1,118","3,478","2,607","3,905","5,151","2,430","1,697","2,202","5,235","14,253","6,869","16,453","15,737","6,341"
2021년05월_계_연령구간인구수,"99,048","6,098","1,666","2,171","1,637","1,118","3,478","2,607","3,905","5,151","2,430","1,697","2,202","5,235","14,253","6,869","16,453","15,737","6,341"
2021년05월_계_0~9세,"5,887",132,36,41,60,29,112,59,121,134,42,44,73,183,"1,016",473,"1,575","1,525",232
2021년05월_계_10~19세,"8,139",293,106,112,100,63,169,106,201,245,91,58,107,319,"1,434",650,"1,931","1,782",372
2021년05월_계_20~29세,"9,334",387,193,139,127,65,216,139,259,368,106,83,162,463,"1,661",728,"1,996","1,752",490
2021년05월_계_30~39세,"9,122",337,82,120,116,61,208,140,201,282,99,71,134,375,"1,557",734,"2,152","1,920",533
2021년05월_계_40~49세,"13,623",550,159,246,213,100,320,200,375,466,187,135,262,668,"2,220","1,090","2,996","2,703",733
2021년05월_계_50~59세,"16,727","1,085",273,385,312,221,578,420,668,924,355,250,394,918,"2,389","1,153","2,569","2,599","1,234"
2021년05월_계_60~69세,"17,589","1,543",400,510,380,251,819,598,907,"1,219",581,439,524,"1,103","2,110","1,006","1,850","1,917","1,432"
2021년05월_계_70~79세,"11,255","1,046",263,355,186,184,582,514,676,850,513,352,365,714,"1,256",647,903,"1,008",841
2021년05월_계_80~89세,"6,380",613,131,223,123,126,421,374,432,549,382,224,165,428,542,353,428,456,410
2021년05월_계_90~99세,949,112,23,39,19,18,52,57,59,103,72,41,15,63,67,34,50,66,59
2021년05월_계_100세 이상,43,0,0,1,1,0,1,0,6,11,2,0,1,1,1,1,3,9,5
2021년05월_남_총인구수,"50,257","3,097",880,"1,147",881,605,"1,801","1,311","1,978","2,609","1,197",876,"1,087","2,763","7,212","3,435","8,253","7,826","3,299"
2021년05월_남_연령구간인구수,"50,257","3,097",880,"1,147",881,605,"1,801","1,311","1,978","2,609","1,197",876,"1,087","2,763","7,212","3,435","8,253","7,826","3,299"
2021년05월_남_0~9세,"2,972",73,16,15,30,14,55,36,65,76,30,20,43,92,530,235,784,755,103
2021년05월_남_10~19세,"4,225",143,57,59,56,35,93,65,108,119,46,37,61,167,730,324,999,931,195
2021년05월_남_20~29세,"5,504",261,144,79,83,42,129,83,156,221,64,57,88,301,970,402,"1,123",991,310
2021년05월_남_30~39세,"4,951",198,39,79,65,40,135,92,117,172,56,35,71,228,846,401,"1,081",969,327
2021년05월_남_40~49세,"7,467",325,96,161,132,67,197,120,229,269,119,100,160,411,"1,134",569,"1,552","1,356",470
2021년05월_남_50~59세,"8,948",598,159,232,187,144,325,244,367,510,196,143,221,512,"1,224",601,"1,292","1,325",668
2021년05월_남_60~69세,"8,629",776,214,249,192,130,417,299,463,628,293,238,234,543,"1,001",476,880,902,694
2021년05월_남_70~79세,"5,067",478,114,178,91,85,295,237,305,395,223,155,155,341,556,278,391,437,353
2021년05월_남_80~89세,"2,276",217,37,87,41,44,148,120,158,197,150,82,51,152,204,142,140,142,164
2021년05월_남_90~99세,211,28,4,8,4,4,7,15,10,20,19,9,3,16,17,7,10,15,15
2021년05월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년05월_여_총인구수,"48,791","3,001",786,"1,024",756,513,"1,677","1,296","1,927","2,542","1,233",821,"1,115","2,472","7,041","3,434","8,200","7,911","3,042"
2021년05월_여_연령구간인구수,"48,791","3,001",786,"1,024",756,513,"1,677","1,296","1,927","2,542","1,233",821,"1,115","2,472","7,041","3,434","8,200","7,911","3,042"
2021년05월_여_0~9세,"2,915",59,20,26,30,15,57,23,56,58,12,24,30,91,486,238,791,770,129
2021년05월_여_10~19세,"3,914",150,49,53,44,28,76,41,93,126,45,21,46,152,704,326,932,851,177
2021년05월_여_20~29세,"3,830",126,49,60,44,23,87,56,103,147,42,26,74,162,691,326,873,761,180
2021년05월_여_30~39세,"4,171",139,43,41,51,21,73,48,84,110,43,36,63,147,711,333,"1,071",951,206
2021년05월_여_40~49세,"6,156",225,63,85,81,33,123,80,146,197,68,35,102,257,"1,086",521,"1,444","1,347",263
2021년05월_여_50~59세,"7,779",487,114,153,125,77,253,176,301,414,159,107,173,406,"1,165",552,"1,277","1,274",566
2021년05월_여_60~69세,"8,960",767,186,261,188,121,402,299,444,591,288,201,290,560,"1,109",530,970,"1,015",738
2021년05월_여_70~79세,"6,188",568,149,177,95,99,287,277,371,455,290,197,210,373,700,369,512,571,488
2021년05월_여_80~89세,"4,104",396,94,136,82,82,273,254,274,352,232,142,114,276,338,211,288,314,246
2021년05월_여_90~99세,738,84,19,31,15,14,45,42,49,83,53,32,12,47,50,27,40,51,44
2021년05월_여_100세 이상,36,0,0,1,1,0,1,0,6,9,1,0,1,1,1,1,2,6,5
