카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년02월_계_총인구수,"126,259","2,110","5,236","2,960","3,974","4,661","4,924","1,815","7,559","14,494","17,541","14,222","10,594","10,843","12,698","12,628"
2020년02월_계_연령구간인구수,"126,259","2,110","5,236","2,960","3,974","4,661","4,924","1,815","7,559","14,494","17,541","14,222","10,594","10,843","12,698","12,628"
2020년02월_계_0~9세,"7,261",194,208,95,201,190,142,53,258,620,"1,228",827,623,797,758,"1,067"
2020년02월_계_10~19세,"7,281",111,218,148,176,323,200,36,316,915,"1,057",953,613,898,533,784
2020년02월_계_20~29세,"18,492",208,505,340,677,"1,171",724,209,"1,288","2,379","2,083","2,007","1,673","1,522","2,162","1,544"
2020년02월_계_30~39세,"20,510",452,552,390,615,678,744,277,"1,267","2,329","2,567","2,245","1,756","1,397","2,865","2,376"
2020년02월_계_40~49세,"18,573",449,694,454,512,604,614,193,"1,146","2,141","2,576","2,065","1,621","1,665","1,828","2,011"
2020년02월_계_50~59세,"20,982",298,"1,038",505,608,600,881,350,"1,382","2,385","2,896","2,397","1,856","1,980","1,812","1,994"
2020년02월_계_60~69세,"17,070",235,"1,058",526,605,506,847,395,965,"1,925","2,590","1,870","1,272","1,353","1,483","1,440"
2020년02월_계_70~79세,"10,420",106,559,326,352,384,522,191,638,"1,227","1,631","1,179",805,744,858,898
2020년02월_계_80~89세,"4,627",42,276,140,169,170,200,78,241,486,762,582,320,413,340,408
2020년02월_계_90~99세,848,10,87,27,50,32,36,24,50,74,140,89,44,59,50,76
2020년02월_계_100세 이상,195,5,41,9,9,3,14,9,8,13,11,8,11,15,9,30
2020년02월_남_총인구수,"61,964","1,016","2,826","1,255","2,052","2,376","2,601","1,103","3,762","7,074","8,277","6,756","5,197","5,227","6,108","6,334"
2020년02월_남_연령구간인구수,"61,964","1,016","2,826","1,255","2,052","2,376","2,601","1,103","3,762","7,074","8,277","6,756","5,197","5,227","6,108","6,334"
2020년02월_남_0~9세,"3,694",101,112,54,109,101,74,30,96,319,600,414,309,432,389,554
2020년02월_남_10~19세,"3,677",30,91,56,95,161,108,15,165,494,543,490,311,445,268,405
2020년02월_남_20~29세,"8,963",86,231,162,342,634,359,100,602,"1,167","1,045",999,799,752,926,759
2020년02월_남_30~39세,"10,290",215,273,191,342,358,411,157,654,"1,217","1,211","1,109",890,652,"1,435","1,175"
2020년02월_남_40~49세,"9,461",232,391,194,290,329,335,129,621,"1,068","1,289",988,830,812,911,"1,042"
2020년02월_남_50~59세,"10,673",151,628,208,337,306,496,247,724,"1,168","1,358","1,164",974,954,911,"1,047"
2020년02월_남_60~69세,"8,508",133,631,225,293,248,443,269,484,897,"1,206",890,624,689,721,755
2020년02월_남_70~79세,"4,671",48,289,117,168,167,270,105,303,548,717,458,340,324,411,406
2020년02월_남_80~89세,"1,706",16,126,37,60,62,84,39,95,178,264,215,108,145,122,155
2020년02월_남_90~99세,256,3,35,8,13,10,16,8,15,15,39,26,12,18,14,24
2020년02월_남_100세 이상,65,1,19,3,3,0,5,4,3,3,5,3,0,4,0,12
2020년02월_여_총인구수,"64,295","1,094","2,410","1,705","1,922","2,285","2,323",712,"3,797","7,420","9,264","7,466","5,397","5,616","6,590","6,294"
2020년02월_여_연령구간인구수,"64,295","1,094","2,410","1,705","1,922","2,285","2,323",712,"3,797","7,420","9,264","7,466","5,397","5,616","6,590","6,294"
2020년02월_여_0~9세,"3,567",93,96,41,92,89,68,23,162,301,628,413,314,365,369,513
2020년02월_여_10~19세,"3,604",81,127,92,81,162,92,21,151,421,514,463,302,453,265,379
2020년02월_여_20~29세,"9,529",122,274,178,335,537,365,109,686,"1,212","1,038","1,008",874,770,"1,236",785
2020년02월_여_30~39세,"10,220",237,279,199,273,320,333,120,613,"1,112","1,356","1,136",866,745,"1,430","1,201"
2020년02월_여_40~49세,"9,112",217,303,260,222,275,279,64,525,"1,073","1,287","1,077",791,853,917,969
2020년02월_여_50~59세,"10,309",147,410,297,271,294,385,103,658,"1,217","1,538","1,233",882,"1,026",901,947
2020년02월_여_60~69세,"8,562",102,427,301,312,258,404,126,481,"1,028","1,384",980,648,664,762,685
2020년02월_여_70~79세,"5,749",58,270,209,184,217,252,86,335,679,914,721,465,420,447,492
2020년02월_여_80~89세,"2,921",26,150,103,109,108,116,39,146,308,498,367,212,268,218,253
2020년02월_여_90~99세,592,7,52,19,37,22,20,16,35,59,101,63,32,41,36,52
2020년02월_여_100세 이상,130,4,22,6,6,3,9,5,5,10,6,5,11,11,9,18
